rank	username	minecraft:used/minecraft:hopper
1	Di_infiri	16628
2	noam464	16590
3	HellsSponge	14493
4	Spacewardharpy7	8688
5	eitanzaki	8495
6	thewindmillman	6915
7	thescout7	6143
8	PigDab	5116
9	Blaiku	4059
10	Werbe	3182
11	AssEatrAndLicker	3180
12	Hyp3rion_	3035
13	Zythose	2761
14	Smoke____	2644
15	fffMike	2230
16	Historical_Sand	2195
17	MightyWertu	2001
18	Snowflowe	1671
19	Ezekson	1601
20	Marbz_	1572
21	obzii	1565
22	beeperbeeper5	1499
23	m_be9	1372
24	ProfessorBee	1341
25	Freak_Genius	1320
26	Inbefour	1200
27	El_Jalapeno	1199
28	_Nuf	1188
29	Frozil12	1166
30	MyNameIsJobo	1091
31	Jackattack53	1090
32	sp00ky_ghost977	1043
33	Kakolbus	1038
34	MilleGrug	996
35	Fullut	946
36	Sral7	926
37	Hisiste	913
38	EcksD	853
39	jnp_gaming	823
40	gcaisawesome	759
41	T045RTY	751
42	YungMaki	733
43	RebelAndroid	706
43	MangoTheFish	706
45	Lord_Jord	665
46	Jovaphobic	658
47	Deathkob	645
47	TechnoNinja64	645
49	Quotary	632
50	EMC_	595
51	Soplight	589
52	r123moore	580
53	MustaLoordi	556
54	Dedalus36	555
55	Groundler	553
56	Enderslayerxz3	536
57	PhantomsGhost_	529
58	ssleepless	522
59	12Magner05	518
60	WyngGoy	517
61	Quincannon	515
62	KG1999	510
63	Warlord324	505
64	PlasticOtari	494
65	_Virify_	480
66	Akoot_	478
67	Bumpy419	467
68	ApophisNova	459
68	MyNamaSheff	459
70	Racengan	446
71	Arceus1975	443
72	Mahoose	438
73	Sheldor097	435
74	ImpavidArcher	420
75	yatsuta	403
76	Hiryu27	375
77	eviltunix	370
78	Paintz	362
79	lordpipe	361
80	Covalents	347
80	Skylord_Luke	347
82	BronkerBrum	339
83	oxfordschool	327
84	Blackberry1310	315
85	Rumpletaezer	306
86	picardred	305
87	joethahobo	304
88	sebastiensaborio	302
89	PortlyPete69	287
90	DanTheBuilderino	285
91	TheThomas69	277
92	Barlycorn	273
93	awesomeoneme	261
94	Spenduh	236
95	Merv__	235
95	Hermanni__	235
97	Comma__	234
98	Awyrlas	229
98	mariominejedi	229
100	Swexti	224
101	Zoeyfortnite	218
102	The_slideV3	210
103	vandmanden	206
104	M_Patata	204
105	pintsizedrogue	202
106	MattieHD	198
106	censorsheep	198
106	Eczbek	198
109	Scathra	196
110	HesDemonPants	192
111	TheShyPig	191
112	Prodiginus	183
113	kekhon	179
113	SlayerCrypto	179
115	FishyBoy3811	176
116	King_Pancake1	175
117	GravitySaint	172
118	set67	171
119	Leyna3	169
120	Fildyr	168
121	Skippeh	165
121	kinas45y5	165
123	gabriels543	164
123	07shiny	164
123	anbbang	164
126	eiC_	161
127	TheSeismicDuck	160
128	EveryonesUncle	157
128	Fuhrer_Teemo	157
130	EcksDofficial	154
131	HolyVenom	150
131	audiocracked	150
133	UrbanPlanner1978	147
134	MasterNueve	143
135	Darkgon	139
136	DemTechAlpha	137
137	soundad	136
137	teslawolf38	136
139	__tomato	135
140	Onennon	134
141	Groovy_MoonBird	133
141	Megarboh	133
143	himak1	128
144	Kowcio_	127
145	Nicserso	126
146	CarltheCuck	124
147	Hyugo	123
148	Kyrum2169	121
149	_Dean_123	115
149	egglapras	115
151	500am	114
151	DTwenty	114
153	CollinMH06	113
154	FirsTimeGamingTV	111
155	Inchef	108
156	PegLegPete93	107
157	xxPipperDipperxx	106
158	Powowowow	104
159	stavgod	103
160	fluddd	102
160	2blox	102
162	Bandito_Roamer	101
162	q_wq	101
164	Ssor69	98
164	masskedman	98
164	BumbleBeever	98
167	fred870d	97
167	Blu3beast	97
169	TheDankPlatypus	96
170	Jackster03	94
171	ivorico	93
172	Malorn_Aetherius	92
173	GlitchyPlate810	90
174	silverpopcorn	87
174	Shin69	87
176	ExtraDumb	86
176	ItsAki_	86
178	Giannism	84
178	PlzNoBM	84
180	emrekn	83
180	Hoid_the_Roamer	83
182	Rich_Kat	82
182	SellyZ	82
184	Nycteus_	81
185	pixelviolin	80
185	SammiWolfGirl	80
187	SingedBread	79
187	TheDumbHuman	79
189	radioactv_jelly	78
190	OfficerAnvil	77
190	MeetTheWollo	77
190	diggydog67	77
193	Steven1282598	76
193	Factoroni	76
195	Zaridey	74
195	Nyxiom_	74
195	h2p_emrld	74
198	benediktine1	73
199	Winston_Ingram	72
199	Jordan_R	72
201	_Bguette_	70
202	Drlzyy	69
203	mwrty	67
204	_NieToksikpl_	65
204	abramgray	65
204	EfficientC52	65
204	Optiprimus	65
208	ShedJr_	64
208	Miko_Fullbuster	64
210	Flores991	63
211	_8man	61
212	ayamefag	60
213	selectrix	59
213	Oldham	59
215	rarrq	57
215	gilesmcriles	57
215	Voxin2K	57
218	bigstankyy	56
218	Omar_Alone	56
220	livingdaydreams	55
220	Seyaboy	55
220	jushykins	55
220	cedric72	55
224	IforgotCS_Source	54
224	Mewar	54
224	Sky_light_KING	54
224	ElKaySVK	54
228	MinttyFressh	53
229	claivin	52
230	H72l9w	51
230	Nicky_H225	51
230	RobotMinion101	51
230	JESS_THE_RERE	51
234	ooga47	50
234	Rasmanden	50
234	TheTrueClipse	50
234	Typadopoulos	50
238	Natofthese	49
238	SteveCraftBlocks	49
238	LexMakesHistory	49
241	Kferno	48
242	NotMeanttoChange	47
242	LilcoinXX	47
244	AngalexikCZ	46
244	loveseeker	46
244	andy_rex	46
244	Legendosh	46
248	Iagoku	45
248	sxc_	45
248	Strangemonkey71	45
248	BreadBacon	45
252	KeruNatsema	44
252	Jij0	44
252	Weepingbiel	44
255	CoffeeNoir	43
255	TheSecondLord	43
255	ImDisconnected_	43
255	RodSerlingCringe	43
255	_TCARREIRA_	43
255	ProbsNotNova	43
261	Zedducius	41
261	KartivGal	41
263	KingFaenor	40
263	the_russell1611	40
265	diamondgolem35	39
265	carloselpapii	39
265	Frxnkz	39
265	NameGenerat0r	39
265	Luigipunch989	39
270	Enigma0251	38
270	ibarker21	38
270	Truckoss	38
270	KnightmareD	38
270	Syropatathe	38
270	KSI	38
276	wezzzi	36
277	Hpdinosaur	35
277	Euclidoris	35
277	slkiey	35
280	domagawha	34
281	jiggywraps	33
281	LotusProject	33
281	Maenara	33
281	jcool7	33
285	Rebytre	32
285	chipklip	32
287	Tjhodskins19	31
287	MakeHistory157	31
289	ChampPog_	30
289	Winklepicker279	30
289	starbits140	30
289	smogfrog	30
293	Cowison	29
293	Xalithia	29
293	AlphaWolfPlaysMC	29
296	JayToe	28
297	Nicky19	27
297	Xclax101	27
297	33sudo	27
297	Yahrto	27
