rank	username	minecraft:used/minecraft:iron_door
1	noam464	308
2	beeperbeeper5	255
3	eitanzaki	214
4	Tyrannosplart	184
5	Rumpletaezer	128
6	FreakGenius	122
7	Hyp3rion_	120
8	Di_infiri	111
9	joethahobo	102
10	Crowman1	94
11	AdmiralSmoke	91
12	Jackattack53	86
13	Merv__	74
14	PlasticOtari	65
15	ApophisNova	64
15	MyNamaSheff	64
17	Kowcio_	60
18	kekhon	59
18	Manaateee	59
20	Xclax101	55
21	xolstoi	54
22	MoistMicrowave	53
23	KarlKaek	52
23	Lez_	52
25	PigDab	49
26	Spacewardharpy7	47
27	500am	46
27	EveryonesUncle	46
27	Soplight	46
30	pintsizedrogue	45
31	mihimihimihi	36
32	censorsheep	35
32	UltraZombie	35
34	xxPipperDipperxx	34
35	oscminus	33
35	cichy096	33
35	jnp_gaming	33
38	Huwulling	32
38	Historical_Sand	32
38	luseis	32
41	Mahoose	31
41	DAD_1996	31
41	DanTheBuilderino	31
44	claivin	30
44	YungMaki	30
46	teslawolf38	29
47	CLG_Kata	28
47	Paintz	28
47	BlankityMcBlank	28
50	Inchef	27
50	ConnorDanky_	27
52	Ezekson	26
53	m_be9	25
53	Krowuss	25
53	Shogunite	25
53	Blaiku	25
53	Ze_BaronKrigler	25
53	TheOuterCore	25
59	hm947	24
59	Bucscw24	24
59	Maenara	24
62	mwrty	23
62	TheShyPig	23
64	RoskobiOne	21
64	ECstardust	21
64	Jackster03	21
64	Blu3beast	21
64	lordpipe	21
64	KingMatthew506	21
64	smogfrog	21
71	Bandito_Roamer	20
71	titanlax	20
71	thewindmillman	20
71	Onennon	20
75	r123moore	19
75	legal_tax_evader	19
75	RobotMinion101	19
75	BumbleBeever	19
75	ProfessorDiaper	19
75	MineMaster0012	19
81	youhjjhhhjj	18
81	ROY4LE	18
81	impossibleteapot	18
81	Werbe	18
81	IAmTheWalrus910	18
81	AssFullaCum	18
81	Enderxz3	18
88	k_ce	17
88	thescout7	17
88	Snowflowe	17
88	ougstur	17
88	brofrickcheaters	17
93	ShedJr_	16
93	wobn	16
93	Jaka_Saurus_715	16
93	fffMike	16
93	Jimb0nat0r	16
98	H72l9w	15
98	Comma__	15
98	MAns_44	15
98	EcksD	15
102	Tiberonus	14
102	StarCookiees_	14
102	Spenduh	14
105	Kkanot	13
105	cedric72	13
105	MightyWertu	13
105	_Mythic____	13
105	AltnumberF4	13
105	Legendosh	13
111	Sparky_KT	12
111	slkiey	12
111	Kubelz	12
111	Winklepicker279	12
111	Skylord_Luke	12
111	ILoveCarrot	12
111	JayToe	12
118	Hpdinosaur	11
118	lorpus	11
118	Kubeusz2010	11
121	dudcreeper	10
121	oreee	10
121	Awyrlas	10
121	ZeroAbyssTTV	10
121	Akoot_	10
121	Hisiste	10
121	Skippeh	10
128	MunkaKris	9
128	NatalieTW	9
128	jspwn	9
128	jushykins	9
128	Cortexia	9
128	crying_wolf_13	9
128	burbankbuilder28	9
128	Billious	9
128	Jimi7hits	9
128	Factoroni	9
128	Quotary	9
139	Ailmast	8
139	EMC_	8
139	ImpavidArcher	8
139	BobDeBouwer1337	8
139	Nicky_H225	8
139	12Magner05	8
139	platinumzero	8
139	SeverianOfUrth	8
139	Arceus1975	8
139	HyperCave	8
139	CaptainAvenger7	8
139	Luminad3	8
139	Gryglu583	8
139	Nycteus_	8
139	ThatMan_Dave	8
139	Eraxa	8
139	Steelynan	8
156	MuffinManzz	7
156	Mr_Byzantine	7
156	6king6colt6	7
156	Ryan_GEMS	7
156	fr0stss	7
156	rarrq	7
156	ItsHydroMC	7
156	catandmoose	7
156	PegLegPete93	7
156	eviltunix	7
156	CharlieButt	7
156	Chromary	7
156	Hoid_the_Roamer	7
156	MustardDrinker	7
156	F_Uhre	7
156	HellsSponge	7
156	NameGenerat0r	7
156	AstreaTSS	7
156	MS_Pryxx	7
156	skrongus	7
156	MadmanRaven	7
177	Groovy_MoonBird	6
177	SmashingPump	6
177	KingFaenor	6
177	TooManyDuck	6
177	firesgal3116	6
177	MinttyFressh	6
177	Mewar	6
177	_Boipl_	6
177	Elastiq	6
177	yulgur1	6
177	Lord_Zacler	6
177	Fuad_R	6
177	_Karmaa	6
177	iSammael	6
177	starbits140	6
177	Fizznut909	6
177	EngagedGrub41	6
177	Teebone15	6
195	Alteriity	5
195	Euclidoris	5
195	Blackberry1310	5
195	ThePoliteG	5
195	Nach0Bear	5
195	supernecessary	5
195	hcb238	5
195	DermeinUser	5
195	CaptainSteve345	5
195	SirPiccardo	5
195	Mattesco	5
195	Dragonlfw	5
195	ADEXTV	5
195	Syropatathe	5
195	sufjanlover	5
195	Avocadogerms	5
195	Groundler	5
195	Barlycorn	5
195	wwwwinnebagoooo	5
195	WyngGoy	5
195	Soul_Atreus	5
195	Shin69	5
195	obzii	5
195	TitanCrafting	5
195	RadarHz	5
195	TechnoNinja64	5
