rank	username	minecraft:used/minecraft:polished_granite_stairs
1	beeperbeeper5	2946
2	AdmiralSmoke	2331
3	joethahobo	649
4	Frozil20	510
5	Hoid_the_Roamer	477
6	Shogunite	419
7	Meatlaugh	406
8	oscminus	359
9	Mr_Byzantine	337
10	stellarjay	310
11	Maenara	254
12	ProfessorDiaper	246
13	r123moore	242
14	AlphaWolfPlaysMC	240
15	bearlystraight	224
16	m_be9	213
17	Lord_Jord	196
18	Deerfoot	192
19	YungMaki	190
20	kekhon	181
21	Onennon	165
22	pappaberg	142
23	Werbe	139
23	Fuhrer_Teemo	139
25	CalebDHawk	117
26	Snowflowe	115
27	Winklepicker279	110
28	Soplight	109
29	paranoid_plant	103
30	BobDeBouwer1337	102
31	Doom_melon	99
32	Steelynan	97
33	Legendosh	95
34	ATrojansLegend	93
34	Stiar	93
36	xolstoi	91
37	NomadicRobin_	83
38	bloodbiter	75
39	Inbefour	74
40	ImpavidArcher	68
40	Lez_	68
42	ItsAki_	67
43	MadmanRaven	64
44	Kakolbus	61
44	Ezekson	61
46	seramalen	60
46	weabis	60
46	Enderxz3	60
49	Kowcio_	57
50	Crizma_	52
51	Merv__	46
51	Gundam_Steven	46
53	SvenskaHugo	45
54	Lukeee33	40
55	UMosDiesIrae	39
56	07shiny	33
57	ROY4LE	32
57	luseis	32
59	starbits140	31
60	91stCataclysm	30
61	vandmanden	29
62	SyK7	28
63	Touched_Bread	27
64	Xclax101	24
65	aec9	19
66	NoraTheYandere	17
67	TheShyPig	16
67	_Karmaa	16
69	ItsGrayWolf	15
70	djancak	14
71	Tolhart	13
71	MoistMicrowave	13
71	TechnoNinja64	13
74	MyNameIsJobo	11
74	Manaateee	11
76	fkGrim	9
76	SpacesickPrism	9
78	Mahoose	8
78	mwrty	8
78	hanaryheatwave	8
81	LeauVox4921	7
81	groofles	7
81	Akoot_	7
81	fkndweeb	7
81	Dakar_	7
86	Allanon1235	6
86	Karetoko	6
86	pixelviolin	6
89	rarrq	5
89	titanlax	5
89	TheThomas69	5
89	thescout7	5
89	Inchef	5
94	Mattesco	4
94	CuzIm2Kev	4
94	SingedBread	4
97	Hpdinosaur	3
97	ThePoliteG	3
97	Kkanot	3
97	out1s	3
97	brycepants	3
97	Blaiku	3
97	Skippeh	3
104	PazinGaming	2
104	Cryptacity	2
104	500am	2
104	2Stout	2
104	noam464	2
104	godipose	2
104	Toiton	2
104	Racengan	2
112	pintsizedrogue	1
112	TildaAndrea	1
112	Sabby65	1
112	CaracolCxnt	1
112	Di_infiri	1
112	Kynigito	1
112	bpmm	1
112	Tyrannosplart	1
112	DarlaMeow	1
112	Spacewardharpy7	1
112	WyngGoy	1
112	Conrad139	1
112	Jimb0nat0r	1
