rank	username	minecraft:used/minecraft:oak_fence_gate
1	m_be9	2855
2	HellsSponge	2233
3	rarrq	1072
4	PhantomsGhost_	762
5	TechnoNinja64	508
6	Lez_	439
7	eitanzaki	400
8	The_slideV3	390
9	noam464	359
10	Freak_Genius	303
11	EMC_	203
11	_Dean_123	203
13	joethahobo	191
14	thewindmillman	172
15	Racengan	163
16	MightyWertu	157
17	Smoke____	156
18	thescout7	153
19	AlphaWolfPlaysMC	134
20	Mahoose	130
21	Di_infiri	109
22	Dedalus36	105
23	PigDab	103
24	El_Jalapeno	101
25	RebelAndroid	100
26	pintsizedrogue	98
27	Shogunite	92
28	MyNameIsJobo	91
29	non089	90
29	Hermanni__	90
31	jnp_gaming	88
32	YungMaki	82
33	titanlax	81
34	Hisiste	78
35	Sral7	77
36	tsitrawhy	76
37	DAD_1996	75
38	Enderslayerxz3	64
39	Merv__	57
40	Blackberry1310	55
41	AuroraSkies	52
42	beeperbeeper5	51
43	EcksD	48
44	dopplexd	47
45	Mr_Byzantine	46
46	RodSerlingCringe	43
47	lotarp	42
47	Frxnkz	42
49	UCP_TheKingK	41
50	Kowcio_	40
50	jcool7	40
52	KingFaenor	36
52	mariominejedi	36
54	TheShyPig	35
55	_k2x	34
55	PlasticOtari	34
57	bloodbiter	33
57	oxfordschool	33
59	Legendosh	32
60	MattieHD	30
60	Jiminie	30
60	Luigipunch989	30
60	CalebDHawk	30
60	vandmanden	30
65	Hyp3rion_	29
65	Spacewardharpy7	29
67	slkiey	28
67	Eczbek	28
69	Frozil20	27
69	Alteriity	27
69	MangoTheFish	27
69	ApophisNova	27
69	MyNamaSheff	27
74	jacxhadow	26
74	The11thDoctor	26
74	DanTheBuilderino	26
74	SpacesickPrism	26
78	Drlzyy	25
78	fade_emerge78823	25
78	mihimihimihi	25
81	T045RTY	24
81	WET_WET_WET	24
81	LeeMcGee30	24
84	xxPipperDipperxx	23
84	Skylord_Luke	23
86	Fullut	22
86	MousePlays	22
86	Xclax101	22
86	_Tilariel_	22
90	Masssonnn	21
91	SuperPooch06	20
91	Werbe	20
91	ClemenPine	20
94	301851	19
94	Bumpy419	19
94	EngagedGrub41	19
97	CoffeeNoir	18
97	SlayerCrypto	18
97	DaviusMaximoose	18
97	Skomo	18
97	Soplight	18
97	_3Stump_	18
103	TheSecondLord	17
103	crying_wolf_13	17
103	Bazongoman	17
103	Rumpletaezer	17
103	andy_rex	17
103	Lord_Jord	17
103	fkGrim	17
110	Menthas	16
110	ImpavidArcher	16
110	prizm_	16
110	MovingFish7	16
114	GingerNeutron	15
114	Fuhrer_Teemo	15
114	Vorlice	15
114	Quotary	15
118	hollowww	14
118	sxc_	14
118	Darkgon	14
118	AvaRosey	14
122	6king6colt6	13
122	HollieDaNugget	13
122	Jokerman369	13
122	Bloo2406	13
122	Groundler	13
122	Dogcorn69420	13
122	mawileite	13
129	Wooptey	12
129	youhjjhhhjj	12
129	Ravenbie	12
129	Smashic	12
129	burbankbuilder28	12
129	lcvezra	12
129	HuangMeiHua	12
129	QueenOfDirt	12
137	AshleeCW	11
137	Vizzoid	11
137	NieToksikpl	11
137	LordAurum	11
137	cichy096	11
142	_Virify_	10
142	Natty	10
142	shdesolt	10
142	Winklepicker279	10
142	Arceus1975	10
142	Katsuragi0243218	10
142	lillips	10
