rank	username	minecraft:used/minecraft:cherry_wood
1	11Brewer	2563
2	Dynamic_wolf_1	1155
3	Apollo_993	1102
4	KarlKaek	680
5	Yamdalorian	263
6	Merv__	262
7	Enderxz3	189
8	Mr_Sun15	186
9	PazinGaming	160
10	StarCookiees_	152
11	Pumpkin_P_Patch	138
12	Kowcio_	126
13	SpacesickPrism	87
14	lordpipe	60
15	pintsizedrogue	52
16	Alteriity	34
17	RebytreGT	26
18	Mr_Byzantine	25
19	myaccountwasgone	12
19	Reneedium	12
21	OreTheBear	9
22	XxCookiequeenxX	6
23	oscminus	5
23	luseis	5
25	PaperCanvas	4
26	k_ce	3
27	TheSecondLord	2
27	MattieHD	2
27	pixelviolin	2
30	crashomon	1
30	Manaateee	1
30	skitzxo	1
