rank	username	minecraft:used/minecraft:nether_gold_ore
1	shadowthemonkey	695
2	Deathkob	340
3	Kakolbus	276
4	Iamthejo	194
5	set67	187
6	M_Patata	186
6	MasterNueve	186
8	Enderxz3	182
9	shineh10	160
10	Smashic	136
11	TheSecondLord	127
12	Yamdalorian	121
13	Cowison	108
14	Fullut	105
15	hm947	92
16	Werbe	85
17	Leyna3	78
18	Legendosh	74
19	excelsionprime	64
20	FreakGenius	61
21	TAKrules	51
21	Manaateee	51
23	beeperbeeper5	49
24	AltnumberF4	48
25	Ryker	47
26	noam464	46
27	masskedman	41
27	EcksD	41
29	Tersea_	40
30	diggydog67	35
31	Secret_Canary	34
31	KGTV	34
33	kekhon	29
34	CliffEmAll	27
34	LexMakesHistory	27
36	T045RTY	26
37	robonya_	23
38	MattieHD	20
39	Merv__	19
39	HellsSponge	19
39	doublemaki	19
42	Druid95	18
43	MSK__	17
44	Historical_Sand	16
44	lizardfightclub	16
46	Flores991	14
47	Apollo_993	12
47	EMC_	12
47	ShedJr_	12
50	Hyp3rion_	11
50	Zythose	11
50	Spacewardharpy7	11
53	Crowman1	10
53	ApophisNova	10
53	MyNamaSheff	10
56	k_ce	9
56	PazinGaming	9
56	Segotep999	9
59	TheDankPlatypus	8
60	Lez_	7
60	Koalander	7
60	sp00ky_ghost977	7
60	SammiWolfGirl	7
64	pintsizedrogue	6
64	NatalieTW	6
64	_Virify_	6
64	JohnnyFyes	6
64	Blackberry1310	6
64	Marbz_	6
64	NomadicRobin_	6
64	wwwwinnebagoooo	6
64	Ezekson	6
73	RoskobiOne	5
73	Alteriity	5
73	whoaluv	5
73	Chromary	5
73	hanaryheatwave	5
78	H0UNDFRMH3LL	4
78	CLG_Kata	4
78	titanlax	4
78	mwrty	4
78	Razzgriz	4
78	taengoos	4
78	LuvLuvLove	4
85	DinoDoctor_	3
85	eitanzaki	3
85	Huwulling	3
85	Krowuss	3
85	Blaiku	3
85	SvenskaHugo	3
85	Lord_Lollo	3
92	I_Am_Mushkin	2
92	diamondgolem35	2
92	CoffeeNoir	2
92	Mahoose	2
92	NieToksikpl	2
92	Awyrlas	2
92	r123moore	2
92	thewindmillman	2
92	luseis	2
92	Racengan	2
92	SingedBread	2
92	ItsDeltaMC	2
92	StarCookiees_	2
92	Kowcio_	2
92	Soplight	2
92	PlasticOtari	2
108	RebelAndroid	1
108	livingdaydreams	1
108	joethahobo	1
108	orxngejuice	1
108	Snowflowe	1
108	Rebytre	1
108	Jekyll	1
108	oscminus	1
108	groofles	1
108	EveryonesUncle	1
108	DarkS0L	1
108	Eraxa	1
108	_Mythic____	1
108	djancak	1
108	2blox_	1
108	TheWickedBird	1
