rank	username	minecraft:used/minecraft:mangrove_propagule
1	Manaateee	3240
2	AdmiralSmoke	544
3	Mr_Byzantine	306
4	Lez_	277
5	Touched_Bread	222
6	Smashic	188
7	SpacesickPrism	98
8	luseis	96
9	beeperbeeper5	67
10	corvidpartyfor6	63
11	Kowcio_	48
11	MadmanRaven	48
13	Kakolbus	45
14	k_ce	39
15	Hyp3rion_	32
16	Mahoose	29
17	pintsizedrogue	24
18	j5ylim	21
19	Hermanni__	20
20	PigDab	19
21	Krowuss	17
22	Soplight	16
23	EveryonesUncle	15
23	MineMaster0012	15
23	Steelynan	15
26	Jackattack53	14
27	pixelviolin	13
28	Segotep999	9
29	Huwulling	8
29	jessewegottacook	8
31	DinoDoctor_	7
32	Marbz_	6
33	oscminus	4
33	PlasticOtari	4
35	T045RTY	3
35	SteveCraftBlocks	3
35	olliebollie48	3
35	bearlystraight	3
35	CalebDHawk	3
35	Nicserso	3
35	Jimb0nat0r	3
42	CLG_Kata	2
42	_Huge_Male_	2
42	Di_infiri	2
42	thebaddruid	2
42	Druid95	2
47	Merv__	1
47	Alteriity	1
47	12Magner05	1
47	xxPipperDipperxx	1
47	hanaryheatwave	1
47	Rebytre	1
47	Felenov	1
47	LeonelSalamanca	1
47	Fuad_R	1
47	calamariclam_I	1
47	00000000-0000-0000-0009-01fc3bb26159	1
