rank	username	minecraft:used/minecraft:exposed_cut_copper_slab
1	beeperbeeper5	154
2	Nicserso	15
3	Mr_Sun15	12
4	luseis	6
5	PlasticOtari	4
6	jessewegottacook	2
6	thewindmillman	2
8	Jimb0nat0r	1
