rank	username	minecraft:used/minecraft:chiseled_deepslate
1	mihimihimihi	737
2	RoskobiOne	674
3	fade_emerge78823	462
4	Silvo614	442
5	YungMaki	222
6	Mattesco	220
7	lordpipe	184
8	Manaateee	183
9	Moofyman	140
10	ImpavidArcher	135
11	TheSecondLord	121
12	SvenskaHugo	102
13	Skylord_Luke	96
14	AdmiralSmoke	88
15	Mookle96	84
16	MinttyFressh	64
17	BPTY4618	61
18	bearlystraight	56
19	500am	43
20	Marbz_	37
21	Inchef	33
22	FreakGenius	30
23	tsitrawhy	25
24	beeperbeeper5	22
25	pintsizedrogue	20
25	thewindmillman	20
27	teslawolf38	18
28	Wowful	15
28	CalebDHawk	15
30	DinoDoctor_	12
31	Kowcio_	10
32	Megarboh	9
32	Lord_Jord	9
32	00000000-0000-0000-0009-01f073f37a91	9
35	RebelAndroid	7
35	12Magner05	7
37	MogusBussy69	6
38	benediktine1	5
38	PlasticOtari	5
40	joethahobo	4
40	_Boipl_	4
42	SmashingPump	2
42	Winklepicker279	2
42	Snowflowe	2
42	ApophisNova	2
42	fw3xy74	2
42	fluddd	2
42	_i_ERROR_i_	2
42	MyNamaSheff	2
42	Legendosh	2
51	nattybears	1
51	jessewegottacook	1
51	MrKrabOnCoke	1
51	arvous	1
51	JETrotter	1
51	Elastiq	1
51	Toasty_Tom	1
51	RoBe__	1
51	Segotep999	1
51	Eczbek	1
51	Hermanni__	1
