rank	username	minecraft:used/minecraft:mangrove_button
1	Jimb0nat0r	23
2	Mr_Byzantine	8
3	CarryLine	7
4	PazinGaming	4
5	Manaateee	3
6	k_ce	2
6	Sleepy_Time_	2
6	Mattesco	2
9	Merv__	1
9	Mahoose	1
9	Fuad_R	1
9	MineMaster0012	1
9	PlasticOtari	1
