rank	username	minecraft:used/minecraft:wheat
1	Yamdalorian	585
2	Juansinmiedo18	533
3	HesDemonPants	318
4	SpacesickPrism	140
5	ECstardust	78
5	Reneedium	78
7	prizm_	67
8	Myszoaz	57
9	Dblikstad	31
10	Fuad_R	27
11	DinoDoctor_	22
12	RebytreGT	21
13	SteveCraftBlocks	19
13	Manaateee	19
15	Spacewardharpy7	16
16	420BreadLizard	14
17	CalebDHawk	10
17	PlasticOtari	10
19	powercas_gamer	6
20	Niklas20114552	5
20	RatatJuice	5
22	Mr_Byzantine	4
22	EMC_	4
22	Avocadogerms	4
25	NomadicRobin_	3
25	Gryglu583	3
25	EveryonesUncle	3
25	Kowcio_	3
29	Gemstuff	2
29	Nicserso	2
31	pintsizedrogue	1
31	Minimize501	1
31	xxPipperDipperxx	1
31	shadowthemonkey	1
31	Shortest_Man	1
31	Leonidas2k17	1
31	aldplaysmc	1
31	THEKINGLyric10	1
31	pixelviolin	1
31	Ezekson	1
31	CattSoup	1
31	Enderxz3	1
31	calamariclam_I	1
