rank	username	minecraft:used/minecraft:enchanting_table
1	HellsSponge	138
2	Snowflowe	35
3	noam464	34
4	Kubeusz2010	29
5	HAruSAme14	26
6	oscminus	17
6	claivin	17
8	500am	13
8	TheShyPig	13
10	beeperbeeper5	12
10	_Karmaa	12
12	pintsizedrogue	11
12	thescout7	11
12	Kakolbus	11
12	doublemaki	11
12	Ezekson	11
17	rarrq	10
17	hanaryheatwave	10
19	Batman922	9
19	TheSecondLord	9
19	m_be9	9
19	12Magner05	9
19	Shogunite	9
19	El_Jalapeno	9
19	censorsheep	9
19	silverpopcorn	9
27	robertsnose	8
27	Merv__	8
27	peach0s	8
27	royal_2	8
27	Soplight	8
27	WYFYoyo	8
33	roxycherry	7
33	o0z	7
33	mwrty	7
33	TheDankPlatypus	7
33	ApophisNova	7
33	F_Uhre	7
33	Kynigito	7
33	SSytex_X	7
33	MyNamaSheff	7
33	Enderxz3	7
43	k_ce	6
43	Frozil20	6
43	Literally_Rat	6
43	ROY4LE	6
43	Hyp3rion_	6
43	Skwillyum13	6
43	BRRRN179	6
43	PaperCanvas	6
51	Jovaphobic	5
51	ECstardust	5
51	joethahobo	5
51	Euclidoris	5
51	Malorn_Aetherius	5
51	KGTV	5
51	Inchef	5
51	SharpDev	5
51	CollinMH06	5
51	fr_ser	5
51	Di_infiri	5
51	Rumpletaezer	5
51	burbankbuilder28	5
51	tobinwilliams	5
51	ItsAki_	5
51	Luminad3	5
51	Akoot_	5
51	wobn	5
51	Manaateee	5
51	Blu3beast	5
51	Xclax101	5
51	LordSpeed37	5
51	IlkeCookes_	5
51	07shiny	5
51	miramyu	5
51	PlasticOtari	5
77	CLG_Kata	4
77	Caribouse	4
77	xXTheWolfmanXx	4
77	diamondgolem35	4
77	eitanzaki	4
77	Mahoose	4
77	gaziter10	4
77	ccwildfire1	4
77	Secret_Canary	4
77	knarian	4
77	Kamflame	4
77	__TheNorseMan__	4
77	Kubelz	4
77	XboxPanda	4
77	MustardDrinker	4
77	Corbsman	4
77	TheWildMateo	4
77	selectrix	4
77	Maenara	4
77	wezzzi	4
77	XxCookiequeenxX	4
77	Dakar_	4
77	_flud	4
77	RedcatVII	4
77	Warlord324	4
77	_MeowMix	4
77	sp00ky_ghost977	4
77	Razzgriz	4
77	IvarEXE	4
77	stellarjay	4
77	Ir0npack	4
77	AppleJacks	4
77	Steelynan	4
77	Rainaldus	4
77	laron58	4
77	mobunni	4
77	ConnorDanky_	4
77	Wolverine4302	4
77	Spaghettatron	4
