rank	username	minecraft:used/minecraft:cartography_table
1	pintsizedrogue	110
2	noam464	109
3	HellsSponge	93
4	eitanzaki	88
5	luseis	74
6	SyntheticSurgeon	62
7	Legendosh	46
8	TheShyPig	45
9	Di_infiri	34
9	Soplight	34
11	PlasticOtari	32
12	thewindmillman	31
12	Onennon	31
14	Merv__	30
14	fluddd	30
16	Skippeh	28
17	mariominejedi	27
17	NameGenerat0r	27
19	pixelviolin	25
20	500am	24
20	Xclax101	24
22	Lez_	21
22	ROY4LE	21
24	beeperbeeper5	20
24	Werbe	20
24	Eraxa	20
24	YungMaki	20
28	diamondgolem35	19
28	kekhon	19
30	Fullut	18
31	ApophisNova	17
31	FreakGenius	17
31	Kowcio_	17
31	MyNamaSheff	17
35	Huwulling	16
35	Vizzoid	16
35	12Magner05	16
35	Touched_Bread	16
35	_Karmaa	16
35	Hermanni__	16
41	EfficientC52	15
42	Steelynan	14
43	Smoke____	13
44	joethahobo	12
44	claivin	12
46	Louiis123	11
46	Bandito_Roamer	11
46	Historical_Sand	11
46	Smashic	11
46	Enderxz3	11
51	Mr_Byzantine	10
51	ShedJr_	10
51	H72l9w	10
51	Kubelz	10
55	Ssor69	9
55	Spacewardharpy7	9
55	mihimihimihi	9
58	thescout7	8
58	Zythose	8
58	Hoid_the_Roamer	8
58	FreddyFart	8
58	XxCookiequeenxX	8
58	jnp_gaming	8
64	Jovaphobic	7
64	heysushii	7
64	EMC_	7
64	TheSecondLord	7
64	legal_tax_evader	7
64	Kim_Jong_eel	7
64	ADEXTV	7
64	Shogunite	7
64	Fildyr	7
64	Ezekson	7
74	MattieHD	6
74	Rumpletaezer	6
74	Bumpy419	6
74	Skylord_Luke	6
74	Mattesco	6
74	AuroraSkies	6
74	El_Jalapeno	6
74	sp00ky_ghost977	6
74	ConnorDanky_	6
74	Zoeyfortnite	6
84	FazeObama69	5
84	Ryker	5
84	Kakolbus	5
84	SuperPooch06	5
84	whoaluv	5
84	Blu3beast	5
84	Njensen7	5
84	Quotary	5
84	AstroLightz_	5
93	ImpavidArcher	4
93	Euclidoris	4
93	prizm_	4
93	Arceus1975	4
93	CarryLine	4
93	kiluaemc	4
93	DarkS0L	4
93	Fuad_R	4
93	Factoroni	4
93	Kyrum2169	4
103	RoskobiOne	3
103	Hyugo	3
103	_Razaria	3
103	youhjjhhhjj	3
103	Alteriity	3
103	Natty	3
103	ThiccExotic	3
103	ITDV	3
103	rarrq	3
103	Comma__	3
103	m_be9	3
103	UncreativeArtist	3
103	mwrty	3
103	xxPipperDipperxx	3
103	gcaisawesome	3
103	Noah_Bez	3
103	Marbz_	3
103	gabriels543	3
103	Hyp3rion_	3
103	LAVA129	3
103	AnnieBathory	3
103	victorLIE	3
103	aec9	3
103	theofiel	3
103	MinuteMira	3
103	Darkgon	3
103	DarlaMeow	3
103	Blaiku	3
103	Shin69	3
103	SvenskaHugo	3
103	Kijiki	3
103	__tomato	3
103	xzvu	3
103	Luigipunch989	3
103	Vellu21	3
103	MirielThePastor	3
103	JayToe	3
140	Groovy_MoonBird	2
140	soundad	2
140	teslawolf38	2
140	SaucyDark	2
140	TooManyDuck	2
140	RebelAndroid	2
140	livingdaydreams	2
140	Mahoose	2
140	IWorkAtIkea	2
140	Malorn_Aetherius	2
140	jacxhadow	2
140	MrExplorer	2
140	SpicyMeatballs	2
140	olliebollie48	2
140	CharlieButt	2
140	TableTim	2
140	CollinMH06	2
140	NarwhalTaco	2
140	Hiryu27	2
140	Kynigito	2
140	Moofyman	2
140	AlexxO_o	2
140	wezzzi	2
140	EveryonesUncle	2
140	fkGrim	2
140	ReflexCode	2
140	Groundler	2
140	stavgod	2
140	Dogcorn69420	2
140	fffMike	2
140	ThisUserIsStump	2
140	KingMatthew506	2
140	EngagedGrub41	2
140	xorompole	2
140	satuern	2
140	diggydog67	2
140	00000000-0000-0000-0009-01ff0c3e5e4f	2
177	Batoser	1
177	SyK7	1
177	dabloons	1
177	PazinGaming	1
177	SmashingPump	1
177	Tommhh	1
177	KarlKaek	1
177	Iagoku	1
177	Esme_1	1
177	ExtraDumb	1
177	Gundam_Steven	1
177	Wooptey	1
177	the_fireminer	1
177	imthatpikachu	1
177	ewsophie	1
177	Jahara	1
177	NoHaHeHa	1
177	Ao_Ken	1
177	titanlax	1
177	Upstro10	1
177	Nicky_H225	1
177	slkiey	1
177	Tmb1	1
177	crying_wolf_13	1
177	Awyrlas	1
177	PegLegPete93	1
177	Paintz	1
177	DirtyBoar	1
177	SHAOBADMAN	1
177	RustyKedel	1
177	thebluehippo	1
177	Winklepicker279	1
177	Jackattack53	1
177	Chromary	1
177	Snowflowe	1
177	killmeiamtraitor	1
177	Studyhallsaver	1
177	pappaberg	1
177	MinerDec	1
177	jewbacaman	1
177	BunkeredTree	1
177	Ender_Souls	1
177	MeanTugger	1
177	Drewen24	1
177	KliBeast21	1
177	Lord_Jord	1
177	fw3xywashere	1
177	DizzleJay311	1
177	natajimi	1
177	RoofTyler	1
177	The_slideV3	1
177	MAns_44	1
177	560cool	1
177	SingedBread	1
177	ProfessorDiaper	1
177	Toriankel	1
177	lordpipe	1
177	Dusk_95	1
177	TheTommyGun63	1
177	IAmTheWalrus910	1
177	ItsDeltaMC	1
177	33sudo	1
177	ReyTheLegend	1
177	lcvezra	1
177	PortlyPete69	1
177	jcool7	1
177	nonarso	1
177	Kubeusz2010	1
177	Apicomplexa	1
177	cichy096	1
177	Wolverine4302	1
177	Powowowow	1
177	TechnoNinja64	1
177	Sral7	1
177	xolstoi	1
177	Calbo_	1
