rank	username	minecraft:used/minecraft:deepslate_brick_wall
1	weabis	650
2	TheSecondLord	554
3	mihimihimihi	527
4	Winklepicker279	481
5	pintsizedrogue	387
6	ZoomieZoomie	282
7	RoofTyler	256
8	Smashic	233
9	Megarboh	138
10	500am	104
11	EcksD	101
12	luseis	83
13	Huwulling	72
14	IronArshXS	64
15	Wowful	53
16	ImpavidArcher	50
17	Mattesco	33
18	Mr_Byzantine	32
19	_Boipl_	24
20	LeEricc	21
21	2bolx_	19
22	StinkyDiplomat	17
23	12Magner05	16
23	YungMaki	16
25	TheWildMateo	13
26	Ryker	11
27	drunkeeez	8
27	Kowcio_	8
27	UCP_TheKingK	8
30	Mahoose	6
31	Creativebuilder2	3
31	Solar_Power	3
31	Jimb0nat0r	3
34	tsitrawhy	2
35	fade_emerge78823	1
35	Spacewardharpy7	1
