rank	username	minecraft:used/minecraft:milk_bucket
1	Arceus1975	816
2	StinkyDiplomat	633
3	Blackberry1310	614
4	SpacesickPrism	590
5	Hyp3rion_	577
6	Mahoose	550
7	RoofTyler	510
8	EveryonesUncle	439
9	calamariclam_I	387
10	LeauVox4921	379
11	thewindmillman	356
12	T045RTY	339
13	Kowcio_	324
14	YungMaki	308
15	Inchef	300
16	Racengan	298
17	kekhon	296
18	Soplight	272
19	_Dean_123	263
20	Huwulling	259
21	Smoke____	242
22	MineMaster0012	235
23	TheSecondLord	227
24	pintsizedrogue	224
25	Lez_	215
25	RealGroot	215
27	lizardfightclub	208
28	beeperbeeper5	200
28	Akoot_	200
30	Mythic1130	167
31	lorpus	164
32	NomadicRobin_	163
33	Jimb0nat0r	162
34	Kura2218	160
35	gusstationwerker	153
36	diamondgolem35	150
37	binman420	125
38	Fuad_R	122
39	jushykins	121
40	xxPipperDipperxx	113
41	Auseawesome	110
42	eitanzaki	101
43	_Boipl_	100
44	500am	94
45	Frozil20	86
45	SammiWolfGirl	86
47	SlayerCrypto	85
47	EcksD	85
49	MinttyFressh	83
50	rarrq	81
50	SteveCraftBlocks	81
52	Flapjacker687	80
53	TheDankPlatypus	77
53	fw3xywashere	77
55	q_wq	76
56	KartivGal	73
57	Blaiku	72
58	NotTrixi	71
58	Skippeh	71
60	Marbz_	69
61	joethahobo	67
62	TechnoNinja64	66
63	laron58	65
64	Enderxz3	62
65	Creativebuilder2	61
66	SmashingPump	60
67	F_Uhre	59
68	lillips	58
69	halfwayup	57
70	PigDab	56
71	tsitrawhy	55
72	EMC_	54
73	hm947	53
73	Jackattack53	53
73	ColourfulAfrican	53
73	FreakGenius	53
77	noam464	52
78	fade_emerge78823	49
78	DarkS0L	49
80	SuperPooch06	48
80	gloryoftherain	48
82	shadowthemonkey	45
82	Chromary	45
82	majlin16	45
82	AstroLightz_	45
86	PazinGaming	44
86	Sleek_Storm_721	44
88	lcvezra	43
89	Da_Boss_Rani	42
89	Winklepicker279	42
91	UncreativeArtist	41
92	Arsinic7	40
92	hanaryheatwave	40
92	CarryLine	40
95	soundad	39
95	XboxPanda	39
97	ITDV	38
97	WyngGoy	38
97	AltnumberF4	38
100	ZA07	37
100	Not_Insom	37
102	AlexxO_o	35
102	the_russell1611	35
102	MilleGrug	35
102	bladeefan2009	35
106	King_Pancake1	33
107	CalebDHawk	32
108	Dogcorn69420	31
109	xolstoi	30
110	nattybears	27
110	ZaneABrain	27
110	Kakolbus	27
110	YungWali	27
110	SvenskaHugo	27
115	Wowful	26
115	The_Quack_Dealer	26
115	Quaintster	26
118	Fullut	25
118	olliebollie48	25
118	DarlaMeow	25
118	PortlyPete69	25
122	FishisTTV	24
123	Groovy_MoonBird	23
123	CoffeeNoir	23
123	corpsecity	23
123	PlasticOtari	23
127	PhantomsGhost_	22
127	Kkanot	22
127	JoeSaysBingBong	22
127	luseis	22
131	ssleepless	21
132	SquadMonster	20
132	ElFi66	20
134	Ironmine12	19
134	jacxhadow	19
134	Awyrlas	19
134	GlitchyPlate810	19
138	slkiey	18
138	MyNameIsDakar	18
138	Travka100	18
138	HesDemonPants	18
142	Incinere	17
142	Skylord_Luke	17
142	Werbe	17
142	mihimihimihi	17
146	Historical_Sand	16
146	bloodbiter	16
146	Di_infiri	16
146	Quotary	16
150	m_be9	15
150	_Nuf	15
150	Touched_Bread	15
150	xKhoshekh	15
150	xX_Stalin69_Xx	15
150	Dr0xzy	15
156	Merv__	14
156	jessewegottacook	14
156	catandmoose	14
156	Leyna3	14
156	EngagedGrub41	14
156	Ezekson	14
162	xfemboyx	13
162	fr_ser	13
162	Onennon	13
162	claivin	13
162	Nycteus_	13
162	THEKINGLyric10	13
162	ItsJunoIGuess	13
162	2bolx_	13
170	hxdjxd	12
170	sammidk	12
170	TheTrueClipse	12
170	XxCookiequeenxX	12
170	NameGenerat0r	12
170	UCP_TheKingK	12
176	Apollo_993	11
176	MrKrabOnCoke	11
176	eviltunix	11
176	M_Patata	11
176	LilyNova	11
176	Blu3beast	11
176	fluddd	11
176	MasterNueve	11
184	BobDeBouwer1337	10
184	crying_wolf_13	10
184	peanutbader	10
184	thescout7	10
184	Vorlice	10
184	CACTUSLAD	10
184	momis24	10
184	h2p_emrld	10
192	Hpdinosaur	9
192	mwrty	9
192	Snowflowe	9
192	Luminad3	9
192	Katsuragi0243218	9
192	TheTommyGun63	9
192	Eraxa	9
192	TheEnderMan548	9
200	Yatitay	8
200	RebelAndroid	8
200	ShedJr_	8
200	FishyBoy3811	8
200	djancak	8
200	ConnorDanky_	8
206	LovelyDane	7
206	KarlKaek	7
206	Jahara	7
206	heckface	7
206	Vizzoid	7
206	titanlax	7
206	tobyish	7
206	platinumzero	7
206	Tyrannosplart	7
206	HellsSponge	7
206	non089	7
217	ratglock	6
217	MyNameIsJobo	6
217	LeGold	6
217	Maenara	6
217	Lord_Jord	6
217	xDraggin	6
217	Spacewardharpy7	6
217	__tomato	6
217	Steelynan	6
217	anbbang	6
227	chipklip	5
