rank	username	minecraft:used/minecraft:coal_block
1	TheBiggestFeller	1481
2	AdmiralSmoke	741
3	Snowflowe	687
4	Comma__	604
5	kekhon	587
6	teslawolf38	381
7	lillips	367
8	Xclax101	350
9	ProfessorBee	301
10	gcaisawesome	284
11	Akoot_	257
12	Frozil20	243
13	Lez_	202
14	Lord_Jord	194
15	G1ldor	187
16	Onennon	169
17	ItsDeltaMC	163
18	Werbe	155
19	ConnorDanky_	135
20	TheSecondLord	123
21	EveryonesUncle	122
22	skrongus	117
23	Spenduh	115
24	500am	103
25	_8man	97
25	luseis	97
27	OffWithTheirHead	93
28	lcvezra	82
29	tobinwilliams	74
30	Powowowow	73
31	Soplight	70
32	Spacewardharpy7	68
33	masskedman	66
34	beeperbeeper5	65
34	MattieHD	65
36	fluddd	63
36	IvarEXE	63
38	Nicserso	60
39	Shogunite	59
39	Kowcio_	59
41	set67	57
42	MyNameIsJobo	53
43	Stiar	51
44	YungMaki	48
45	Awyrlas	45
46	rarrq	43
47	ImpavidArcher	40
48	Historical_Sand	39
48	Enderxz3	39
50	Incinere	36
51	noam464	32
51	Sheldor097	32
53	ShedJr_	31
54	Lukeee33	29
54	RobotMinion101	29
56	MuffinManzz	27
56	thewindmillman	27
56	DemTechAlpha	27
56	_Karmaa	27
56	07shiny	27
61	vandmanden	26
62	Skylord_Luke	23
63	Blackberry1310	22
63	Fullut	22
63	MilleGrug	22
66	Razzgriz	20
67	EMC_	19
67	Legendosh	19
69	Dogbound	18
69	Di_infiri	18
71	Merv__	17
71	Mahoose	17
73	m_be9	16
73	MAns_44	16
75	Steelynan	15
76	LordSpeed37	14
76	PortlyPete69	14
78	joethahobo	13
78	ROY4LE	13
78	FreakGenius	13
78	Blu3beast	13
82	eitanzaki	12
82	WyngGoy	12
84	Cryptacity	11
85	Arceus1975	10
85	Bumpy419	10
87	audiocracked	9
88	12Magner05	8
88	Smashic	8
88	Kakolbus	8
88	Luminad3	8
92	Bandito_Roamer	7
92	KGTV	7
92	Rebytre	7
92	ooga47	7
92	The_slideV3	7
97	ApophisNova	6
97	SaintJosie	6
97	Ze_BaronKrigler	6
97	Skippeh	6
97	MyNamaSheff	6
102	_Huge_Male_	5
102	TheShyPig	5
102	yulgur1	5
102	lordpipe	5
102	Faart	5
107	Killercatty78	4
107	BobDeBouwer1337	4
107	Zaridey	4
107	PigDab	4
107	Tyrannosplart	4
107	SammiWolfGirl	4
107	xolstoi	4
114	PazinGaming	3
114	poopybh	3
114	AMOTOS_LASODEMIA	3
114	hanaryheatwave	3
114	Segotep999	3
114	88Hazza88	3
120	pintsizedrogue	2
120	PhantomsGhost_	2
120	livingdaydreams	2
120	T045RTY	2
120	H72l9w	2
120	bloodbiter	2
120	fade_emerge78823	2
120	Kubelz	2
120	jedi_george	2
120	SuperPooch06	2
120	Hyp3rion_	2
120	theofiel	2
120	Manaateee	2
120	majlin16	2
120	DarlaMeow	2
120	HellsSponge	2
120	Blaiku	2
120	SpacesickPrism	2
120	jcool7	2
120	Sral7	2
120	Zcolt69	2
141	Groovy_MoonBird	1
141	Froste131	1
141	chipklip	1
141	Deu_Stew	1
141	Badenbeele	1
141	SmashingPump	1
141	diamondgolem35	1
141	Ryan_GEMS	1
141	ssleepless	1
141	itburb	1
141	CompAir	1
141	Flores991	1
141	SyntheticSurgeon	1
141	MangoTango82	1
141	Huwulling	1
141	titanlax	1
141	_Nuf	1
141	slkiey	1
141	Tmb1	1
141	eviltunix	1
141	LeauVox4921	1
141	Covalents	1
141	moderncraft	1
141	Chromary	1
141	Rumpletaezer	1
141	King_Pancake1	1
141	_Boipl_	1
141	Moofyman	1
141	AlexxO_o	1
141	Drewen24	1
141	Rasmanden	1
141	IamCL4SSY	1
141	parodypatient	1
141	Inbefour	1
141	Lord_Zacler	1
141	Deodorante	1
141	wobn	1
141	balin55	1
141	Racengan	1
141	starbits140	1
141	anbbang	1
141	EcksD	1
141	FelixPSY375	1
141	Jimb0nat0r	1
141	PlasticOtari	1
