rank	username	minecraft:used/minecraft:mangrove_fence_gate
1	Mattesco	66
2	Mr_Byzantine	15
3	beeperbeeper5	12
3	Jimb0nat0r	12
5	Merv__	6
6	Mahoose	4
7	Druid95	2
8	k_ce	1
8	Nicserso	1
