rank	username	minecraft:used/minecraft:magenta_carpet
1	Spacewardharpy7	12742
2	YungMaki	6227
3	joethahobo	3775
4	beeperbeeper5	1863
5	jnp_gaming	1662
6	Lez_	1342
7	Crowman1	393
8	Huwulling	353
9	SoftSix	301
10	Kowcio_	294
11	Racengan	251
12	ConnorDanky_	210
13	RebelAndroid	208
13	mwrty	208
15	lordpipe	172
15	AdmiralSmoke	172
17	noam464	164
18	Alteriity	160
19	Napoleonpancake	116
20	MoistMicrowave	115
21	InfernalMound	88
22	Swexti	78
23	Inbefour	63
24	Akoot_	60
25	Ezekson	56
26	HellsSponge	48
27	eitanzaki	45
28	AJplaysMC_	42
29	Legendosh	39
30	wrinkledpiglet	38
31	TechnoNinja64	29
32	Awyrlas	28
33	CattSoup	27
34	Hermanni__	25
35	titanlax	23
35	thewindmillman	23
37	Njensen7	22
38	Di_infiri	20
39	SaucyDark	18
39	KlausVonStiglitz	18
39	lillips	18
39	xolstoi	18
43	Merv__	15
43	Jokerman369	15
45	PlasticOtari	14
46	Fullut	13
46	lcvezra	13
46	EcksD	13
49	PlzNoBM	11
50	PigDab	10
51	Arceus1975	9
52	Mahoose	7
52	UCP_TheKingK	7
54	500am	6
54	luseis	6
54	Zoeyfortnite	6
57	XboxPanda	5
57	oscminus	5
57	Avocadogerms	5
57	Quaintster	5
61	El_Jalapeno	4
62	SteveCraftBlocks	3
62	claivin	3
62	Lunkuku	3
62	_Mythic____	3
66	MrKrabOnCoke	2
66	Touched_Bread	2
66	Kakolbus	2
66	IAmTheWalrus910	2
66	UrbanPlanningEx	2
71	Batman922	1
71	heckface	1
71	cedric72	1
71	KermitTheKripple	1
71	Eraxa	1
71	00000000-0000-0000-0009-01fc796cc078	1
