rank	username	minecraft:used/minecraft:orange_glazed_terracotta
1	eitanzaki	554
2	FreakGenius	467
3	Steelynan	356
4	Merv__	350
5	lordpipe	306
6	Di_infiri	192
7	Spacewardharpy7	190
8	Inbefour	180
9	lillips	163
10	kekhon	134
11	Smoke____	121
12	YungMaki	112
13	Bumpy419	85
14	Mahoose	73
15	Soplight	68
16	TheShyPig	49
17	noam464	46
18	Frozil20	41
18	MakeHistory157	41
20	El_Jalapeno	31
21	MyNameIsJobo	26
22	RatatJuice	25
22	audiocracked	25
24	Blaiku	23
25	ImpavidArcher	19
25	CarltheCuck	19
25	Legendosh	19
28	Kubelz	17
29	luseis	14
30	mihimihimihi	12
31	ROY4LE	10
31	Snowflowe	10
33	Sabby65	9
34	Shogunite	7
34	monky_irl	7
36	Eraxa	6
37	joethahobo	4
37	pixelviolin	4
37	ConnorDanky_	4
40	thedhub	3
41	himak1	2
41	_Bguette_	2
41	sp00ky_ghost977	2
44	beeperbeeper5	1
44	Whiterooster001	1
44	rarrq	1
44	Tjhodskins19	1
44	trixterrx	1
44	thgrocks	1
44	LexMakesHistory	1
44	Airem_Core	1
44	ItsDeltaMC	1
44	Razzgriz	1
44	ElectricDragon81	1
44	EngagedGrub41	1
44	Skippeh	1
44	jnp_gaming	1
