rank	username	minecraft:used/minecraft:weathered_cut_copper_slab
1	PlasticOtari	22
2	luseis	18
3	beeperbeeper5	9
4	Apollo_993	6
5	Nicserso	3
6	Marbz_	1
6	JETrotter	1
6	Tiktola01	1
