rank	username	minecraft:used/minecraft:warped_pressure_plate
1	thewindmillman	79875
2	joethahobo	50
3	Legendosh	35
4	TheSecondLord	10
5	Apollo_993	9
6	beeperbeeper5	8
7	Lez_	7
8	Enderxz3	6
9	Manaateee	5
9	Spacewardharpy7	5
9	StarCookiees_	5
12	pintsizedrogue	4
12	SpartanNamor	4
12	oscminus	4
12	Dakar_	4
12	brofrickcheaters	4
17	Jackattack53	3
17	Arceus1975	3
17	Yamdalorian	3
20	Mr_Byzantine	2
20	Sleepy_Time_	2
20	kekhon	2
20	Jonafrog99	2
20	U_Mos_	2
20	iSammael	2
20	Soplight	2
20	ConnorDanky_	2
28	Hpdinosaur	1
28	Awyrlas	1
28	gcaisawesome	1
28	crashomon	1
28	TheShyPig	1
28	Akoot_	1
28	claivin	1
28	Decaying_Lotus	1
28	YungMaki	1
