rank	username	minecraft:used/minecraft:dropper
1	noam464	4908
2	Di_infiri	3680
3	Spacewardharpy7	1661
4	eitanzaki	1592
5	Blaiku	1212
6	HellsSponge	1141
7	thescout7	908
8	thewindmillman	638
9	Werbe	580
10	m_be9	500
11	Sral7	406
12	Jackattack53	389
13	Hyp3rion_	298
14	Freak_Genius	288
15	ProfessorBee	273
15	WyngGoy	273
17	MangoTheFish	222
18	PigDab	210
19	Soplight	207
20	EMC_	185
21	Smoke____	158
22	Groundler	136
23	EcksD	135
24	MightyWertu	130
25	Arceus1975	96
26	sp00ky_ghost977	93
27	Eczbek	83
28	beeperbeeper5	82
29	Historical_Sand	74
29	MyNameIsJobo	74
29	kinas45y5	74
32	Deathkob	73
33	oxfordschool	63
34	Dedalus36	62
35	12Magner05	59
36	EveryonesUncle	58
37	Awyrlas	56
38	LotusProject	52
38	Fildyr	52
40	mariominejedi	50
41	Inchef	45
42	Kakolbus	42
42	YungMaki	42
44	PortlyPete69	41
44	jnp_gaming	41
46	Lord_Jord	38
47	Onennon	37
48	Ezekson	33
49	KG1999	32
49	TechnoNinja64	32
51	fluddd	31
52	pintsizedrogue	30
52	Hoid_the_Roamer	30
52	yatsuta	30
52	fffMike	30
56	Rumpletaezer	29
56	Inbefour	29
58	Zythose	27
59	KnightmareD	26
60	gcaisawesome	24
60	Snowflowe	24
62	eiC_	23
63	kekhon	22
64	Merv__	21
64	SteveCraftBlocks	21
64	SellyZ	21
67	Nesquiczek	20
67	The_slideV3	20
67	El_Jalapeno	20
70	_Virify_	19
70	ImpavidArcher	19
70	Winklepicker279	19
73	selectrix	18
74	Warlord324	17
75	r123moore	16
75	Barlycorn	16
77	Fullut	15
77	mwrty	15
77	Marbz_	15
77	Sky_light_KING	15
81	NotP0tato	14
81	TheSecondLord	14
81	Paintz	14
81	Blu3beast	14
81	Quotary	14
86	FishyBoy3811	13
86	Maenara	13
86	MilleGrug	13
89	PhantomsGhost_	12
89	Franco093	12
89	Swexti	12
89	Rich_Kat	12
89	Tmb1	12
89	Scathra	12
89	CarltheCuck	12
89	_Bguette_	12
89	Quincannon	12
89	Frozil12	12
89	obzii	12
100	xxPipperDipperxx	11
100	Zaridey	11
100	censorsheep	11
100	Racengan	11
100	lordpipe	11
100	vandmanden	11
106	livingdaydreams	10
106	T045RTY	10
106	pixelviolin	10
106	Spenduh	10
106	Winston_Ingram	10
111	Drlzyy	9
111	_Nuf	9
111	TheShyPig	9
111	Legendosh	9
115	q_wq	8
115	tuckerdoodle	8
115	SlayerCrypto	8
118	diamondgolem35	7
118	HolyVenom	7
118	RodSerlingCringe	7
118	Akoot_	7
118	__tomato	7
118	Jordan_R	7
124	Blackberry1310	6
124	bloodbiter	6
124	500am	6
124	TheDankPlatypus	6
124	Chromary	6
124	Hisiste	6
124	djancak	6
124	Dogcorn69420	6
124	HesDemonPants	6
133	RebelAndroid	5
133	heckface	5
133	TheThomas69	5
133	M_Patata	5
133	andy_rex	5
133	Skylord_Luke	5
133	MousePlays	5
133	BumbleBeever	5
133	MasterNueve	5
133	Hermanni__	5
133	00000000-0000-0000-0009-01f898304150	5
144	H72l9w	4
144	slkiey	4
144	Covalents	4
144	ibarker21	4
144	Darkgon	4
144	Factoroni	4
144	Dusk_95	4
144	Xovalt_	4
144	Enderslayerxz3	4
144	UrbanPlanner1978	4
144	Zoeyfortnite	4
144	FishisTTV	4
156	Tobinator_007	3
156	MSK__	3
156	Prodiginus	3
156	MattieHD	3
156	Guillemet	3
156	ayqq	3
156	_8man	3
156	Xclax101	3
156	GravitySaint	3
156	Typadopoulos	3
156	MovingFish7	3
156	voiding_	3
156	PlzNoBM	3
156	Steelynan	3
156	tartanboy	3
171	Ailmast	2
171	ssleepless	2
171	Incinere	2
171	ivorico	2
171	Jackster03	2
171	egglapras	2
171	emrekn	2
171	benediktine1	2
171	Purplehere	2
171	Nyxiom_	2
171	Hiryu27	2
171	Drewen24	2
171	Rasmanden	2
171	FreddyFart	2
171	ayamefag	2
171	Eraxa	2
171	starbits140	2
171	_TCARREIRA_	2
171	ProbsNotNova	2
171	Logain42	2
171	jcool7	2
171	KingMatthew506	2
171	anbbang	2
171	2blox	2
171	EcksDofficial	2
196	_NieToksikpl_	1
196	Houstonion	1
196	Hyugo	1
196	lotarp	1
196	Mahoose	1
196	ShedJr_	1
196	Mercadies	1
196	jushykins	1
196	ABUSNA1996	1
196	MinttyFressh	1
196	Mariopreeet	1
196	Tjhodskins19	1
196	Stiar	1
196	xDzarkious	1
196	seramalen	1
196	fred870d	1
196	Leyna3	1
196	Fuhrer_Teemo	1
196	Kyrum2169	1
196	ediballbearings	1
196	xX_Stalin69_Xx	1
196	Wanjibon	1
