rank	username	minecraft:used/minecraft:jungle_boat
1	Mattesco	303
2	noam464	218
3	himak1	214
4	Mahoose	213
5	EcksD	201
6	_Nuf	132
7	Hyp3rion_	124
7	Soplight	124
9	PigDab	119
10	Alteriity	108
11	beeperbeeper5	104
12	craaaash	82
13	Steelynan	79
14	mwrty	75
15	EveryonesUncle	72
16	cutelilreno	69
17	Mr_Byzantine	67
17	Merv__	67
19	Lord_Jord	64
20	yyatsuta	62
21	pintsizedrogue	60
21	Jackattack53	60
23	HellsSponge	58
24	Kamflame	57
25	es0th	55
26	aldplaysmc	54
27	Frozil20	52
28	THEKINGLyric10	51
29	set67	50
29	oscminus	50
29	Kim_Jong_eel	50
32	claivin	48
33	_flud	47
33	Jordan_R	47
35	Enderxz3	46
36	Huwulling	44
36	Blu3beast	44
36	MightyWertu	44
39	kekhon	43
39	txxskx	43
41	Onennon	42
42	_Virify_	41
42	rarrq	41
42	bl1ss0	41
42	Tyrannosplart	41
46	Caribouse	40
46	TylerDupree	40
48	AuroraValkyrie	39
49	RobotMinion101	36
49	Quaintster	36
51	John6970	34
52	Bandito_Roamer	32
52	DarlaMeow	32
52	lordpipe	32
55	_Dean_123	31
55	Eraxa	31
57	Kakolbus	30
58	Rich_Kat	29
58	Legendosh	29
60	Euclidoris	28
60	That_tech_head	28
62	MyMawgDonaldsGon	27
62	Blackberry1310	27
62	Secret_Canary	27
62	Werbe	27
62	thgrocks	27
67	Fullut	26
68	WET_WET_WET	25
68	ougstur	25
70	NomadicRobin_	24
70	Spenduh	24
70	SammiWolfGirl	24
70	erkada	24
74	royal_2	23
74	TheSecondLord	23
74	Snowflowe	23
74	luseis	23
78	Akoot_	22
78	Fuad_R	22
78	Yamdalorian	22
81	Meatlaugh	21
81	blackeemperor	21
81	doublemaki	21
84	ZaneABrain	20
84	Myszoaz	20
84	Sleepy_Evelyn	20
84	Nach0Bear	20
84	ROY4LE	20
84	Paul_Katan	20
84	TechnoNinja64	20
91	Apollo_993	19
91	Swexti	19
91	HUNTERmaun	19
91	m_be9	19
91	Septemb3r	19
91	FreakGenius	19
91	Racengan	19
91	Ezekson	19
99	k_ce	18
99	HoltGrim	18
99	TwinTowerV2	18
102	WarHammer3	17
102	Xalithia	17
102	Doom_melon	17
102	hanaryheatwave	17
102	Krowuss	17
102	Slaymie	17
102	CacheOut	17
102	_TCARREIRA_	17
110	Groovy_MoonBird	16
110	joethahobo	16
110	catandmoose	16
110	500am	16
110	legal_tax_evader	16
110	RyuNeko932000	16
116	akap47	15
116	RefluxRatio	15
116	AspenLightVT	15
116	FiguraDei	15
116	Kowcio_	15
116	TheKingK_	15
122	T045RTY	14
122	SHAOBADMAN	14
122	Di_infiri	14
125	eitanzaki	13
125	Jekyll	13
125	PortlyPete69	13
125	elliebelle107	13
125	RadarHz	13
125	Sral7	13
125	Spaghettatron	13
132	Krasnal1337	12
132	thescout7	12
132	Covalents	12
132	aec9	12
132	_k2x	12
132	Skippeh	12
138	steppe_nomad	11
138	HyperCave	11
138	MovingFish7	11
138	__hinterland__	11
138	Kura2218	11
143	JohnnyFyes	10
143	chipklip	10
143	Hpdinosaur	10
143	TAKrules	10
143	Cryptacity	10
143	lorpus	10
143	Voxin2K	10
143	Deathkob	10
143	Ragnar2105	10
143	striker90333	10
153	PazinGaming	9
153	speenduhXD	9
153	heckface	9
153	Tongon	9
153	12Magner05	9
153	moderncraft	9
153	Bazongoman	9
153	fr_ser	9
153	Zythose	9
153	ApophisNova	9
153	a_d_e_x	9
153	Inbefour	9
153	Katthaj	9
153	Buuck_	9
153	MyNamaSheff	9
168	SpartanNamor	8
168	q_wq	8
168	6king6colt6	8
168	ImpavidArcher	8
168	Incinere	8
168	Zxhir	8
168	Hoid_the_Roamer	8
168	drompje	8
168	F_Uhre	8
168	cedric72	8
168	fkGrim	8
168	Universz	8
168	Synthoum	8
168	brofrickcheaters	8
168	PlzNoBM	8
183	Crowvens	7
183	ECstardust	7
183	Ryan_GEMS	7
183	Lisppp	7
183	MLG_Kirby69	7
183	Gregward_Smith	7
183	Misato_0	7
183	Nicky_H225	7
183	MattieHD	7
183	redikul	7
183	Marbz_	7
183	TheShyPig	7
183	Maenara	7
183	XxCookiequeenxX	7
183	handsome_strong	7
183	NameGenerat0r	7
183	BlighterSupreme	7
183	SpacesickPrism	7
183	CalebDHawk	7
183	Njensen7	7
183	PlasticOtari	7
204	MamaMarinara	6
204	Creativebuilder2	6
204	HotCocoJoe	6
204	Albertalo	6
204	NotMeanttoChange	6
204	emrekn	6
204	Inchef	6
204	eviltunix	6
204	SeverianOfUrth	6
204	Ecplosive	6
204	BusinesManFrecks	6
204	Mr_Froxy	6
204	Nicky19	6
204	NoobSlayerPro	6
204	DemTechAlpha	6
204	DJzombiehunter	6
204	QueenShuvi	6
204	iSammael	6
204	WyngGoy	6
204	Cocoamallows	6
204	07shiny	6
204	_3Stump_	6
204	Quotary	6
227	HazyDrummer	5
227	PhantomsGhost_	5
227	ssleepless	5
227	Rasaq	5
227	jimintyy	5
227	lotarp	5
227	Lez_	5
227	Tersea_	5
227	Saucepeh	5
227	bloodbiter	5
227	TheDiamondCG	5
227	Fullbit_	5
227	potatol208	5
227	XboxPanda	5
227	CharlieButt	5
227	Rumpletaezer	5
227	BronkerBrum	5
227	ItsAki_	5
227	ooga47	5
227	Niterux	5
227	Lutres_	5
227	Strangemonkey71	5
227	jcool7	5
227	hermmm_	5
227	Santinoaldo	5
252	gary_	4
252	Thaumatarge	4
252	Harotio	4
252	Zlatovlas	4
252	Natty	4
252	CoffeeNoir	4
252	Dipjol	4
252	peach0s	4
252	stevewithclout	4
252	skroobiez	4
252	Historical_Sand	4
252	InfernalMound	4
252	Crowman1	4
252	Comma__	4
252	SteveCraftBlocks	4
252	arrentto	4
252	crying_wolf_13	4
252	intropass	4
252	2Stout	4
252	xxPipperDipperxx	4
252	Rocco_Lane	4
252	OreTheBear	4
252	RevoRealist	4
252	MisterKanister	4
252	StormPool	4
252	Deodorante	4
252	Veillax135	4
252	The_slideV3	4
252	MAns_44	4
252	TiborSterle	4
252	censorsheep	4
252	GravitySaint	4
252	SingedBread	4
252	silverpopcorn	4
252	IAmTheWalrus910	4
252	MakeHistory157	4
252	Kayotx	4
252	Siguy__	4
252	Daedalus342	4
252	BlankityMcBlank	4
252	xzvu	4
252	Eczbek	4
252	Corkchef	4
252	imaginek1d	4
252	Thrasaere	4
252	MandenR1	4
298	WinterSepp	3
298	teslawolf38	3
298	I_Am_Mushkin	3
