rank	username	minecraft:used/minecraft:stripped_cherry_log
1	Mattesco	671
2	Reneedium	267
3	LuvLuvLove	249
4	pintsizedrogue	212
5	RatatJuice	203
6	Moofyman	167
7	cuddlyMonster	144
8	StarCookiees_	101
9	Rebytre	97
10	thatsjustfrankie	85
11	Kowcio_	84
12	Lazy_geniusig	73
12	11Brewer	73
14	Lez_	70
14	MattieHD	70
16	mymayowasgone	63
17	OreTheBear	49
18	icim	23
19	TheSecondLord	17
20	LovableFemboy	15
21	Mr_Sun15	13
21	Enderxz3	13
23	Mr_Byzantine	9
24	XxCookiequeenxX	8
25	Archsam	7
25	HUNTERmaun	7
27	luseis	5
28	Apollo_993	3
29	Tersea_	2
29	pixelviolin	2
29	Pumpkin_P_Patch	2
32	hydrothebot	1
32	Dynamic_wolf_1	1
32	emreknugrlu	1
