rank	username	minecraft:used/minecraft:soul_lantern
1	TheWickedBird	5077
2	beeperbeeper5	1294
3	noam464	1266
4	gcaisawesome	544
5	eitanzaki	434
6	TheSecondLord	424
7	rarrq	412
8	mihimihimihi	371
9	Crowman1	296
10	Mattesco	291
11	mwrty	289
12	Kowcio_	283
13	CattSoup	257
14	doublemaki	241
15	Legendosh	232
16	Ezekson	200
17	luseis	197
18	Eraxa	175
19	thewindmillman	171
20	PlasticOtari	160
21	MrExplorer	159
22	Fullut	157
23	Mr_Byzantine	132
24	Mahoose	125
25	TheShyPig	124
26	kekhon	122
27	Enderxz3	119
28	_Dean_123	117
29	ConnorDanky_	114
30	CalebDHawk	112
31	FishyBoy3811	110
32	Akoot_	105
33	Alteriity	100
34	Yamdalorian	99
35	Merv__	93
36	Marbz_	92
37	ScootOfBoot	91
38	r123moore	90
39	SpacesickPrism	89
40	joethahobo	83
41	Manaateee	79
42	UncreativeArtist	74
42	NomadicRobin_	74
44	Dakar_	72
45	milltesco	66
45	HellsSponge	66
47	RebelAndroid	62
48	Huwulling	61
49	RoskobiOne	59
49	pixelviolin	59
49	Pumpkin_P_Patch	59
52	Spaghettatron	58
53	ShedJr_	56
54	500am	54
55	Blackberry1310	46
56	teslawolf38	43
57	pintsizedrogue	41
58	royal_2	36
58	ROY4LE	36
58	IlkeCookes_	36
61	Jjackoe	34
62	Historical_Sand	32
63	MAns_44	30
64	Apollo_993	29
64	seramalen	29
64	SvenskaHugo	29
67	Jonafrog99	28
68	Sleepy_Evelyn	27
69	MuffinManzz	26
69	Boipl	26
69	ZoomieZoomie	26
69	Jimb0nat0r	26
73	_i_ERROR_i_	25
74	Lez_	24
74	Billious	24
74	Mr_Sun15	24
77	MattieHD	23
77	Touched_Bread	23
77	Kakolbus	23
77	GildedRemnant	23
81	poopybh	22
82	Groovy_MoonBird	19
82	HUNTERmaun	19
82	NieToksikpl	19
82	podduszenie	19
82	Hoid_the_Roamer	19
87	LeCavalier636	18
88	12Magner05	17
88	Elastiq	17
88	Druid95	17
88	Nicserso	17
92	lpinfinity	16
93	Cowison	14
93	Skylord_Luke	14
93	EveryonesUncle	14
93	Kitchen_Meow	14
97	DocZelenka	13
97	U_Mos_	13
97	2blox_	13
100	SteveCraftBlocks	12
100	CarltheCuck	12
100	Wowful	12
100	lordpipe	12
104	_Huge_Male_	11
104	Jackattack53	11
104	ZeroKraken	11
107	Werbe	10
107	HolyVenom	10
107	Vetomo8000	10
107	SammiWolfGirl	10
111	Olib3ar	9
111	00000000-0000-0000-0009-01ff0c3e5e4f	9
113	Niklas20114552	8
113	jacxhadow	8
113	Chromary	8
113	EdGalbraith	8
113	ATurtle4936	8
118	q_wq	7
118	Frozil20	7
118	corpsecity	7
118	parodypatient	7
118	gustarlep	7
118	Vegvisir	7
118	EtherealEspresso	7
118	non089	7
118	11Brewer	7
127	robertsnose	6
127	xxPipperDipperxx	6
127	shadowthemonkey	6
130	Wooptey	5
130	T045RTY	5
130	skroobiez	5
130	SquadMonster	5
130	Moofyman	5
130	PaperCanvas	5
130	Kubeusz2010	5
137	BPTY4618	4
137	PazinGaming	4
137	nattybears	4
137	CoffeeNoir	4
137	Myszoaz	4
137	DisgruntledKoala	4
137	F_Uhre	4
137	SolarKar	4
137	Umprella	4
137	blackeemperor	4
137	Buuck_	4
137	KamFurnace	4
149	ECstardust	3
149	Ryker	3
149	0nly_sn1per	3
149	Iamthejo	3
149	es0th	3
154	k_ce	2
154	diamondgolem35	2
154	Creativebuilder2	2
154	titanlax	2
154	olliebollie48	2
154	XboxPanda	2
154	craaaash	2
154	Arceus1975	2
154	Jekyll	2
154	Sharksicle_art	2
154	the_russell1611	2
154	Mr_Gulle_	2
154	Fuad_R	2
154	Spacewardharpy7	2
154	Synthoum	2
154	Soplight	2
154	hermmm_	2
154	EcksD	2
154	Quotary	2
173	Lorcout	1
173	CLG_Kata	1
173	DinoDoctor_	1
173	RatatJuice	1
173	danslayer25	1
173	_AceOfSpace_	1
173	hanaryheatwave	1
173	Zythose	1
173	_buffgirls	1
173	SvenskaSara	1
173	Athenaeaen	1
173	lizardfightclub	1
173	GooseWithin	1
173	DJzombiehunter	1
173	GoldTunes	1
173	Racengan	1
173	tonyth3tiger	1
173	Segotep999	1
173	Sheldor097	1
173	guccipucci_	1
173	Steelynan	1
173	taengoos	1
173	jnp_gaming	1
