rank	username	minecraft:used/minecraft:nether_wart
1	Snowflowe	9495
2	MilleGrug	8271
3	lordpipe	8081
4	YungMaki	7750
5	thewindmillman	6827
6	TechnoNinja64	6381
7	EMC_	5707
8	Legendosh	5624
9	Hyp3rion_	5552
10	TheShyPig	5151
11	himak1	3447
12	ApophisNova	3151
12	MyNamaSheff	3151
14	FreakGenius	2984
15	luseis	2403
16	noam464	2376
17	kekhon	1951
18	Smoke____	1847
19	beeperbeeper5	1842
20	El_Jalapeno	1776
21	eitanzaki	1659
22	Lez_	1628
23	pintsizedrogue	1531
24	eiC_	1529
25	Lord_Jord	1410
26	ooga47	1389
27	Vorlice	1292
28	bloodbiter	1284
29	m_be9	1185
30	Arceus1975	1048
31	ProfessorBee	992
32	Blu3beast	949
33	PlasticOtari	947
34	Ezekson	909
35	lizardfightclub	861
36	RoskobiOne	824
37	rarrq	774
38	DarlaMeow	720
39	PigDab	712
40	mwrty	703
41	calamariclam_I	662
42	ZeroKraken	632
43	fluddd	624
44	ConnorDanky_	619
45	Marbz_	614
46	HellsSponge	585
47	Kakolbus	571
48	6king6colt6	555
49	Soplight	545
50	Bandito_Roamer	516
51	fallingemma	513
52	Rumpletaezer	482
53	SammiWolfGirl	470
54	Eraxa	462
55	claivin	459
56	brofrickcheaters	447
57	TheSecondLord	434
58	Darkgon	428
59	Blackberry1310	407
60	Merv__	374
61	Lowjinx	369
62	Di_infiri	365
63	TheOnlyRake	351
64	Eczbek	345
65	Xclax101	323
66	Hoid_the_Roamer	314
67	WET_WET_WET	309
68	BuildTheGondola	297
69	Dogcorn69420	276
70	Fullut	264
71	EveryonesUncle	263
72	Hisiste	262
73	Blaiku	257
74	KomputerDude	256
75	Maenara	246
76	ori0le	241
77	500am	235
78	joethahobo	229
79	CaptainDeadBread	224
80	Jackattack53	200
81	Kowcio_	197
82	Steelynan	195
83	crying_wolf_13	194
84	Awyrlas	192
85	Luigipunch989	190
86	zToasty69z	185
86	FishisTTV	185
88	_Nuf	184
88	wezzzi	184
88	_AAZAR	184
88	Nicserso	184
88	Sral7	184
93	Paintz	183
94	Ssor69	182
94	xxPipperDipperxx	182
96	eviltunix	180
97	JayToe	176
98	q_wq	168
99	Winston_Ingram	163
100	UCP_TheKingK	162
101	EcksD	161
102	halfwayup	160
103	Akoot_	157
104	xolstoi	149
105	CoffeeNoir	136
105	StinkyDiplomat	136
107	RebelAndroid	132
108	IEatBooty	130
108	surfinggiraffejp	130
108	stavgod	130
111	ratglock	127
112	OfficerAnvil	121
113	ItsAki_	119
114	Ardennes	117
115	Kynigito	115
115	2bolx_	115
117	AlphaWolfPlaysMC	114
118	Hiryu27	113
118	master9067	113
120	ROY4LE	112
121	gusstationwerker	109
122	Jovaphobic	108
122	set67	108
124	ehunt54	106
125	Myszoaz	104
126	FirsTimeGamingTV	102
127	H72l9w	101
127	lorpus	101
127	SuperPooch06	101
130	Skylord_Luke	100
130	Inbefour	100
132	mawileite	99
133	ThiccExotic	96
