rank	username	minecraft:used/minecraft:tuff_bricks
1	pixelviolin	3070
2	Secret_Canary	2765
3	thewindmillman	1842
4	Mr_Byzantine	1134
5	Enderxz3	624
6	k_ce	614
7	LeCavalier636	600
8	CLG_Kata	411
9	GGabrielSauce	137
10	Umprella	107
11	Buuck_	97
12	oscminus	79
13	Spaghettatron	75
14	Yamdalorian	36
15	Eczbek	33
16	00000000-0000-0000-0009-01fe065167f0	28
17	beeperbeeper5	21
18	Werbe	19
19	MattieHD	17
19	Soplight	17
21	Lorcout	9
22	Pumpkin_P_Patch	8
23	Merv__	7
23	net_flex	7
25	_Mythic____	6
26	MyMawgDonaldsGon	4
26	MAns_44	4
28	nev_s	1
