rank	username	minecraft:used/minecraft:orange_bed
1	Soplight	97
2	Mahoose	86
3	beeperbeeper5	75
4	AdmiralSmoke	65
5	12Magner05	59
6	Quotary	53
7	Onennon	47
8	xxPipperDipperxx	39
9	mwrty	38
10	HellsSponge	36
11	Groovy_MoonBird	33
12	Merv__	24
13	YungMaki	23
14	Blaiku	22
15	laron58	21
16	Blackberry1310	20
16	MineMaster0012	20
18	500am	16
19	T045RTY	14
20	ReflexCode	13
21	dimondking777	11
21	Lez_	11
21	Werbe	11
24	El_Jalapeno	10
24	EcksD	10
26	Apollo_993	9
26	TheALV	9
28	kekhon	8
28	ChillenChiggen	8
28	thewindmillman	8
28	420BreadLizard	8
28	Quincannon	8
28	PlasticOtari	8
34	joethahobo	7
34	Bumpy419	7
34	djancak	7
37	RoskobiOne	6
37	gcaisawesome	6
37	noam464	6
37	ormr_kin	6
37	TheShyPig	6
37	HeraclesOGU	6
37	luseis	6
37	SammiWolfGirl	6
45	SmashingPump	5
45	SpicyMeatballs	5
45	Karetoko	5
45	Kynigito	5
45	SkateboardR6	5
45	Kowcio_	5
45	stellarjay	5
45	ConnorDanky_	5
53	pintsizedrogue	4
53	_Virify_	4
53	Crowvens	4
53	SaucyDark	4
53	ActualPatbaf	4
53	Ssor69	4
53	Koffeeinz	4
53	TheSecondLord	4
53	TheSeismicDuck	4
53	FreakGenius	4
53	Groundler	4
53	SirBreadward	4
53	Ezekson	4
53	momis24	4
53	TechnoNinja64	4
68	CloroxBleach385	3
68	Sleek_Storm_721	3
68	TooManyDuck	3
68	RebelAndroid	3
68	Dblikstad	3
68	rarrq	3
68	Fullut	3
68	4774	3
68	UncreativeArtist	3
68	buttsandcats	3
68	Rebytre	3
68	IamCL4SSY	3
68	Dogcorn69420	3
68	OfficerAnvil	3
68	xolstoi	3
83	funeralhome	2
83	Paint	2
83	dabloons	2
83	teslawolf38	2
83	Sabby65	2
83	eitanzaki	2
83	Stright_	2
83	Prodiginus	2
83	CEOofSHINS	2
83	slkiey	2
83	Smashic	2
83	fade_emerge78823	2
83	M_Patata	2
83	Windo_licker	2
83	Hiryu27	2
83	selectrix	2
83	CarryLine	2
83	Soap_Bender	2
83	MS_Pryxx	2
83	ProfessorDiaper	2
83	MasterNueve	2
83	lcvezra	2
83	PlzNoBM	2
83	Steelynan	2
83	JasmineGK	2
108	NatalieTW	1
108	robocrypto	1
108	fr0stss	1
108	Cryptacity	1
108	Nicky_H225	1
108	Jokerman369	1
108	Baozai	1
108	PegLegPete93	1
108	Bolete	1
108	WET_WET_WET	1
108	pappaberg	1
108	DAD_1996	1
108	seramalen	1
108	Maenara	1
108	Akoot_	1
108	Thomez_	1
108	Juk3b0x	1
108	Jamstroxian	1
108	pixelviolin	1
108	underscore_2	1
108	Segotep999	1
108	therobo300	1
108	fffMike	1
108	KingMatthew506	1
108	Aryamanee	1
108	Enderxz3	1
108	vandmanden	1
108	Sral7	1
108	00000000-0000-0000-0009-01ff0c3e5e4f	1
