rank	username	minecraft:used/minecraft:brown_dye
1	olliebollie48	15
2	PlasticOtari	13
3	NieToksikpl	4
4	TheSecondLord	3
5	Hyp3rion_	2
5	EveryonesUncle	2
7	500am	1
7	noam464	1
7	KeruNatsema	1
