rank	username	minecraft:used/minecraft:shield
1	skrongus	11668
2	beeperbeeper5	3946
3	Eraxa	2527
4	PazinGaming	1988
5	Luminad3	1552
6	monky_irl	1342
7	MAns_44	1191
8	SkateboardR6	1160
9	fffMike	1133
10	Killercatty78	1032
11	hm947	979
12	ECstardust	901
13	djancak	842
14	Lord_Jord	825
15	M_Patata	809
16	set67	669
17	MasterNueve	661
18	Kowcio_	629
19	k_ce	620
20	MirielThePastor	597
21	Racengan	566
22	Chromary	564
23	FreakGenius	563
24	SyntheticSurgeon	557
25	Kubelz	550
26	Arceus1975	527
27	Rebytre	522
28	calamariclam_I	519
29	Wowful	516
30	jacxhadow	466
31	excelsionprime	458
32	Steelynan	424
33	Nach0Bear	423
33	Fuad_R	423
35	TheSecondLord	420
36	ZeroAbyssTTV	415
37	Historical_Sand	366
37	lorpus	366
39	Hahaa_0	348
40	joethahobo	334
41	LeonelSalamanca	333
42	Mahoose	326
43	Enderxz3	324
44	SingedBread	307
45	StarCookiees_	292
46	lorywithay	282
47	Soplight	270
48	Mr_Byzantine	268
49	Krowuss	266
50	BPTY4618	265
51	Akoot_	263
52	FishyBoy3811	259
53	Leyna3	254
54	ExtraDumb	252
55	Hisiste	251
56	Celeste_121	242
57	RadarHz	241
58	Snowflowe	239
59	Decaying_Lotus	236
60	Nicky_H225	234
61	fanofbands101	231
62	Xalithia	229
63	breadbowlgamer	227
64	F_Uhre	226
64	Ze_BaronKrigler	226
66	Avocadogerms	224
67	gren_ben	223
68	Secret_Canary	222
69	kekhon	221
70	Fullut	220
71	hanaryheatwave	218
72	ItsDeltaMC	217
73	Legendosh	208
74	burbankbuilder28	202
75	Myszoaz	198
76	_Dean_123	194
77	DanTheBuilderino	190
77	FadedSpade82	190
79	Segotep999	187
80	orxngejuice	179
81	Blackberry1310	176
81	MineMaster0012	176
83	BlancoFlaco	171
84	Touched_Bread	170
85	Paint	168
86	teslawolf38	156
87	420BreadLizard	155
88	Jackattack53	149
89	mattybeewrapss	146
90	Ryan_GEMS	144
91	parodypatient	143
92	MadmanRaven	141
93	2blox_	140
94	alanbleachdemon	139
95	EveryonesUncle	138
96	Saucepeh	137
96	bee_gorl	137
98	ItsHydroMC	136
99	Flores991	131
99	Flapjacker687	131
101	CLG_Kata	130
102	CoffeeNoir	127
102	TheBananaKat	127
104	NomadicRobin_	125
104	DTwenty	125
106	YungMaki	123
107	TheFlfthHorseman	119
108	Invintic	118
109	NinjaKnifeKill	117
110	HoltGrim	116
111	Timfinity4	114
112	Kennyissleepy	113
113	Gryglu583	112
114	mimbo1211	111
114	trixterrx	111
116	HolyVenom	110
116	coobert42	110
118	SOA1RR	106
119	spellmre	105
120	PortlyPete69	104
121	NoChumpChange	102
121	smogfrog	102
123	thebaddruid	101
123	MS_Pryxx	101
125	cyuar	100
126	Dreamdbr14	99
126	00000000-0000-0000-0009-01ff0c3e5e4f	99
128	KingEgg1	98
128	UMosDiesIrae	98
130	theonlymagikarp	97
131	fade_emerge78823	94
131	TheEnderMan548	94
133	Werbe	93
134	Jakobo1337	92
135	AstreaTSS	91
136	T045RTY	90
137	CharlieButt	89
138	CloroxBleach385	88
139	xPixelRainx	87
139	Reneedium	87
139	halfwayup	87
139	fw3xy74	87
143	aldplaysmc	86
143	DarkS0L	86
145	Spenduh	85
146	Kkanot	84
146	Dan_Scha	84
148	CalebDHawk	83
148	AdmiralSmoke	83
150	TAKrules	80
150	zToasty69z	80
150	Jimi7hits	80
153	MinttyFressh	79
153	skelecorebot	79
155	IgnoredBee	78
155	ScootOfBoot	78
157	ccormacs	77
158	JohnnyFyes	76
158	Joestra	76
160	Gmoney390	75
160	MightyWertu	75
160	starbits140	75
163	SugarMyNuggets	74
163	LeauVox4921	74
163	Samificator	74
163	Bl1tzFX	74
163	SolicitedPuma101	74
163	momis24	74
163	00000000-0000-0000-0009-01fc3bb26159	74
170	Tiberonus	73
170	MustardSquid	73
172	H0UNDFRMH3LL	72
172	xExpresso	72
174	xyct	70
174	AppleJacks	70
174	MilleGrug	70
177	brofrickcheaters	69
178	q_wq	68
178	Jackster03	68
178	ITDV	68
178	__TheNorseMan__	68
182	CrazyPotater	67
183	Syropatathe	66
183	shrimp_flips	66
183	pixelviolin	66
186	Auseawesome	65
186	12Magner05	65
186	Dali1465	65
186	Jimb0nat0r	65
190	_HoneySlime_	63
190	GooseWithin	63
192	crying_wolf_13	62
192	Z3braYTIL	62
194	EMC_	61
194	chimpmunker	61
194	MLG_Kirby69	61
194	rarrq	61
194	Tiktola01	61
194	little_dUki	61
194	AltnumberF4	61
201	PhantomBionic	60
201	Sleepy_Time_	60
201	CarltheCuck	60
201	Gab4101	60
205	Tommhh	59
205	_Magdo_	59
207	Gemstuff	58
207	SpaceTurtleOX	58
209	HAIRYCLOUD626	57
209	Kubeusz2010	57
211	Spacewardharpy7	56
211	EngagedGrub41	56
213	RoskobiOne	55
213	Merv__	55
213	Ryker	55
213	Awyrlas	55
213	Mookle96	55
213	_Boipl_	55
219	KGTV	54
219	fluddd	54
221	ItsRyanM8	52
222	Creativebuilder2	51
222	WarMachina	51
224	pintsizedrogue	50
224	AuroraValkyrie	50
224	eitanzaki	50
224	Nycteus_	50
224	LeEricc	50
224	TheALV	50
224	Eczbek	50
231	Vicemaniac	49
232	_lildarki3	48
232	Mr_Sun15	48
234	Koffeeinz	47
234	KliBeast21	47
234	TheTrueClipse	47
237	Apollo_993	46
237	Armattillo	46
237	ReSynced	46
237	UltraZombie	46
237	Hermanni__	46
242	Vryistal	45
242	lillips	45
242	ConJaBz	45
242	Trioxide	45
242	Paguz01	45
247	_AceOfSpace_	44
247	Archsam	44
247	Itz_DuongVN	44
247	TheWildMateo	44
247	Nadhorion	44
252	Napoleonpancake	42
252	jnp_gaming	42
254	PixelatedBoss	40
255	Silvo614	39
255	PaperCanvas	39
255	BartekB19	39
255	NATE_the_HALO	39
255	00000000-0000-0000-0009-01f570995a20	39
260	DadWorksForSega	38
260	Lutres_	38
260	Kferno	38
263	Eczbox	37
263	Vegvisir	37
265	6king6colt6	36
265	masskedman	36
265	halfbakedlasagna	36
265	Yahir091	36
269	Frozil20	35
269	LittleIan365	35
269	Bonzaidalek	35
269	BiggieDawg	35
273	NieToksikpl	34
273	A_Potatoe	34
275	Groovy_MoonBird	32
275	KarlKaek	32
275	oscminus	32
278	unren	31
278	TragicHero27	31
278	FreddyFart	31
278	Kura2218	31
278	Glumb0	31
278	redbull52	31
278	Zcolt69	31
285	xxPipperDipperxx	30
285	Zythose	30
285	JitteryJared2	30
285	Deathkob	30
285	AssFullaCum	30
285	Winston_Ingram	30
291	Saltymart	29
291	Swexti	29
291	SammiWolfGirl	29
291	LeeMcGee30	29
295	drunkeeez	28
295	ooga47	28
295	Tyrannosplart	28
295	DubDoesGams	28
295	hdtpm	28
295	AshleySpiritHawk	28
