rank	username	minecraft:used/minecraft:cracked_nether_bricks
1	Legendosh	127
2	doublemaki	63
3	Yamdalorian	58
4	TheSecondLord	44
5	mobunni	3
6	Mattesco	2
7	robertsnose	1
7	Spacewardharpy7	1
