rank	username	minecraft:used/minecraft:acacia_wood
1	beeperbeeper5	2545
2	Smoke____	741
3	Legendosh	614
4	Megarboh	548
5	luseis	546
6	Mahoose	256
7	Onennon	151
8	ImpavidArcher	116
9	stellarjay	110
10	noam464	95
11	Elastiq	88
12	RoofTyler	85
13	TheSecondLord	67
14	Frozil20	46
15	jushykins	44
16	ConnorDanky_	35
17	Winklepicker279	33
18	Kowcio_	30
19	AnnieBathory	17
20	Apollo_993	16
21	SuperPooch06	14
21	TheALV	14
23	Spacewardharpy7	13
24	Werbe	12
25	YungMaki	9
26	Groovy_MoonBird	8
26	AgressiveEggdog	8
26	xXTheWolfmanXx	8
26	joethahobo	8
30	jessewegottacook	6
30	kekhon	6
30	MyNameIsJobo	6
30	Hiryu27	6
30	TJawesome09	6
35	NatalieTW	4
35	Merv__	4
35	fkGrim	4
38	Mr_Byzantine	3
38	SteveCraftBlocks	3
38	M_Patata	3
38	Groundler	3
38	MasterNueve	3
38	Slapface522	3
44	pintsizedrogue	2
44	noodlepack	2
46	BodaciousCake	1
46	corvidpartyfor6	1
46	r123moore	1
46	Di_infiri	1
46	RobotMinion101	1
46	_Bguette_	1
46	Shogunite	1
46	BlankityMcBlank	1
46	TechnoNinja64	1
46	calamariclam_I	1
