rank	username	minecraft:used/minecraft:deepslate_lapis_ore
1	YungMaki	844
2	thewindmillman	824
3	Hyp3rion_	597
4	luseis	265
5	Enderxz3	261
6	EMC_	233
7	Nicserso	225
8	Segotep999	185
9	hanaryheatwave	173
10	Smashic	130
11	LeauVox4921	101
12	corvidpartyfor6	99
13	PaperCanvas	88
14	MattieHD	81
15	Iamthejo	78
16	pintsizedrogue	76
17	AdmiralSmoke	73
18	MrKrabOnCoke	72
19	Kakolbus	63
20	Snowflowe	58
21	beeperbeeper5	54
22	Secret_Canary	51
23	Lez_	48
24	excelsionprime	47
25	q_wq	43
25	Lutres_	43
27	Cellcorgi649	41
28	pixelviolin	39
28	Jimb0nat0r	39
30	Wowful	38
31	tuckerdoodle	37
32	TheSecondLord	36
33	SpacesickPrism	35
34	j5ylim	33
35	12Magner05	30
36	fw3xy74	29
36	Steve897	29
38	Megarboh	27
39	poopybh	26
39	dartwaffle	26
39	Dan_Scha	26
42	SmashingPump	22
43	CLG_Kata	21
44	powercas_gamer	20
45	Crowman1	19
45	calamariclam_I	19
47	joethahobo	18
48	EveryonesUncle	17
49	ShedJr_	15
49	gcaisawesome	15
51	RebelAndroid	13
51	oscminus	13
53	UMosDiesIrae	12
54	H0UNDFRMH3LL	11
54	ARandomHedge	11
54	Marbz_	11
54	ApophisNova	11
54	MyNamaSheff	11
59	shadowthemonkey	10
59	Krowuss	10
59	Mattesco	10
62	masskedman	9
62	ZoomieZoomie	9
64	500am	8
64	PlasticOtari	8
66	ECstardust	6
66	Elastiq	6
66	Manaateee	6
66	FreakGenius	6
66	WYFYoyo	6
71	HolyVenom	5
71	KujikawaRisechi	5
71	AltnumberF4	5
74	TooPure2	4
74	Flores991	4
74	Ryker	4
74	MC_Gamer_Geek	4
74	Prismyst	4
74	mrnosetackle	4
74	KGTV	4
74	AlexxO_o	4
74	ItsDeltaMC	4
74	Kowcio_	4
84	diamondgolem35	3
84	IronArshXS	3
84	Miroryk	3
84	SvenskaHugo	3
88	Merv__	2
88	ITDV	2
88	corpsecity	2
88	Rebytre	2
88	GooseWithin	2
88	lordpipe	2
94	Apollo_993	1
94	jessewegottacook	1
94	Jonafrog99	1
94	Jimi7hits	1
94	groofles	1
94	LeonelSalamanca	1
94	Spacewardharpy7	1
94	StarCookiees_	1
94	NATE_the_HALO	1
94	MilleGrug	1
94	Hermanni__	1
94	Legendosh	1
