rank	username	minecraft:used/minecraft:acacia_button
1	beeperbeeper5	373
2	ImpavidArcher	99
3	Mahoose	48
4	Bandito_Roamer	44
4	thewindmillman	44
6	loveseeker	37
7	Smoke____	36
8	MeowMeowMcmuffin	30
9	Jackattack53	24
10	duqboy	19
11	PigDab	18
12	Spacewardharpy7	17
13	FreddyFart	15
14	Groovy_MoonBird	13
15	_Bguette_	12
16	Steelynan	11
17	Merv__	10
17	youhjjhhhjj	10
17	Soul_Atreus	10
20	PhantomsGhost_	8
20	Akoot_	8
20	NameGenerat0r	8
20	DeGodz4life	8
20	lordpipe	8
20	starbits140	8
26	ProfessorDiaper	7
26	Ezekson	7
28	Blackberry1310	6
29	Enderslayerxz3	5
30	pintsizedrogue	4
30	FujiBS	4
30	m_be9	4
30	RobotMinion101	4
30	chipklip	4
30	laron58	4
36	Kakolbus	3
36	Avermu	3
36	EveryonesUncle	3
36	Lowjinx	3
40	jushykins	2
40	egglapras	2
40	mimbo1211	2
40	Shogunite	2
40	IAmTheWalrus910	2
40	Soplight	2
40	EcksD	2
47	eitanzaki	1
47	CoffeeNoir	1
47	noam464	1
47	Karetoko	1
47	mariominejedi	1
47	jewbacaman	1
47	victorLIE	1
47	El_Jalapeno	1
47	SvenskaHugo	1
