rank	username	minecraft:used/minecraft:damaged_anvil
1	kekhon	68
2	noam464	53
3	Freak_Genius	50
4	Hyp3rion_	31
5	Akoot_	30
6	vandmanden	21
7	pintsizedrogue	18
8	lordpipe	15
9	joethahobo	14
9	Groundler	14
11	eitanzaki	13
11	ShedJr_	13
11	Chromary	13
11	LAVA129	13
15	beeperbeeper5	10
15	Blackberry1310	10
15	RobotMinion101	10
18	mwrty	9
18	Awyrlas	9
18	Blu3beast	9
18	Eraxa	9
18	brofrickcheaters	9
23	Blaiku	8
24	Yatitay	7
24	fr_ser	7
24	ApophisNova	7
24	KG1999	7
24	Soplight	7
24	MyNamaSheff	7
30	ImpavidArcher	6
30	Mahoose	6
30	12Magner05	6
30	Onennon	6
30	pixelviolin	6
30	stahouo	6
30	KingMatthew506	6
30	Hermanni__	6
30	kinas45y5	6
39	elicobnoah	5
39	Travasaur	5
39	error10101	5
39	500am	5
39	Kamflame10	5
39	ROY4LE	5
39	Snowflowe	5
39	OtariCharlie	5
39	Racengan	5
39	MakeHistory157	5
39	oxfordschool	5
39	jnp_gaming	5
51	teslawolf38	4
51	gaziter10	4
51	Swexti	4
51	Fullut	4
51	LotusProject	4
51	MangoTheFish	4
51	Hoid_the_Roamer	4
51	The_Fulgurator	4
51	Werbe	4
51	DarlaMeow	4
51	AssEatrAndLicker	4
51	SkateboardR6	4
51	Legendosh	4
64	Groovy_MoonBird	3
64	PhantomsGhost_	3
64	Drlzyy	3
64	6king6colt6	3
64	bigstankyy	3
64	TooManyDuck	3
64	Incinere	3
64	TheSecondLord	3
64	Mewar	3
64	gcaisawesome	3
64	Zaridey	3
64	gabriels543	3
64	King_Pancake1	3
64	pappaberg	3
64	TheShyPig	3
64	Ender_Souls	3
64	SpookyDraggin	3
64	lillips	3
64	HellsSponge	3
64	claivin	3
64	El_Jalapeno	3
64	Nycteus_	3
64	Xclax101	3
64	Steven1282598	3
64	MightyWertu	3
64	Ze_BaronKrigler	3
64	Razzgriz	3
64	Jij0	3
64	PortlyPete69	3
64	sebastiensaborio	3
64	jcool7	3
64	Kubeusz2010	3
64	Skippeh	3
64	EcksD	3
64	MeetTheWollo	3
64	Smoke____	3
100	_NieToksikpl_	2
100	Houstonion	2
100	diamondgolem35	2
100	ssleepless	2
100	Hpdinosaur	2
100	youhjjhhhjj	2
100	NinjaKnifeKill	2
100	rarrq	2
100	CliffEmAll	2
100	MattieHD	2
100	ProfessorBee	2
100	set67	2
100	himak1	2
100	Inchef	2
100	Stiar	2
100	Kakolbus	2
100	Giannism	2
100	loveseeker	2
100	Jackattack53	2
100	thewindmillman	2
100	MustardDrinker	2
100	Hiryu27	2
100	RodSerlingCringe	2
100	wezzzi	2
100	masskedman	2
100	Inbefour	2
100	Meatlaugh	2
100	GoofyBread	2
100	1442	2
100	Frozil12	2
100	ayamefag	2
100	yatsuta	2
100	YungMaki	2
100	djancak	2
100	fffMike	2
100	Enderslayerxz3	2
136	Astronicky	1
136	RosaDoesMC	1
136	_Virify_	1
136	soundad	1
136	Sleek_Storm_721	1
136	Iagoku	1
136	Dedalus36	1
136	hm947	1
136	MOSS000	1
136	Historical_Sand	1
136	IWorkAtIkea	1
136	Upstro10	1
136	Cryptacity	1
136	Z3braYTIL	1
136	TheHarryMeister	1
136	thescout7	1
136	egglapras	1
136	Septemb3r	1
136	hcb238	1
136	CollinMH06	1
136	MyNameIsJobo	1
136	SlayerCrypto	1
136	Di_infiri	1
136	Arceus1975	1
136	Skylord_Luke	1
136	Kynigito	1
136	FishyBoy3811	1
136	Maenara	1
136	Sky_light_KING	1
136	AlphaWolfPlaysMC	1
136	gustarbite	1
136	NoChumpChange	1
136	XxCookiequeenxX	1
136	fkGrim	1
136	Katthaj	1
136	The_slideV3	1
136	Bloo2406	1
136	fluddd	1
136	SingedBread	1
136	MovingFish7	1
136	Airem_Core	1
136	radioactv_jelly	1
136	geekbird	1
136	Xovalt_	1
136	IAmTheWalrus910	1
136	LetsDoItLive	1
136	WyngGoy	1
136	layabout100	1
136	Strangemonkey71	1
136	TheEnderman548	1
136	SvenskaHugo	1
136	robotemo	1
136	Spenduh	1
136	lcvezra	1
136	SammiWolfGirl	1
136	UltraZombie	1
136	Dogcorn69420	1
136	MilleGrug	1
136	Eczbek	1
136	TheOuterCore	1
136	Ezekson	1
136	cichy096	1
136	smogfrog	1
136	Powowowow	1
136	TechnoNinja64	1
136	Earlesstrain4	1
136	EcksDofficial	1
136	diggydog67	1
