rank	username	minecraft:used/minecraft:sculk_shrieker
1	thewindmillman	22
2	12Magner05	12
3	Kowcio_	11
4	jessewegottacook	10
5	beeperbeeper5	7
6	Wowful	6
7	DinoDoctor_	5
7	Jackattack53	5
7	hanaryheatwave	5
10	k_ce	4
10	Kakolbus	4
10	RealGroot	4
10	Soplight	4
10	Smoke____	4
15	Mahoose	3
15	TheDankPlatypus	3
15	binman420	3
18	FazeObama69	2
18	PazinGaming	2
18	MrKrabOnCoke	2
18	Rebytre	2
22	pintsizedrogue	1
22	ImpavidArcher	1
22	noam464	1
22	Hyp3rion_	1
22	luseis	1
22	Hisiste	1
22	Spacewardharpy7	1
22	ItsDeltaMC	1
22	SvenskaHugo	1
22	YungMaki	1
22	MineMaster0012	1
22	EcksD	1
22	Jimb0nat0r	1
