rank	username	minecraft:used/minecraft:blast_furnace
1	PlasticOtari	1860
2	Historical_Sand	781
3	pintsizedrogue	364
4	500am	240
5	kyouma777	92
6	Freak_Genius	85
6	Groundler	85
8	Airem_Core	77
9	diamondgolem35	75
10	Soplight	72
11	Blaiku	66
12	Fullut	63
13	kekhon	62
13	Enderslayerxz3	62
15	h2p_emrld	59
16	Drlzyy	56
17	noam464	54
18	yulgur1	53
19	Di_infiri	51
20	Cortexia	46
21	HellsSponge	42
22	Sky_light_KING	39
22	Akoot_	39
24	Yatitay	38
25	ROY4LE	36
25	pixelviolin	36
27	Hisiste	33
27	GlitchyPlate810	33
29	TheDankPlatypus	32
29	NotMeowMix	32
31	Mahoose	29
31	KartivGal	29
33	Mr_Byzantine	28
33	Ssor69	28
33	ProfessorDiaper	28
33	_3Stump_	28
37	EcksDofficial	27
38	Spacewardharpy7	25
38	layabout100	25
40	UncreativeArtist	24
40	Kakolbus	24
42	__tomato	23
43	Blackberry1310	22
43	Werbe	22
43	Lutres_Torane	22
43	Xclax101	22
47	rarrq	21
47	Luigipunch989	21
49	TheSecondLord	20
49	Vetral1	20
49	EveryonesUncle	20
49	DarkS0L	20
53	Inchef	19
53	TheShyPig	19
55	KarlKaek	18
55	H72l9w	18
55	sp00ky_ghost977	18
58	Decaying_Lotus	17
58	SSytex_X	17
58	RadarHz	17
61	Bandito_Roamer	16
61	Prodiginus	16
61	12Magner05	16
61	ApophisNova	16
61	jewbacaman	16
61	NameGenerat0r	16
61	Frozil12	16
61	starbits140	16
61	MyNamaSheff	16
70	_Virify_	15
70	1442	15
70	_Karmaa	15
73	ewsophie	14
73	MSK__	14
73	pappaberg	14
73	CruncyIsTaken	14
77	joethahobo	13
77	Comma__	13
77	Snowflowe	13
77	masskedman	13
77	MilleGrug	13
77	Kubeusz2010	13
77	TheOuterCore	13
84	Hyugo	12
84	Franco093	12
84	TAKrules	12
84	ShedJr_	12
84	fr0stss	12
84	m_be9	12
84	Mewar	12
84	Kubelz	12
84	CharlieButt	12
84	Arceus1975	12
84	Bumpy419	12
84	Nycteus_	12
84	fluddd	12
84	MovingFish7	12
84	CSG_Haru	12
99	Xalithia	11
99	SuperPooch06	11
99	wezzzi	11
99	stellarjay	11
103	Jovaphobic	10
103	Zlatovlas	10
103	Reamdin	10
103	tortillatitan	10
103	Zedducius	10
103	jacxhadow	10
103	egglapras	10
103	Skylord_Luke	10
103	MAns_44	10
103	El_Jalapeno	10
103	Eraxa	10
103	Kowcio_	10
103	LilcoinXX	10
103	YungMaki	10
103	brofrickcheaters	10
103	Njensen7	10
103	Legendosh	10
103	MeetTheWollo	10
121	KingFaenor	9
121	SaucyDark	9
121	Megarboh	9
121	gabriels543	9
121	The_Fulgurator	9
121	xo_Marren_xo	9
121	Lord_Jord	9
121	AlphaWolfPlaysMC	9
121	stahouo	9
121	smogfrog	9
121	JayToe	9
132	Cowison	8
132	lewieinnit	8
132	TildaAndrea	8
132	Tommhh	8
132	BlancoFlaco	8
132	SquadMonster	8
132	Vizzoid	8
132	Malorn_Aetherius	8
132	gilesmcriles	8
132	SeverianTheLame	8
132	trixterrx	8
132	AnnieBathory	8
132	SpaggeDR	8
132	Onennon	8
132	Maenara	8
132	KnightmareD	8
132	AlexChristian	8
132	Jiminbub	8
132	Toiton	8
132	censorsheep	8
132	SkateboardR6	8
132	33sudo	8
132	lcvezra	8
132	Skippeh	8
132	TechnoNinja64	8
132	WYFYoyo	8
158	Tobinator_007	7
158	Crowvens	7
158	ImpavidArcher	7
158	youhjjhhhjj	7
158	ProfessorBee	7
158	Rumpletaezer	7
158	The11thDoctor	7
158	Project_MKBRD	7
158	Drewen24	7
158	Deathkob	7
158	Segotep999	7
158	obzii	7
158	amkold	7
171	PhantomsGhost_	6
171	hm947	6
171	Frozt99	6
171	Spaghettatron	6
171	awesomeoneme	6
171	ivorico	6
171	peach0s	6
171	Euclidoris	6
171	Cryptacity	6
171	set67	6
171	SpicyMeatballs	6
171	eiC_	6
171	Useless_Relic	6
171	thewindmillman	6
171	ooga47	6
171	natajimi	6
171	XxCookiequeenxX	6
171	Jiminie	6
171	Shogunite	6
171	EfficientC52	6
171	Bonzaidalek	6
171	MakeHistory157	6
171	Ze_BaronKrigler	6
171	_TCARREIRA_	6
171	CalebDHawk	6
171	FelixPSY375	6
171	vandmanden	6
198	RoskobiOne	5
198	freeandrew	5
198	Humpcat	5
198	T045RTY	5
198	MinttyFressh	5
198	Guillemet	5
198	thescout7	5
198	gcaisawesome	5
198	Bolete	5
198	XboxPanda	5
198	victorLIE	5
198	valkam13	5
198	Fuhrer_Teemo	5
198	wobn	5
198	The_Quack_Dealer	5
198	BreadBacon	5
198	Oxygen16	5
215	Matemaks2137	4
215	fanofbands101	4
215	awesomeweasel	4
215	I_Am_Mushkin	4
215	Tolhart	4
215	livingdaydreams	4
215	Base_Tempest	4
215	AlazelTheReal	4
215	beeperbeeper5	4
215	TheFlfthHorseman	4
215	shdesolt	4
215	jiggywraps	4
215	Gingayy	4
215	Nach0Bear	4
215	Awyrlas	4
215	orxngejuice	4
215	SellyZ	4
215	2Stout	4
215	xxPipperDipperxx	4
215	Bazongoman	4
215	Giannism	4
215	whoaluv	4
215	Afinnity	4
215	PigDab	4
215	TeenMomTom	4
215	HolyVenom	4
215	RodSerlingCringe	4
215	ADEXTV	4
215	SpookyDraggin	4
215	rotten_mango	4
215	drumine	4
215	Blu3beast	4
215	Dusk_95	4
215	xyfrs	4
215	stavgod	4
215	ayamefag	4
215	Chuglyfe	4
215	PortlyPete69	4
215	sebastiensaborio	4
215	mobunni	4
255	TheBiggestFeller	3
255	RosaDoesMC	3
255	_stets	3
255	teslawolf38	3
255	_Razar	3
255	eitanzaki	3
255	Jahara	3
255	PhantomBionic	3
255	Swexti	3
255	Stynxy	3
255	titanlax	3
255	Notta	3
255	CyrusIsTired	3
255	Scattman_	3
255	BilboBaggins23	3
255	Mariopreeet	3
255	PegLegPete93	3
255	SHAOBADMAN	3
255	Marbz_	3
255	__Fanda__	3
255	Chromary	3
255	Hyp3rion_	3
255	Zythose	3
255	epiksk8erduck	3
255	Kim_Jong_eel	3
255	Lord_Zacler	3
255	NoChumpChange	3
255	Syropatathe	3
255	NYJ	3
255	chipklip	3
255	The_slideV3	3
255	claivin	3
255	DarkLawD	3
255	SammiWolfGirl	3
255	gaming4Naming	3
255	Ezekson	3
255	oxfordschool	3
255	jnp_gaming	3
255	Tristankill	3
294	MunkaKris	2
294	Astronicky	2
294	SugarMyNuggets	2
294	Krimys	2
294	YinToYin	2
294	Groovy_MoonBird	2
294	elicobnoah	2
