rank	username	minecraft:used/minecraft:spruce_trapdoor
1	Spacewardharpy7	10687
2	EveryonesUncle	9722
3	Mahoose	8257
4	500am	7177
5	Steelynan	5613
6	HellsSponge	5203
7	non089	4817
8	luseis	4387
9	Hyp3rion_	4360
10	Racengan	4347
11	EMC_	4168
12	Kakolbus	4014
13	joethahobo	4005
14	noam464	3476
15	TheSecondLord	3221
16	Merv__	3184
17	ImpavidArcher	3164
18	beeperbeeper5	3162
19	burbankbuilder28	3036
20	Shogunite	2917
21	Ezekson	2721
22	m_be9	2662
23	Kowcio_	2553
24	Legendosh	2473
25	PlasticOtari	2415
26	pintsizedrogue	2358
27	eitanzaki	2336
28	Manaateee	2248
29	Mattesco	2213
30	AdmiralSmoke	2022
31	xolstoi	2004
32	Onennon	1987
33	kekhon	1985
34	ayamefag	1903
35	_Dean_123	1841
36	PazinGaming	1761
36	Historical_Sand	1761
38	Fullut	1707
39	Skylord_Luke	1641
40	Enderxz3	1627
41	selectrix	1600
42	Snowflowe	1567
43	Soplight	1425
44	ApophisNova	1403
44	MyNamaSheff	1403
46	Di_infiri	1363
47	Blackberry1310	1333
48	wwwwinnebagoooo	1332
49	Saucepeh	1273
50	mihimihimihi	1246
51	TheShyPig	1162
52	Inchef	1127
53	Lez_	1104
54	Jackattack53	1103
55	_Huge_Male_	1082
56	JayToe	1002
57	xxPipperDipperxx	987
58	pixelviolin	984
59	Cowison	977
60	Rebytre	965
61	TooManyDuck	963
62	Chromary	948
62	SpacesickPrism	948
64	SvenskaHugo	918
65	YungMaki	916
66	XboxPanda	900
67	MinttyFressh	895
68	Huwulling	892
69	CalebDHawk	870
70	ConnorDanky_	858
71	Inbefour	853
72	MyNameIsJobo	836
73	Eraxa	801
74	Jimb0nat0r	790
75	Groundler	774
76	Arceus1975	744
77	anbbang	741
78	jacxhadow	729
79	lcvezra	714
80	H0UNDFRMH3LL	707
81	Dakar_	682
81	MustaLoordi	682
83	legal_tax_evader	673
84	Mr_Byzantine	670
85	_Bguette_	650
86	soundad	647
87	ECstardust	640
88	Cryptacity	634
89	Frozil20	627
90	UCP_TheKingK	621
91	rarrq	615
92	jessewegottacook	600
93	fkGrim	582
94	lunathelemon	543
95	Winklepicker279	538
96	vandmanden	536
97	EngagedGrub41	532
98	Ssor69	522
99	Jovaphobic	515
99	__Fanda__	515
101	Tommhh	492
102	icim	477
103	Groovy_MoonBird	475
104	SlayerCrypto	471
105	Nicserso	465
106	ogoa	463
107	_Karmaa	433
108	titanlax	427
109	JETrotter	422
110	Smashic	418
111	M_Patata	396
112	Skippeh	387
113	Avocadogerms	385
114	Alteriity	384
115	MasterNueve	381
116	2Stout	380
117	FreakGenius	371
118	Kyrum2169	367
118	Biites	367
120	RobotMinion101	360
121	Meatlaugh	357
122	thewindmillman	356
123	T045RTY	352
124	Da_Boss_Rani	348
125	RatatJuice	330
125	IgnoredBee	330
127	TheDankPlatypus	329
128	Slapface522	325
129	CACTUSLAD	320
130	ZoomieZoomie	316
131	peach0s	308
132	12Magner05	307
132	Akoot_	307
134	wezzzi	305
135	SpaceGrenadier	304
136	Sleek_Storm_721	303
137	Druid95	281
138	prizm_	279
139	livingdaydreams	274
140	ProfessorDiaper	269
141	KarlKaek	267
142	r123moore	262
142	CollinMH06	262
142	Segotep999	262
145	diamondgolem35	260
146	PortlyPete69	258
147	_stets	257
148	Werbe	250
149	Deathkob	249
150	NomadicRobin_	246
151	k_ce	243
152	07shiny	242
153	Incinere	241
153	Jakobo1337	241
155	Krowuss	239
156	__tomato	234
157	MoistMicrowave	233
158	SuperPooch06	231
159	SteveCraftBlocks	220
160	drumine	216
161	_Boipl_	210
161	MAns_44	210
163	CrookedKaptain	204
164	q_wq	197
164	PigDab	197
166	SDMNAEK	196
166	tsitrawhy	196
168	TechnoNinja64	191
169	The_slideV3	190
170	MineMaster0012	188
171	6king6colt6	187
171	XxCookiequeenxX	187
173	fr0stss	185
174	FelixPSY375	184
175	GooseWithin	183
176	CattSoup	181
177	_Virify_	177
178	Rumpletaezer	176
179	_i_ERROR_i_	175
180	Myszoaz	172
181	groofles	171
182	Fuad_R	166
183	Marbz_	164
184	DC_XII	162
185	ClemenPine	160
186	Quotary	157
187	KingMatthew506	155
188	CLG_Kata	153
189	John6970	152
190	JESS_THE_RERE	151
191	AuroraSkies	149
192	set67	148
192	alderban107	148
194	Crowvens	147
194	MustardSquid	147
196	Eczbek	146
197	ColeSnyder	141
197	Lord_Doob	141
197	Hermanni__	141
200	Eczbox	140
201	Ryker	138
202	2blox_	137
203	NieToksikpl	135
204	Kkanot	134
205	thescout7	132
206	Crowman1	129
206	PegLegPete93	129
206	Felenov	129
206	ReSynced	129
210	nattybears	121
211	Prismyst	119
212	DAD_1996	118
213	Shiirazu	117
214	Hpdinosaur	114
214	LexMakesHistory	114
216	Blu3beast	113
216	Pickel_Lord	113
218	MattieHD	112
219	olliebollie48	111
220	Vetral1	109
221	LeauVox4921	108
221	ReyTheLegend	108
223	Syropatathe	107
224	BlancoFlaco	106
225	Soap_Bender	105
226	El_Jalapeno	104
227	CarryLine	103
227	_KuruKuru	103
229	DarkS0L	102
229	Deerfoot	102
231	Stiar	100
231	MilleGrug	100
233	Apollo_993	99
234	ItsMrRamen	98
234	iSammael	98
234	xzvu	98
234	SammiWolfGirl	98
238	_Cloverbelle_	97
239	SaucyDark	94
239	excelsionprime	94
241	pappaberg	93
241	SvenskaSara	93
243	hm947	92
243	hanaryheatwave	92
243	Fildyr	92
243	kyouma777	92
243	The_SlideV5	92
248	Natty	91
248	jushykins	91
250	Barlycorn	90
251	jnp_gaming	89
252	yheece	88
253	SmashingPump	87
253	ehunt54	87
253	oscminus	87
253	claivin	87
253	obzii	87
258	Auseawesome	86
258	_8man	86
258	SourPapaSmurf	86
258	valkam13	86
258	WyngGoy	86
263	Adlair	84
263	rotten_mango	84
265	cheerytomato	80
266	Burge_r	79
267	dopplexd	78
268	diggydog67	76
269	CheifJumbo	75
270	Spenduh	74
271	ShedJr_	73
271	erkada	73
273	IforgotCS_Source	72
274	UncreativeArtist	71
275	ProfessorBee	70
276	H72l9w	69
277	AlexxO_o	68
277	EcksD	68
279	bloodbiter	67
279	Jonte0599	67
279	Razzgriz	67
279	Yahrto	67
283	G1ldor	66
283	Septemb3r	66
285	Nyxiom_	65
285	FishyBoy3811	65
285	FGamerJ	65
288	Pofen	64
288	Solar_Power	64
288	Xclax101	64
291	FirsTimeGamingTV	63
291	MovingFish7	63
293	CrateOfBoxes	62
294	Soul_Atreus	61
294	TheOuterCore	61
296	YairZaki	59
296	NoxxxxiS	59
296	Tyrannosplart	59
299	Dblikstad	58
299	Sleepy_Time_	58
