rank	username	minecraft:used/minecraft:deepslate_brick_slab
1	pintsizedrogue	2045
2	mihimihimihi	1941
3	YungMaki	1400
4	DairyNickel756	1293
5	Kowcio_	1243
6	thewindmillman	1181
7	Touched_Bread	1150
8	SquadMonster	1120
9	Mattesco	1097
10	k_ce	1069
11	CattSoup	987
12	AstreaTSS	957
13	Nicserso	939
14	Jimb0nat0r	858
15	beeperbeeper5	680
16	Spacewardharpy7	633
17	lorywithay	620
18	Hahaa_0	616
19	Niklas20114552	606
20	Marbz_	565
21	ImpavidArcher	546
22	Manaateee	481
23	TheSecondLord	450
24	Masssonnn	429
25	ZoomieZoomie	426
26	12Magner05	418
27	crashomon	387
28	luseis	383
29	MattieHD	377
30	PazinGaming	353
31	Vol_Rod33	334
32	fragrantmonke444	327
33	Elastiq	322
34	Pineapplesugr	271
35	Ezekson	266
36	Skylord_Luke	243
37	fade_emerge78823	212
38	weabis	205
39	Wowful	203
40	HUNTERmaun	197
41	nattybears	168
42	Buuck_	142
43	Lazy_geniusig	124
44	Spankathor	114
45	Mr_Byzantine	107
46	MAns_44	104
47	Admiral_Fizzy	100
48	Lez_	93
49	Mahoose	92
50	N00bula	82
50	joethahobo	82
52	philandr	78
53	Galactic_Badger	74
54	91stCataclysm	72
55	Crowman1	62
56	Methalox1	60
57	Napoleonpancake	59
57	Fuad_R	59
59	breadbowlgamer	51
60	11Brewer	50
61	Ryker	47
61	Huwulling	47
61	SvenskaHugo	47
64	Winklepicker279	44
64	2extreeme	44
66	_Huge_Male_	42
66	thebaddruid	42
68	_witch_craft_	41
69	bl1ss0	40
70	QuiCreans	36
70	Gzrdy	36
72	NameGenerat0r	34
73	TooPure2	33
74	Megarboh	32
75	Enderxz3	31
76	drunkeeez	29
76	Jimi7hits	29
76	Soplight	29
79	shineh10	28
80	JETrotter	27
80	Tiktola01	27
80	TheWickedBird	27
83	Yamdalorian	26
84	EngagedGrub41	24
85	Werbe	23
86	ScootOfBoot	22
87	skroobiez	20
87	sp00ky_ghost977	20
89	diamondgolem35	18
90	TheWildMateo	16
91	Ev0luti0nz	15
92	LeEricc	14
93	Dakar_	13
94	bobbydoodledot	12
95	kyouma777	10
95	pixelviolin	10
95	SpacesickPrism	10
98	bubbLyPrototype	5
99	rarrq	4
99	Smashic	4
99	hermmm_	4
102	Solar_Power	3
102	PlasticOtari	3
102	skitzxo	3
105	EdGalbraith	2
106	Secret_Canary	1
106	PigDab	1
106	Blaiku	1
106	TheKingK_	1
106	Segotep999	1
