rank	username	minecraft:used/minecraft:gray_bed
1	Historical_Sand	72
2	OtariCharlie	61
3	TheOuterCore	58
4	Kkanot	41
5	IdeallyGrey	34
6	teslawolf38	33
7	Soplight	30
8	chipklip	28
9	Shogunite	26
10	pixelviolin	22
11	kekhon	20
11	EveryonesUncle	20
13	Drlzyy	19
13	Dedalus36	19
13	smogfrog	19
16	diamondgolem35	16
17	_Karmaa	15
18	Rumpletaezer	14
18	starbits140	14
20	Mahoose	13
21	openatheclose	12
21	egglapras	12
21	Di_infiri	12
24	Chickenchaser2	11
24	epiksk8erduck	11
24	XxCookiequeenxX	11
27	picardred	9
27	eiC_	9
27	El_Jalapeno	9
27	Shin69	9
31	Ozixar	8
31	Onennon	8
31	ogoa	8
31	Freak_Genius	8
31	cog	8
36	_Nuf	7
36	mwrty	7
36	noam464	7
36	alkrie	7
36	__tomato	7
41	Merv__	6
41	Xalithia	6
41	Spenduh	6
41	FGamerJ	6
45	Doom_melon	5
45	TheShyPig	5
45	Akoot_	5
45	CSG_Haru	5
45	Hermanni__	5
50	pintsizedrogue	4
50	Cryptacity	4
50	fkGrim	4
50	sp00ky_ghost977	4
50	ReyTheLegend	4
50	Zoeyfortnite	4
56	Reamdin	3
56	Meme25327	3
56	MattieHD	3
56	500am	3
56	ConcretePirate	3
56	Werbe	3
56	Kouridragon	3
56	MonitorLizards	3
56	Drewen24	3
56	RodSerlingCringe	3
56	Aangezet	3
56	AssEatrAndLicker	3
56	Legendosh	3
56	Oxygen16	3
56	diggydog67	3
71	Lepthymo	2
71	squigglybones	2
71	joethahobo	2
71	Cartoonmaniac	2
71	Cambo5000	2
71	gcaisawesome	2
71	FennYuzuna	2
71	Hyp3rion_	2
71	theofiel	2
71	Blaiku	2
71	Eraxa	2
71	FishisTTV	2
83	THExMuffinx	1
83	Healthing	1
83	numbra	1
83	SaucyDark	1
83	Incinere	1
83	Spaghettatron	1
83	beeperbeeper5	1
83	ABUSNA1996	1
83	NotKaden_	1
83	loveseeker	1
83	Jackattack53	1
83	Chromary	1
83	WET_WET_WET	1
83	Snowflowe	1
83	DAD_1996	1
83	fred870d	1
83	lizardfightclub	1
83	CJPerson	1
83	Leyna3	1
83	Sky_light_KING	1
83	gustarbite	1
83	Toowny	1
83	MyNameIsDakar	1
83	Nycteus_	1
83	Frozil12	1
83	ElectricDragon81	1
83	SvenskaHugo	1
83	Kyrum2169	1
83	djancak	1
83	Deguns123	1
83	sebastiensaborio	1
