rank	username	minecraft:used/minecraft:polished_deepslate_wall
1	mihimihimihi	4945
2	YungMaki	2425
3	TheSecondLord	1887
4	Mattesco	875
5	500am	335
6	rarrq	323
7	StinkyDiplomat	316
8	Jimb0nat0r	298
9	PazinGaming	213
10	Legendosh	202
11	lunathelemon	168
12	weabis	131
13	joethahobo	101
14	nattybears	85
15	luseis	79
16	SvenskaHugo	75
17	TAKrules	65
17	jessewegottacook	65
19	TheWildMateo	61
20	Megarboh	51
21	Alteriity	49
22	Steelynan	47
23	ScootOfBoot	46
24	ImpavidArcher	44
25	mobunni	32
26	corpsecity	29
27	Hyp3rion_	25
28	PigDab	24
29	ZeroAbyssTTV	16
30	pintsizedrogue	13
31	JETrotter	12
31	pixelviolin	12
33	EMC_	8
33	PlasticOtari	8
35	kyouma777	6
36	Killercatty78	5
37	Soplight	3
38	Merv__	2
38	fade_emerge78823	2
38	Nicserso	2
41	lorywithay	1
41	Mahoose	1
41	Spacewardharpy7	1
