rank	username	minecraft:used/minecraft:fire_coral_block
1	Hyp3rion_	365
2	HellsSponge	274
3	12Magner05	248
4	_Dean_123	206
5	h2p_emrld	201
6	Onennon	188
7	YungMaki	119
8	pintsizedrogue	115
9	Merv__	111
10	500am	103
11	lordpipe	92
12	TheShyPig	85
13	Di_infiri	84
14	Xalithia	75
15	emrekn	74
16	Ssor69	71
17	Xclax101	64
18	Jovaphobic	61
19	ImpavidArcher	60
20	AuroraValkyrie	52
21	__tomato	48
22	excelsionprime	44
22	Enderxz3	44
24	Marbz_	43
25	Fullut	38
25	MyNameIsJobo	38
27	r123moore	37
28	xDraggin	36
28	PlasticOtari	36
30	thewindmillman	31
31	Maenara	28
32	Groovy_MoonBird	24
32	Rumpletaezer	24
34	Skylord_Luke	23
35	diamondgolem35	21
36	kekhon	20
36	Inchef	20
38	TheDankPlatypus	19
38	F_Uhre	19
38	GooseWithin	19
38	Druid95	19
42	Lez_	18
42	KingMatthew506	18
44	Bandito_Roamer	17
44	SaucyDark	17
44	Shogunite	17
47	Rebytre	16
47	Ezekson	16
49	_Karmaa	13
50	hanaryheatwave	11
50	jnp_gaming	11
52	MattieHD	10
53	KeruNatsema	9
53	FreakGenius	9
53	PortlyPete69	9
53	Powowowow	9
57	Typadopoulos	8
58	joethahobo	7
58	ApophisNova	7
58	aec9	7
58	ConnorTG5	7
58	MyNamaSheff	7
63	Historical_Sand	6
63	Werbe	6
63	The_slideV3	6
63	El_Jalapeno	6
63	Fizznut909	6
63	Jimb0nat0r	6
63	Sral7	6
63	diggydog67	6
71	hm947	5
71	RobotMinion101	5
71	StinkyDiplomat	5
71	Blaiku	5
75	abramgray	4
75	KarlKaek	4
75	Voxin2K	4
75	NameGenerat0r	4
75	LordSpeed37	4
75	Legendosh	4
81	BodaciousCake	3
81	ShedJr_	3
81	Kouridragon	3
81	IamCL4SSY	3
85	eitanzaki	2
85	Krowuss	2
85	luseis	2
85	weabis	2
85	Kowcio_	2
85	SpacesickPrism	2
85	TechnoNinja64	2
85	AdmiralSmoke	2
93	maxdacatv2	1
93	PazinGaming	1
93	SmashingPump	1
93	Mahoose	1
93	beeperbeeper5	1
93	heckface	1
93	ROY4LE	1
93	fr_ser	1
93	Akoot_	1
93	TheSeismicDuck	1
93	fkGrim	1
93	MightyWertu	1
93	SingedBread	1
93	Eraxa	1
93	non089	1
93	ConnorDanky_	1
93	xolstoi	1
