rank	username	minecraft:used/minecraft:iron_bars
1	beeperbeeper5	31138
2	joethahobo	11269
3	noam464	7783
4	TheSecondLord	5550
5	Alteriity	5471
6	TheShyPig	5400
7	luseis	4988
8	AlexxO_o	4188
9	Eczbek	4002
10	PlasticOtari	3967
11	FreakGenius	3390
12	hermmm_	3246
13	StinkyDiplomat	2887
14	Yamdalorian	2574
15	Kowcio_	2426
16	thewindmillman	2245
17	EveryonesUncle	2224
18	T045RTY	2177
19	Tyrannosplart	2164
20	burbankbuilder28	2145
21	HellsSponge	2089
22	MyNameIsJobo	1950
23	Werbe	1830
24	kyouma777	1748
25	pintsizedrogue	1741
26	NoChumpChange	1662
27	ConnorDanky_	1656
28	thescout7	1489
29	eitanzaki	1443
30	Krowuss	1438
30	Manaateee	1438
32	EMC_	1431
33	Elastiq	1406
34	MousePlays	1354
35	Snowflowe	1323
36	Skylord_Luke	1301
37	xzvu	1272
38	Frozil20	1266
39	Chromary	1101
40	500am	1064
41	Merv__	1026
42	Nicserso	988
43	xxPipperDipperxx	943
44	Inchef	934
44	YungMaki	934
46	12Magner05	862
47	Blackberry1310	821
48	Mahoose	794
49	Spacewardharpy7	784
50	skitzxo	783
51	Lord_Jord	757
52	Sral7	726
53	mihimihimihi	695
54	Fuad_R	689
55	Mattesco	688
56	Winklepicker279	678
57	1442	647
58	HoltGrim	628
59	Jovaphobic	612
60	Fullut	600
61	Buuck_	583
62	Shogunite	567
63	ProbsNotNova	560
64	RoskobiOne	547
65	SteveCraftBlocks	542
66	set67	541
67	Xclax101	534
68	cichy096	525
69	skroobiez	489
70	jnp_gaming	471
71	CrateOfBoxes	469
72	Soplight	460
73	kekhon	458
74	weabis	454
75	Jimb0nat0r	441
76	ImpavidArcher	437
77	_Mythic____	432
78	ROY4LE	428
79	Comma__	427
80	Skippeh	419
81	Onennon	414
82	Hyp3rion_	398
83	TheWildMateo	397
84	himak1	376
85	Di_infiri	368
86	diamondgolem35	364
87	Incinere	350
88	Archsam	341
89	m_be9	337
90	Kakolbus	330
91	Enderxz3	326
92	teslawolf38	325
93	IdeallyGrey	319
94	Legendosh	317
95	MilleGrug	306
96	TheWickedBird	296
97	titanlax	295
98	Tolhart	292
99	EngagedGrub41	280
100	MightyWertu	276
101	Billious	271
102	MattieHD	270
103	PhantomsGhost_	257
104	ApophisNova	252
104	MyNamaSheff	252
106	DAD_1996	250
107	Mr_Byzantine	233
108	bloodbiter	225
109	El_Jalapeno	224
110	Zedducius	221
111	pretty_pink_reno	216
112	Eraxa	211
113	Lez_	210
114	BadenStayFly	209
115	PazinGaming	204
115	TheKingK_	204
117	SvenskaHugo	200
118	_Huge_Male_	198
119	zorin123	197
119	Dakar_	197
121	k_ce	196
121	Racengan	196
123	tuckerdoodle	192
124	SuperPooch06	186
125	Huwulling	183
125	SquadMonster	183
125	LeauVox4921	183
128	crying_wolf_13	176
128	miramyu	176
130	UrbanPlanningEx	174
131	Apollo_993	172
132	r123moore	168
133	_Karmaa	165
133	pixelviolin	165
135	yheece	164
136	_Virify_	155
137	Ezekson	152
138	00000000-0000-0000-0009-01ff0c3e5e4f	147
139	selectrix	146
139	AlphaWolfPlaysMC	146
141	Akoot_	144
142	TheEnderMan548	142
143	EdGalbraith	141
144	BobDeBouwer1337	140
145	Quotary	139
146	Sorry_Arey	138
147	IamCL4SSY	137
148	MoistMicrowave	135
148	The_slideV3	135
150	Minimize501	131
150	pappaberg	131
152	Avocadogerms	130
152	lordpipe	130
154	Blaiku	123
155	JETrotter	122
155	NameGenerat0r	122
157	CLG_Kata	121
157	fffMike	121
159	Ryker	116
159	Historical_Sand	116
161	sp00ky_ghost977	115
162	Maenara	112
163	Cowison	111
164	__tomato	110
164	calamariclam_I	110
166	DermeinUser	108
166	33sudo	108
168	oscminus	107
169	claivin	104
170	ShedJr_	103
170	Swexti	103
170	_i_ERROR_i_	103
173	Steelynan	101
174	Myszoaz	100
174	excelsionprime	100
176	AspenLightVT	99
177	Karetoko	98
178	Ryan_GEMS	97
178	valkam13	97
180	CattSoup	95
181	djancak	93
182	impossibleteapot	92
183	Blu3beast	90
184	rarrq	87
184	hanaryheatwave	87
186	SellyZ	86
186	fragrantmonke444	86
188	Hoid_the_Roamer	84
189	DinoDoctor_	83
189	CalebDHawk	83
191	crashomon	80
192	PortlyPete69	79
192	VentiHilton	79
194	ECstardust	78
195	Sheldor097	77
196	SingedBread	76
197	Cruncy_	71
198	Kubelz	69
198	yatsuta	69
200	brofrickcheaters	68
201	SaucyDark	67
201	Felenov	67
201	ScootOfBoot	67
201	07shiny	67
205	ProfessorDiaper	66
205	TechnoNinja64	66
207	Optiprimus	65
208	Donutt	64
209	Sleepy_Evelyn	63
210	PigDab	62
211	LAVA129	61
212	Austinizzle	60
213	lorywithay	58
214	lorpus	57
215	myaccountwasgone	56
