rank	username	minecraft:used/minecraft:lead
1	DinoDoctor_	82
2	Freak_Genius	54
3	Blackberry1310	52
4	m_be9	44
5	beeperbeeper5	43
6	Merv__	42
6	Smoke____	42
8	KingMatthew506	38
9	Mahoose	37
10	MyNameIsJobo	24
11	xxPipperDipperxx	22
12	Leyna3	20
13	HellsSponge	17
13	Steelynan	17
15	bloodbiter	16
15	The11thDoctor	16
17	BlankityMcBlank	12
17	brofrickcheaters	12
17	oxfordschool	12
20	AuroraValkyrie	11
21	Bandito_Roamer	10
21	6king6colt6	10
21	eviltunix	10
21	wezzzi	10
21	fluddd	10
21	EcksDofficial	10
27	Megarboh	9
27	mwrty	9
29	selectrix	8
29	EveryonesUncle	8
29	LeeMcGee30	8
29	JayToe	8
33	awesomeoneme	7
33	censorsheep	7
35	titanlax	6
35	kekhon	6
35	claivin	6
35	monky_irl	6
35	djancak	6
35	jcool7	6
41	ImpavidArcher	5
41	MattieHD	5
41	loveseeker	5
41	Werbe	5
41	Rasmanden	5
41	chipklip	5
41	StinkyDiplomat	5
41	El_Jalapeno	5
41	Xclax101	5
41	Kyrum2169	5
41	SammiWolfGirl	5
52	rarrq	4
52	heckface	4
52	TheSecondLord	4
52	slkiey	4
52	Airem_Core	4
52	fffMike	4
52	laron58	4
59	PhantomsGhost_	3
59	squigglybones	3
59	pZygh0st	3
59	ProfessorBee	3
59	pappaberg	3
59	Bumpy419	3
59	DAD_1996	3
59	Onennon	3
59	MightyWertu	3
59	Spenduh	3
59	Njensen7	3
59	QueenOfDirt	3
59	Sral7	3
72	T045RTY	2
72	firesgal3116	2
72	TheDiamondCG	2
72	John6970	2
72	Ecplosive	2
72	CollinMH06	2
72	Marbz_	2
72	Jackattack53	2
72	SuperPooch06	2
72	TheShyPig	2
72	sufjanlover	2
72	Blaiku	2
72	Racengan	2
72	ProfessorDiaper	2
72	AvaRosey	2
72	IAmTheWalrus910	2
72	33sudo	2
72	lcvezra	2
72	TheALV	2
72	Ezekson	2
72	Quotary	2
72	Powowowow	2
94	Jovaphobic	1
94	pintsizedrogue	1
94	teslawolf38	1
94	q_wq	1
94	HollieDaNugget	1
94	eitanzaki	1
94	Reamdin	1
94	PhantomBionic	1
94	joethahobo	1
94	gaziter10	1
94	Swexti	1
94	nocturne78	1
94	SquadMonster	1
94	TheFlfthHorseman	1
94	Koffeeinz	1
94	Malorn_Aetherius	1
94	ratglock	1
94	MrExplorer	1
94	paranoid_plant	1
94	thescout7	1
94	egglapras	1
94	intropass	1
94	Xalithia	1
94	Rumpletaezer	1
94	Arceus1975	1
94	thewindmillman	1
94	Hyp3rion_	1
94	drompje	1
94	fred870d	1
94	Shiirazuku	1
94	MinerDec	1
94	AlexxO_o	1
94	RodSerlingCringe	1
94	Maenara	1
94	Akoot_	1
94	Lord_Jord	1
94	AuroraSkies	1
94	Jiminie	1
94	privatemeekly	1
94	Meatlaugh	1
94	MyNameIsDakar	1
94	Quaintster	1
94	sp00ky_ghost977	1
94	Soul_Atreus	1
94	Eraxa	1
94	pixelviolin	1
94	Kowcio_	1
94	Soplight	1
94	ediballbearings	1
94	stahouo	1
94	Deguns123	1
94	_3Stump_	1
94	Kubeusz2010	1
94	EcksD	1
94	Wolverine4302	1
94	jnp_gaming	1
94	TechnoNinja64	1
94	00000000-0000-0000-0009-01f898304150	1
