rank	username	minecraft:used/minecraft:mud_brick_wall
1	_witch_craft_	2637
2	Pumpkin_P_Patch	641
3	Mr_Byzantine	360
4	Merv__	239
5	Jimb0nat0r	179
6	_Huge_Male_	128
7	Manaateee	121
8	Steelynan	111
9	craaaash	100
10	Niklas20114552	97
10	Juansinmiedo18	97
12	Mattesco	74
13	thewindmillman	65
14	milltesco	59
15	12Magner05	56
16	SvenskaHugo	51
17	Buuck_	26
18	EMC_	23
18	TheSecondLord	23
20	MattieHD	16
20	PlasticOtari	16
22	skroobiez	14
23	Enderxz3	13
24	Soplight	10
25	Lez_	7
26	Kowcio_	5
27	pintsizedrogue	3
27	rarrq	3
29	Mahoose	1
29	Reneedium	1
