rank	username	minecraft:used/minecraft:bamboo_stairs
1	Synthoum	305
2	Mr_Froxy	242
3	Mattesco	195
4	Mr_Byzantine	180
5	kalzor	146
6	Bambuino	144
7	_witch_craft_	127
8	CacheOut	61
9	Merv__	59
10	Mr_Sun15	54
11	pintsizedrogue	43
12	Buuck_	31
13	TheSecondLord	30
14	Spaghettatron	20
15	FiguraDei	19
16	Hoid_the_Roamer	18
17	Napoleonpancake	16
18	akap47	13
18	BTL_craft	13
20	Werbe	12
21	Niklas20114552	10
22	McCakeAh	9
23	k_ce	8
24	cyuar	7
25	lpinfinity	6
25	Fullbit_	6
25	Jimb0nat0r	6
28	craaaash	4
29	MattieHD	3
29	DisgruntledKoala	3
29	Steelynan	3
32	Lez_	2
32	noam464	2
34	gren_ben	1
34	gamerlord1324	1
34	bl1ss0	1
34	SvenskaHugo	1
34	Yamdalorian	1
