rank	username	minecraft:used/minecraft:elytra
1	noam464	30
2	Hyp3rion_	28
3	HyperCave	16
4	YungMaki	13
5	Myszoaz	9
5	SingedBread	9
7	rarrq	8
8	Akoot_	7
9	diamondgolem35	6
10	12Magner05	5
11	hm947	4
11	Blackberry1310	4
11	Auseawesome	4
11	Kowcio_	4
11	Spenduh	4
11	MilleGrug	4
11	EcksD	4
18	eitanzaki	3
18	Nach0Bear	3
18	egglapras	3
18	Arceus1975	3
18	MyNameIsDakar	3
18	Spacewardharpy7	3
18	lordpipe	3
18	SquidZooka2	3
18	Smoke____	3
27	_stets	2
27	CoffeeNoir	2
27	joethahobo	2
27	Historical_Sand	2
27	kekhon	2
27	Inchef	2
27	BronkerBrum	2
27	Jonte0599	2
27	HolyVenom	2
27	NomadicRobin_	2
27	ATurtle4936	2
27	Nycteus_	2
27	IdeallyGrey	2
27	IDealess_At_This	2
27	Eczbek	2
27	2blox	2
43	pintsizedrogue	1
43	Groovy_MoonBird	1
43	Mr_Byzantine	1
43	nataliecool	1
43	ImpavidArcher	1
43	Mahoose	1
43	Malorn_Aetherius	1
43	TheSecondLord	1
43	Z3braYTIL	1
43	Flapjacker687	1
43	mwrty	1
43	ROY4LE	1
43	benediktine1	1
43	TheDankPlatypus	1
43	eli_tschki	1
43	SuperPooch06	1
43	Chromary	1
43	Rocco_Lane	1
43	ApophisNova	1
43	wilgot_	1
43	iElijah	1
43	PigDab	1
43	Gmoney390	1
43	Joestra	1
43	Deathkob	1
43	_Bguette_	1
43	Shogunite	1
43	Freak_Genius	1
43	DolphinLaugh	1
43	sp00ky_ghost977	1
43	aywri	1
43	fffMike	1
43	TheOuterCore	1
43	Ezekson	1
43	MyNamaSheff	1
43	Enderslayerxz3	1
43	MeetTheWollo	1
43	IsoldeB	1
