rank	username	minecraft:used/minecraft:purple_wool
1	AlexxO_o	16782
2	HellsSponge	15419
3	hermmm_	6718
4	Snowflowe	5247
5	Blaiku	3854
6	Yamdalorian	3697
7	beeperbeeper5	3357
8	Spacewardharpy7	2843
9	Niklas20114552	2520
10	Alteriity	2276
11	doublemaki	1429
12	Werbe	1139
13	Hyp3rion_	1135
14	Fullut	1133
15	lunkuku	769
16	Spaghettatron	527
17	EcksD	524
18	xxPipperDipperxx	510
19	eitanzaki	429
20	Jovaphobic	387
21	Lord_Jord	357
22	TheSecondLord	355
23	AnnieBathory	329
24	pintsizedrogue	325
25	PortlyPete69	249
26	Merv__	230
26	Ezekson	230
28	RebelAndroid	228
29	Aakvaa	224
30	Sheldor097	202
31	_Huge_Male_	176
32	Mahoose	161
33	Mattesco	157
34	NomadicRobin_	149
35	Jimb0nat0r	147
36	500am	140
37	lordpipe	137
37	Soplight	137
39	PlzNoBM	131
40	TheKingK_	125
41	NameGenerat0r	120
42	k_ce	119
43	mwrty	108
43	Shogunite	108
45	Blackberry1310	100
46	wwwwinnebagoooo	97
47	ConnorDanky_	93
48	CacheOut	91
49	TheShyPig	88
50	joethahobo	86
51	Lez_	85
52	Wooptey	78
53	hanaryheatwave	75
54	Inchef	72
55	royal_2	69
55	ROY4LE	69
57	Lutres_	65
58	JackyKwacky	64
59	Pumpkin_P_Patch	61
60	Buuck_	48
61	Deerfoot	46
62	SvenskaHugo	45
63	EMC_	41
64	Fuhrer_Teemo	40
65	TheRomanNoodles1	39
66	blackeemperor	36
67	Sral7	33
68	EveryonesUncle	32
69	Legendosh	30
70	Typadopoulos	27
71	Dakar_	26
72	noam464	24
73	Quotary	22
74	TheBiggestFeller	21
75	TechnoNinja64	20
76	thewindmillman	17
77	burbankbuilder28	16
78	pixelviolin	13
79	FreakGenius	12
79	WyngGoy	12
81	ShedJr_	10
81	titanlax	10
81	Russiancat1	10
81	MakeHistory157	10
85	LilLizardWizard	9
85	mihimihimihi	9
87	Napoleonpancake	8
87	Sleepy_Evelyn	8
87	moderncraft	8
87	SolarKar	8
87	Fuad_R	8
92	Cryptacity	7
92	milltesco	7
92	Manaateee	7
92	Kowcio_	7
92	00000000-0000-0000-0009-01faf4342590	7
97	miramyu	6
97	PlasticOtari	6
99	Kakolbus	5
99	Jackattack53	5
99	Reneedium	5
99	Boipl	5
99	StinkyDiplomat	5
99	Steelynan	5
105	Groovy_MoonBird	4
105	knarian	4
105	_Wannabe_	4
108	Mr_Byzantine	3
108	Apollo_993	3
108	Motsaro	3
108	Juansinmiedo18	3
108	El_Jalapeno	3
108	Groundler	3
108	ZoomieZoomie	3
108	Enderxz3	3
116	AlazelTheReal	2
116	kekhon	2
116	_witch_craft_	2
116	thgrocks	2
116	fkGrim	2
116	SpacesickPrism	2
116	2blox_	2
116	es0th	2
124	6king6colt6	1
124	Huwulling	1
124	Prismyst	1
124	Archsam	1
124	heckface	1
124	yuuxxii	1
124	craaaash	1
124	MyNameIsJobo	1
124	oscminus	1
124	PigDab	1
124	Akoot_	1
124	luseis	1
124	emreknugrlu	1
124	claivin	1
124	SkateboardR6	1
124	Eraxa	1
124	ReyTheLegend	1
124	Eczbek	1
124	HesDemonPants	1
