rank	username	minecraft:used/minecraft:cooked_cod
1	Ezekson	17778
2	rarrq	7146
3	gcaisawesome	6288
4	EMC_	4731
5	Bumpy419	4690
6	eitanzaki	4581
7	EcksDofficial	4114
8	kekhon	3798
9	Mahoose	3682
10	Eraxa	3680
11	thescout7	3365
12	Snowflowe	3011
13	Akoot_	2752
14	WyngGoy	2722
15	Blackberry1310	2588
16	Deathkob	2443
17	Xalithia	2304
18	oxfordschool	2216
19	SingedBread	2160
20	himak1	2119
21	T045RTY	1967
22	Lord_Jord	1857
23	_Dean_123	1849
24	_Virify_	1848
25	jcool7	1820
26	Miko_Fullbuster	1805
27	SammiWolfGirl	1677
28	ImpavidArcher	1657
29	Steelynan	1653
30	Arceus1975	1563
31	Racengan	1539
32	Zaridey	1528
33	LordSpeed37	1521
34	Chromary	1476
35	SteveCraftBlocks	1436
36	wwwwinnebagoooo	1256
37	I_Am_Mushkin	1222
38	Historical_Sand	1176
39	TheSeismicDuck	1161
40	ROY4LE	1160
41	noam464	1125
42	hm947	1123
43	kinas45y5	1112
44	DarlaMeow	1079
45	XboxPanda	1045
46	Legendosh	1041
47	Hyp3rion_	1039
48	Corbsman	1034
48	Kubeusz2010	1034
50	ayamefag	1009
51	Enderslayerxz3	963
52	PortlyPete69	896
53	_TCARREIRA_	885
54	Blu3beast	854
55	GravitySaint	848
56	MightyWertu	847
57	ItsColin11	835
58	CollinMH06	819
59	SellyZ	794
59	El_Jalapeno	794
61	paranoid_plant	790
62	fluddd	782
63	Wowful	773
64	censorsheep	758
65	Jiminie	755
66	Mewar	754
67	LAVA129	750
68	VentiHilton	740
69	TheShyPig	734
70	SkateboardR6	729
71	RebelAndroid	728
71	cichy096	728
73	ApophisNova	721
73	Spenduh	721
73	MyNamaSheff	721
76	Njensen7	714
77	Optiprimus	707
78	FishyBoy3811	682
79	Dedalus36	646
79	Smoke____	646
81	loveseeker	645
82	Covalents	644
83	Sky_light_KING	643
83	obzii	643
85	UltraZombie	637
86	Skippeh	628
87	Rumpletaezer	627
87	burbankbuilder28	627
89	Shogunite	617
90	The_slideV3	615
91	yulgur1	610
92	Nicky_H225	608
93	Kferno	605
94	h2p_emrld	599
95	Kyrum2169	598
96	33sudo	594
97	Paintz	593
97	Dreamdbr14	593
99	claivin	592
100	YungMaki	588
101	SuperPooch06	584
102	CoffeeNoir	582
103	youhjjhhhjj	566
103	__tomato	566
105	Freak_Genius	563
106	JayToe	562
107	Nagasaki_Riku	553
108	DarkS0L	546
109	vandmanden	538
110	12Magner05	537
111	masskedman	531
111	Syropatathe	531
113	M_Patata	524
113	MasterNueve	524
115	Hoid_the_Roamer	521
116	beeperbeeper5	518
117	Blaiku	514
118	Awyrlas	510
118	thewindmillman	510
