rank	username	minecraft:used/minecraft:orange_concrete
1	Spacewardharpy7	5370
2	lordpipe	1537
3	IAmTheWalrus910	1056
4	beeperbeeper5	878
5	Onennon	474
6	MakeHistory157	438
7	Sheldor097	359
8	TechnoNinja64	350
9	CoffeeNoir	241
10	oreee	194
11	Notta	187
12	thewindmillman	164
13	Hoid_the_Roamer	159
13	YungMaki	159
15	Blackberry1310	157
16	Jackattack53	93
17	sp00ky_ghost977	92
18	himak1	89
19	ROY4LE	77
20	Hiryu27	72
21	Xovalt_	71
22	6king6colt6	69
23	Kowcio_	61
24	Akoot_	52
25	pintsizedrogue	50
26	ShedJr_	49
27	Frozil12	48
28	PortlyPete69	43
29	diamondgolem35	42
29	500am	42
31	SammiWolfGirl	34
32	StanceTB	33
33	Merv__	25
33	oxfordschool	25
35	ElectricDragon81	20
36	Fullut	19
37	teslawolf38	17
38	joethahobo	16
38	HellsSponge	16
40	Truckoss	15
41	jnp_gaming	14
42	LexMakesHistory	12
42	Sral7	12
44	noam464	10
44	Blaiku	10
44	Steelynan	10
47	AuroraValkyrie	9
47	mwrty	9
47	The_SlideV5	9
50	Mahoose	8
51	ColeSnyder	7
51	Arceus1975	7
51	Soap_Bender	7
51	Soplight	7
55	Smoke____	6
56	Kkanot	4
56	Hyp3rion_	4
58	TUNDR0	2
58	Eraxa	2
58	SSytex_X	2
58	Enderslayerxz3	2
58	Legendosh	2
63	Drlzyy	1
63	gcaisawesome	1
63	Di_infiri	1
63	MightyWertu	1
