rank	username	minecraft:used/minecraft:oak_pressure_plate
1	noam464	281
2	YungMaki	138
3	_Karmaa	124
4	Blackberry1310	116
5	HellsSponge	100
6	thewindmillman	68
7	EveryonesUncle	48
8	Njensen7	44
9	Nicky19	42
10	Merv__	40
11	6king6colt6	32
11	Mahoose	32
13	Xclax101	31
14	SokaOtaku	28
14	CalebDHawk	28
16	ClemenPine	26
16	DanTheBuilderino	26
18	Hermanni__	25
19	Jackster03	24
19	_Dean_123	24
21	Groundler	23
21	PortlyPete69	23
23	Maenara	20
24	q_wq	18
24	Shogunite	18
26	Fullut	17
26	KlausVonStiglitz	17
28	FirsTimeGamingTV	16
28	MyNameIsJobo	16
28	Kubeusz2010	16
31	titanlax	15
31	jacxhadow	15
31	The11thDoctor	15
31	Quotary	15
35	Cocoamallows	14
36	Yatitay	13
36	dopplexd	13
36	lOlmantschi	13
36	Kateesaur	13
40	SteveCraftBlocks	12
40	MustardDrinker	12
40	DemTechAlpha	12
40	Legendosh	12
44	Jovaphobic	11
44	GingerNeutron	11
44	Blu3beast	11
44	Ezekson	11
44	BreadBacon	11
49	eitanzaki	10
49	Ssor69	10
49	moist_jellyfish	10
49	RyuNeko932000	10
49	Kouridragon	10
49	trexgb	10
55	weezygator	9
55	youhjjhhhjj	9
55	Chickenchaser2	9
55	UncreativeArtist	9
55	kars0n	9
55	MovingFish7	9
61	Whiterooster001	8
61	Upstro10	8
61	mwrty	8
61	CharlieButt	8
61	ProfessorDiaper	8
66	Gryglu583	7
66	ReyTheLegend	7
66	BlankityMcBlank	7
66	Western_1	7
66	OfficerAnvil	7
66	Powowowow	7
72	KomputerDude	6
72	StanceTB	6
72	kekhon	6
72	crying_wolf_13	6
72	JMK208	6
72	loveseeker	6
72	andy_rex	6
72	Onennon	6
72	OtariCharlie	6
72	AlphaWolfPlaysMC	6
72	legoclone09	6
83	set67	5
83	lionmindset	5
83	Guno327	5
83	Drewen24	5
83	chipklip	5
83	CSG_Haru	5
83	djancak	5
83	Soplight	5
83	xof_on_microwave	5
83	Skippeh	5
83	xorompole	5
94	pintsizedrogue	4
94	Groovy_MoonBird	4
94	joethahobo	4
94	Cryptacity	4
94	500am	4
94	Dyosy	4
94	CarltheCuck	4
94	nitram49b	4
94	stickwhiskers	4
94	Flucxks	4
94	seramalen	4
94	CaptainAvenger7	4
94	Living_Storms	4
94	_Bguette_	4
94	Shoutur1	4
94	El_Jalapeno	4
94	fluddd	4
94	stavgod	4
94	Sank34	4
94	DennyKai	4
94	jnp_gaming	4
115	Travasaur	3
115	Dedalus36	3
115	T045RTY	3
115	ShedJr_	3
115	TheThomas69	3
115	ROY4LE	3
115	DirtyBoar	3
115	TableTim	3
115	ninjacat027	3
115	Rumpletaezer	3
115	wordboy107	3
115	CarryLine	3
115	Akoot_	3
115	LexMakesHistory	3
115	Soap_Bender	3
115	Freak_Genius	3
115	Frozil12	3
115	MightyWertu	3
115	DarkLawD	3
115	MakeHistory157	3
115	Luigipunch989	3
115	bitsplease	3
115	EcksD	3
115	FelixPSY375	3
115	JayToe	3
140	Mitchasnipe	2
140	PhantomsGhost_	2
140	abramgray	2
140	Slinkyy7071	2
140	BlancoFlaco	2
140	wickedword	2
140	Hormones	2
140	TheMaster972	2
140	oreee	2
140	beeperbeeper5	2
140	heckface	2
140	tortillatitan	2
140	zorin123	2
140	Gingayy	2
140	Dali1465	2
140	Matek_	2
140	Theo34	2
140	AJplaysMC_	2
140	Arceus1975	2
140	Zythose	2
140	Mpkkiller	2
140	Werbe	2
140	epiksk8erduck	2
140	TTNG	2
140	RoyalDorrr	2
140	NomadicRobin_	2
140	Deathkob	2
140	DarkS0L	2
140	Jaka_Saurus_715	2
140	MangoSalad316	2
140	AssEatrAndLicker	2
140	Blaiku	2
140	BumbleBeever	2
140	Barlycorn	2
140	NotMeowMix	2
140	ayamefag	2
140	plato2066	2
140	AssFullaCum	2
140	Spenduh	2
140	ItsJunoIGuess	2
140	fffMike	2
140	MilleGrug	2
140	oxfordschool	2
140	little_dUki	2
140	TechnoNinja64	2
140	EcksDofficial	2
186	MunkaKris	1
186	nataliecool	1
186	Argraol	1
186	KingFaenor	1
186	xXTheWolfmanXx	1
186	ssleepless	1
186	SaucyDark	1
186	dongli	1
186	Incinere	1
186	rarrq	1
186	Ozixar	1
186	aikabot	1
186	gilesmcriles	1
186	m_be9	1
186	SoftSix	1
186	slkiey	1
186	Cidah	1
186	thescout7	1
186	Awyrlas	1
186	Mariopreeet	1
186	gcaisawesome	1
186	purpolepickle	1
186	TheDankPlatypus	1
186	Purplehere	1
186	NLKBuilder	1
186	Nyxiom_	1
186	Fast_Turtle	1
186	BasedEphex	1
186	ApophisNova	1
186	selectrix	1
186	Shavrin	1
186	TheShyPig	1
186	Ender_Souls	1
186	_naturell	1
186	wezzzi	1
186	ogoa	1
186	SpouHn	1
186	Meepcraft	1
186	NameGenerat0r	1
186	Quaintster	1
186	MustaLoordi	1
186	Steven1282598	1
186	Fildyr	1
186	DamagedSin	1
186	lordpipe	1
186	Dusk_95	1
186	PabloGonza02	1
186	SquidZooka2	1
186	lcvezra	1
186	a_smol_bean	1
186	PlzNoBM	1
186	UltraZombie	1
186	Dogcorn69420	1
186	jcool7	1
186	_3Stump_	1
186	MyNamaSheff	1
186	AltnumberF4	1
186	Enderslayerxz3	1
186	Yahrto	1
186	zmpeg	1
186	Smoke____	1
