rank	username	minecraft:used/minecraft:dark_oak_planks
1	burbankbuilder28	27832
2	NameGenerat0r	25742
3	Frozil20	25003
4	Euclidoris	23698
5	500am	15505
6	RebelAndroid	14691
7	beeperbeeper5	13696
8	m_be9	13116
9	rarrq	9681
10	Nicky_H225	9536
11	Inbefour	9341
12	Shogunite	8381
13	pintsizedrogue	8198
14	gcaisawesome	8106
15	Ezekson	6269
16	TheSecondLord	6224
17	CollinMH06	6137
18	Russiancat1	5659
19	CattSoup	5414
20	EveryonesUncle	4977
21	Skippeh	4772
22	Hiryu27	4720
23	lcvezra	4668
24	TheShyPig	4367
25	xxPipperDipperxx	4267
26	Blackberry1310	4084
27	RatatJuice	3922
27	Zythose	3922
29	AnnieBathory	3544
30	SaintJosie	3373
31	tsitrawhy	3365
32	Merv__	3208
33	SkateboardR6	3053
34	Nycteus_	3018
35	xolstoi	3011
36	TheDankPlatypus	2973
37	Mattesco	2824
38	Xclax101	2802
39	seramalen	2748
40	Legendosh	2744
41	Blu3beast	2630
42	Ssor69	2610
43	wezzzi	2521
44	r123moore	2499
45	fluddd	2485
46	yulgur1	2468
47	Winklepicker279	2405
48	Skylord_Luke	2360
49	Fullut	2357
50	El_Jalapeno	2335
51	joethahobo	2326
52	AngalexikCZ	2089
53	ROY4LE	2087
54	RobotMinion101	2047
55	_Karmaa	1957
56	ConnorDanky_	1948
57	NieToksikpl	1937
58	kekhon	1894
59	XxCookiequeenxX	1884
60	NinjaKnifeKill	1851
61	Optiprimus	1848
62	VentiHilton	1845
63	paranoid_plant	1823
64	Groovy_MoonBird	1819
65	XboxPanda	1795
66	GingerNeutron	1794
67	Spacewardharpy7	1752
68	dudcreeper	1661
69	Kateesaur	1621
70	pixelviolin	1593
71	Cortexia	1585
72	Jovaphobic	1576
73	Enderxz3	1565
74	teslawolf38	1539
75	EcksD	1524
76	Dusk_95	1510
77	bigstankyy	1502
78	MattieHD	1501
78	Di_infiri	1501
80	titanlax	1494
81	SuperPooch06	1485
82	Incinere	1483
83	ZoomieZoomie	1476
84	ItzYaBoiPicard	1475
85	6king6colt6	1440
86	HellsSponge	1433
87	Smoke____	1400
88	CharlieButt	1394
89	GeromeMerris	1379
90	Jeteight	1371
91	PortlyPete69	1370
92	xzvu	1365
93	Kowcio_	1335
94	binman420	1322
95	lillips	1289
96	Kyrum2169	1286
97	ThePoliteG	1284
98	Tobinator_007	1281
99	olliebollie48	1275
100	selectrix	1253
101	Foof13	1191
102	TowenPL	1186
103	Awyrlas	1174
104	Prismyst	1152
105	_Razaria	1150
106	Jij0	1076
107	I_Am_Mushkin	1062
107	Natty	1062
109	Elastiq	1058
110	Smashic	1056
111	KarlKaek	1055
112	Malorn_Aetherius	1047
112	Lord_Jord	1047
114	FreakGenius	1026
115	FishyBoy3811	1017
116	theofiel	1016
117	set67	1007
118	Nekomin0	993
119	RoofTyler	991
120	eitanzaki	988
121	Cowison	980
122	Skomo	979
123	Onennon	951
124	TheOnlyRake	941
125	Biites	937
126	iSammael	915
127	mimbo1211	907
128	Lez_	893
129	luseis	884
130	KliBeast21	880
