rank	username	minecraft:used/minecraft:soul_soil
1	Spacewardharpy7	2978
2	12Magner05	1644
3	beeperbeeper5	1096
4	TheSecondLord	626
5	Winston_Ingram	620
6	Eraxa	584
7	Winklepicker279	387
8	Zythose	363
9	Mahoose	265
10	eitanzaki	213
11	Enderslayerxz3	167
12	Fullut	160
13	rarrq	151
14	noam464	147
15	Decaying_Lotus	140
16	diggydog67	131
17	ShedJr_	126
17	Blaiku	126
19	500am	95
20	Nycteus_	90
21	kekhon	89
22	HellsSponge	87
23	djancak	82
24	brofrickcheaters	67
25	benediktine1	65
26	_Razar	64
27	Jackattack53	54
28	Deathkob	52
29	RebelAndroid	51
29	Xalithia	51
29	Chromary	51
32	pintsizedrogue	44
33	Di_infiri	43
33	thewindmillman	43
35	JingleLizi	41
36	Historical_Sand	39
36	Ezekson	39
38	Inchef	38
39	OtariCharlie	35
40	trexgb	34
41	Blackberry1310	29
42	RadarHz	28
42	Smoke____	28
44	joethahobo	27
44	ogoa	27
46	Paint	25
47	MilleGrug	24
48	breadbowlgamer	22
48	Billious	22
48	YungMaki	22
51	EMC_	21
51	Kubeusz2010	21
53	fanofbands101	18
53	DanTheBuilderino	18
55	Sheldor097	16
56	fffMike	15
57	NinjaKnifeKill	14
58	q_wq	13
58	lillips	13
58	PortlyPete69	13
61	UncreativeArtist	12
61	Skylord_Luke	12
63	Freak_Genius	10
63	Dusk_95	10
63	SammiWolfGirl	10
66	GlitchyPlate810	9
67	set67	8
67	PigDab	8
69	MSK__	7
69	himak1	7
71	Vryistal	6
71	SquadMonster	6
71	4383	6
71	NomadicRobin_	6
71	GravitySaint	6
71	Spenduh	6
77	Cowison	5
77	CoffeeNoir	5
77	Snowflowe	5
77	The_Fulgurator	5
81	lazioglug	4
81	CarltheCuck	4
81	Rebytre	4
81	lizardfightclub	4
81	EveryonesUncle	4
81	SingedBread	4
87	JEWISHBadenBeele	3
87	Swexti	3
87	theonlymagikarp	3
87	fred870d	3
87	CalebDHawk	3
87	jnp_gaming	3
93	JohnnyFyes	2
93	strongman951753	2
93	CliffEmAll	2
93	Nicky_H225	2
93	MinttyFressh	2
93	_Dean_123	2
93	ROY4LE	2
93	xxPipperDipperxx	2
93	M_Patata	2
93	TheShyPig	2
93	DTwenty	2
93	El_Jalapeno	2
93	Racengan	2
93	MasterNueve	2
93	Soplight	2
93	ZeroKraken	2
93	anbbang	2
93	Miko_Fullbuster	2
93	EcksD	2
93	Quotary	2
113	Sleek_Storm_721	1
113	ExtraDumb	1
113	Base_Tempest	1
113	Myrlewen	1
113	Enigma0251	1
113	Arceus1975	1
113	DarkS0L	1
113	DarlaMeow	1
113	Steven1282598	1
113	lordpipe	1
113	Kowcio_	1
113	amkold	1
113	MeetTheWollo	1
113	Earlesstrain4	1
