rank	username	minecraft:used/minecraft:oak_trapdoor
1	_Virify_	8389
2	HellsSponge	6044
3	Spacewardharpy7	5780
4	Dogcorn69420	4857
5	Mahoose	4295
6	noam464	3772
7	Lord_Jord	3500
8	PlzNoBM	2871
9	ProfessorBee	2492
10	Ezekson	2365
11	beeperbeeper5	1879
12	YungMaki	1564
13	Frozil12	1558
14	AlphaWolfPlaysMC	1521
15	vandmanden	1514
16	ShedJr_	1331
17	EveryonesUncle	1319
18	sxc_	940
19	Di_infiri	908
20	Freak_Genius	901
21	SpaceGrenadier	894
22	Legendosh	853
23	Racengan	847
24	Cocoamallows	833
25	PlasticOtari	790
26	Werbe	719
26	AssEatrAndLicker	719
28	pintsizedrogue	712
29	m_be9	696
29	mariominejedi	696
31	Inbefour	635
32	FishyBoy3811	632
33	Merv__	600
34	500am	581
35	thescout7	545
36	Smoke____	539
37	Mewar	521
38	livingdaydreams	518
39	eitanzaki	513
39	Marbz_	513
41	TheShyPig	511
42	WyngGoy	489
43	fr0stss	470
44	joethahobo	466
45	PortlyPete69	457
46	Shogunite	395
47	loveseeker	387
48	Jackattack53	386
49	Onennon	383
50	CoffeeNoir	376
51	MustaLoordi	372
52	mwrty	361
53	epiksk8erduck	356
54	DanTheBuilderino	341
55	_8man	339
56	__tomato	336
57	set67	329
58	_Karmaa	321
59	Kyrum2169	313
60	EcksD	310
61	thewindmillman	309
62	Enderslayerxz3	293
63	burbankbuilder28	276
64	Ailmast	274
65	XboxPanda	273
66	kyouma777	265
67	gcaisawesome	257
68	Blackberry1310	256
68	TheSecondLord	256
70	_Dean_123	255
71	ewsophie	233
72	Sral7	225
73	MightyWertu	216
74	gabriels543	202
75	TheTrueClipse	200
76	TheSeismicDuck	195
77	rarrq	170
78	Skylord_Luke	167
79	oxfordschool	161
80	Megarboh	157
80	Soap_Bender	157
82	fffMike	155
83	07shiny	154
84	Myszoaz	153
85	MovingFish7	151
86	stellarjay	150
87	wiqor	149
88	Winklepicker279	146
89	CharlieButt	140
89	SkateboardR6	140
91	Groovy_MoonBird	137
91	PhantomsGhost_	137
93	Covalents	132
93	the_russell1611	132
95	Dedalus36	130
96	sebastiensaborio	124
97	Soplight	122
98	The_slideV3	121
99	Cowison	117
99	Reamdin	117
99	CalebDHawk	117
102	Hermanni__	109
103	SingedBread	108
104	Leyna3	107
105	_Nuf	106
106	Rumpletaezer	102
107	ssleepless	101
108	Swexti	97
109	Groundler	95
110	Eraxa	93
110	Gustavo_PP	93
112	EMC_	92
112	Fullut	92
114	Drlzyy	91
114	KarlKaek	91
116	yulgur1	90
116	jnp_gaming	90
118	Kubeusz2010	88
119	2Stout	87
119	PigDab	87
121	soundad	86
121	Jiminie	86
121	anbbang	86
121	Nicserso	86
125	Ozixar	82
126	Nicky_H225	81
126	AltnumberF4	81
128	kekhon	80
129	dopplexd	79
129	aec9	79
131	T045RTY	78
131	MinttyFressh	78
131	jcool7	78
134	UncreativeArtist	75
134	Rebytre	75
134	_Bguette_	75
137	EcksDofficial	73
138	_naturell	72
138	Luigipunch989	72
140	wobn	71
141	Awyrlas	70
142	Nycteus_	68
142	Warlord324	68
142	jaimshae	68
142	Kferno	68
146	mawileite	67
146	Weepingbiel	67
148	Deathkob	66
149	titanlax	65
149	UrbanPlanner1978	65
151	Inchef	64
151	Hyp3rion_	64
151	Truckoss	64
151	KnightmareD	64
155	xxPipperDipperxx	63
156	bloodbiter	62
157	q_wq	61
157	r123moore	61
157	andy_rex	61
157	lcvezra	61
157	Quotary	61
162	egglapras	57
162	El_Jalapeno	57
162	smogfrog	57
165	Fuhrer_Teemo	55
166	Akoot_	53
167	Chromary	52
167	wezzzi	52
169	ThePoliteG	51
170	Fildyr	50
170	zmpeg	50
172	ooga47	49
172	Darkgon	49
172	Slapface522	49
172	Powowowow	49
176	SteveCraftBlocks	48
176	TheDankPlatypus	48
178	whoaluv	47
178	BumbleBeever	47
180	Haadrada	45
181	The_SlideV5	44
182	Zlatovlas	42
182	eiC_	42
182	audiocracked	42
185	Tombo2004	41
185	NotKaden_	41
185	Kowcio_	41
188	natajimi	40
188	FreddyFart	40
188	Hisiste	40
191	stavgod	39
192	MattieHD	38
192	MousePlays	38
192	Meatlaugh	38
195	awesomeoneme	37
196	Skippeh	35
196	Zoeyfortnite	35
198	Mr_Byzantine	34
198	Arceus1975	34
200	slkiey	33
200	ReyTheLegend	33
200	trexgb	33
203	NoxxxxiS	32
203	Kynigito	32
203	Xclax101	32
203	TechnoNinja64	32
207	BlancoFlaco	30
207	himak1	30
207	DeeDeeThonk	30
210	Ssor69	29
210	TheDiamondCG	29
210	fallingemma	29
210	fluddd	29
214	Yatitay	28
214	301851	28
214	Donutt	28
217	MonitorLizards	27
218	jacxhadow	26
218	MAns_44	26
218	RoboTramp7865	26
218	mountaingirl311	26
222	ImpavidArcher	25
222	Incinere	25
222	TheMaster972	25
222	ccormacs	25
222	DaviusMaximoose	25
227	wickedword	24
227	Jiminbub	24
227	Ze_BaronKrigler	24
230	heckface	23
230	Kakolbus	23
230	fkGrim	23
230	Lutres_Torane	23
230	Quincannon	23
230	FishisTTV	23
236	AJplaysMC_	22
236	LexMakesHistory	22
236	Blu3beast	22
236	JasmineGK	22
240	Iagoku	21
240	RobotMinion101	21
240	ItsJunoIGuess	21
243	SuperPooch06	20
243	Bumpy419	20
243	KingMatthew506	20
243	diggydog67	20
247	halfbakedlasagna	19
248	Louiis123	18
248	6king6colt6	18
248	Franco093	18
248	orxngejuice	18
248	Maenara	18
253	ratglock	17
253	MakeHistory157	17
253	_Wannabe_	17
253	xorompole	17
253	JayToe	17
258	teslawolf38	16
258	jimbo61101jr	16
258	Wooptey	16
258	MrExplorer	16
258	benediktine1	16
258	censorsheep	16
258	33sudo	16
258	Kijiki	16
258	remmisrat	16
267	Frxnkz	15
267	NotTrixi	15
267	MyNameIsJobo	15
267	claivin	15
267	LetsDoItLive	15
272	youhjjhhhjj	14
272	Quaintster	14
272	sp00ky_ghost977	14
275	ColeSnyder	13
275	Malorn_Aetherius	13
275	SlayerCrypto	13
275	LilLizardWizard	13
275	ProfessorDiaper	13
275	Optiprimus	13
275	BlankityMcBlank	13
282	Matemaks2137	12
282	Ardennes	12
282	Xalithia	12
282	IAmTheWalrus910	12
286	SellyZ	11
286	yaboo88	11
286	TJawesome09	11
286	RedcatVII	11
286	Nekomin0	11
286	y0shik	11
286	gaming4Naming	11
293	Crowvens	10
293	diamondgolem35	10
293	BodaciousCake	10
293	Whiterooster001	10
293	Prodiginus	10
293	Mariopreeet	10
293	beeleg	10
293	sarahlynn00	10
