rank	username	minecraft:used/minecraft:iron_ore
1	thewindmillman	6797
2	Miko_Fullbuster	3781
3	Ezekson	3760
4	gcaisawesome	3266
5	12Magner05	3032
6	Enderslayerxz3	2515
7	EveryonesUncle	2124
8	EMC_	2109
9	pintsizedrogue	2002
10	TheSecondLord	1597
11	Kakolbus	1343
12	PigDab	1025
13	Lutres_Torane	975
14	PlasticOtari	928
15	SingedBread	660
16	RadarHz	579
17	yulgur1	526
18	KartivGal	464
19	Flores991	457
20	ApophisNova	422
20	MyNamaSheff	422
22	Rocco_Lane	415
23	pixelviolin	359
24	Steven1282598	311
25	Corbsman	295
26	Z3braYTIL	280
27	Smoke____	278
28	LeauVox4921	266
29	corvidpartyfor6	236
30	diamondgolem35	228
31	MinttyFressh	220
32	500am	215
33	Sheldor097	197
34	Segotep999	187
35	Leyna3	178
36	Megarboh	165
37	Yatitay	156
38	WYFYoyo	153
39	Blackberry1310	152
40	Ryker	151
41	HellsSponge	148
42	Hyp3rion_	146
43	SlayerCrypto	145
44	lordpipe	143
45	Hermanni__	142
46	SDMNAEK	130
47	Bucscw24	128
48	KGTV	125
49	YungMaki	121
50	TheEnderman548	115
51	Kamflame10	114
51	Werbe	114
51	Freak_Genius	114
54	ROY4LE	111
55	Ssor69	104
56	OG_Songsee	103
57	MissCeleste7	97
58	fw3xywashere	94
59	ShedJr_	90
60	dartwaffle	86
61	Jiminie	81
62	RebelAndroid	79
63	Spacewardharpy7	78
64	SvenskaHugo	77
65	Incinere	70
65	eitanzaki	70
67	masskedman	69
68	DarkS0L	66
69	Zythose	65
70	SquadMonster	64
70	Xclax101	64
72	eli_tschki	62
73	NomadicRobin_	61
74	Drlzyy	58
75	H72l9w	57
75	hcb238	57
77	I_Am_Mushkin	56
78	Eczbek	54
79	kekhon	53
79	Rasmanden	53
79	Soplight	53
82	chipklip	52
82	sp00ky_ghost977	52
84	Fullut	48
84	Snowflowe	48
86	Di_infiri	44
86	MangoTheFish	44
88	WyngGoy	43
89	Groovy_MoonBird	42
89	_Bguette_	42
89	jnp_gaming	42
92	h2p_emrld	41
93	Racengan	39
94	Historical_Sand	38
95	Merv__	37
95	Ozixar	37
97	DarlaMeow	36
98	peachfuzz1267	35
98	geekbird	35
100	Bumpy419	33
100	Cyntrical	33
102	YungJakobo	32
102	Timfinity4	32
104	YinToYin	31
104	jushykins	31
104	Toriankel	31
104	PortlyPete69	31
108	rarrq	30
108	Kubeusz2010	30
110	Kouridragon	29
111	Euclidoris	28
111	Truckoss	28
111	jcool7	28
111	TheALV	28
115	EcksDofficial	27
116	ZaneABrain	26
116	joethahobo	26
116	Rumpletaezer	26
116	KingMatthew506	26
120	noam464	25
120	Akoot_	25
122	orxngejuice	23
122	groofles	23
122	Leftsy	23
125	MOSS000	22
125	Onennon	22
125	Maenara	22
125	wwwwinnebagoooo	22
129	thescout7	21
129	Skippeh	21
129	Zoeyfortnite	21
132	stahouo	20
132	ProbsNotNova	20
132	Erased_Identity	20
135	titanlax	19
135	Shiirazuku	19
135	Hisiste	19
135	Spenduh	19
139	Winklepicker279	18
139	Hiryu27	18
139	Jimi7hits	18
142	gaziter10	17
142	KliBeast21	17
142	Meepcraft	17
142	brofrickcheaters	17
146	BlankityMcBlank	16
146	Steelynan	16
148	dimondking777	15
148	Mahoose	15
148	jacxhadow	15
148	fred870d	15
148	fluddd	15
148	SammiWolfGirl	15
154	fanofbands101	14
154	_Dean_123	14
154	UncreativeArtist	14
154	Awyrlas	14
154	fallingemma	14
154	Quaintster	14
154	EcksD	14
161	Dedalus36	13
161	XboxPanda	13
161	prizm_	13
161	Marbz_	13
161	CranialBlowout	13
161	technic_squirrel	13
161	MovingFish7	13
161	laron58	13
161	oxfordschool	13
161	TechnoNinja64	13
171	abramgray	12
171	beeperbeeper5	12
171	MrExplorer	12
171	Ecplosive	12
171	_Cloverbelle_	12
171	Blaiku	12
171	AssFullaCum	12
171	trexgb	12
179	Menthas	11
179	NieToksikpl	11
179	TheTrueClipse	11
179	sufjanlover	11
179	Frozil12	11
179	IdeallyGrey	11
179	Sral7	11
186	emrekn	10
186	Inchef	10
186	NameGenerat0r	10
186	claivin	10
186	Legendosh	10
191	Jalvajar	9
191	Mowelan	9
191	ImpavidArcher	9
191	ivorico	9
191	MattieHD	9
191	ProfessorBee	9
191	YungWali	9
191	vandmanden	9
199	BlancoFlaco	8
199	Myszoaz	8
199	Sleepy_Time_	8
199	Mewar	8
199	Arceus1975	8
199	iHuntWeeaboos	8
199	cringenaynaybaby	8
199	DontHaveKick	8
199	lcvezra	8
199	RoboTramp7865	8
199	FelixPSY375	8
210	dabloons	7
210	bigstankyy	7
210	Furiuosbeast0404	7
210	spaece	7
210	Tjhodskins19	7
210	Jackattack53	7
210	_Boipl_	7
210	DAD_1996	7
210	__tomato	7
210	UrbanPlanner1978	7
220	Jovaphobic	6
220	seanitoo	6
220	SaucyDark	6
220	Prismyst	6
220	Guillemet	6
220	_Nuf	6
220	boog4loo	6
220	xxPipperDipperxx	6
220	r123moore	6
220	Resner	6
220	SuperPooch06	6
220	Ender_Souls	6
220	Lord_Jord	6
220	Groundler	6
220	33sudo	6
220	djancak	6
220	SSytex_X	6
220	Moetis	6
220	Dreamdbr14	6
220	smogfrog	6
240	Bandito_Roamer	5
240	SyK7	5
240	PhantomsGhost_	5
240	KingFaenor	5
240	Franco093	5
240	ThePaladin1	5
240	bloodbiter	5
240	Cortexia	5
240	Akuzmi	5
240	Gryglu583	5
240	Blu3beast	5
240	Barlycorn	5
240	SkateboardR6	5
240	MakeHistory157	5
240	PlzNoBM	5
240	fffMike	5
240	bitsplease	5
240	_KuruKuru	5
240	anbbang	5
259	dudcreeper	4
259	Hashinshin69	4
259	Malorn_Aetherius	4
259	jiggywraps	4
259	Smashic	4
259	mwrty	4
259	eviltunix	4
259	pappaberg	4
259	RobotMinion101	4
259	lizardfightclub	4
259	Sky_light_KING	4
259	Wowful	4
259	fkGrim	4
259	Meatlaugh	4
259	DeGodz4life	4
259	ProfessorDiaper	4
259	pipejob	4
259	alderban107	4
259	cichy096	4
259	JungeSchnauzer	4
259	Yahrto	4
280	Mr_Byzantine	3
280	TooManyDuck	3
280	Seyaboy	3
280	301851	3
280	kaziroki	3
280	FirsTimeGamingTV	3
280	Khelvoryk	3
280	Notta	3
280	Comma__	3
280	noodlepack	3
280	ketaminmann	3
280	mimbo1211	3
280	TastefulBas	3
280	RodSerlingCringe	3
280	Inbefour	3
280	lillips	3
280	Katthaj	3
280	JESS_THE_RERE	3
280	Shogunite	3
280	MAns_44	3
280	EfficientC52	3
