rank	username	minecraft:used/minecraft:jungle_fence_gate
1	Zaridey	870
2	MightyWertu	633
3	PigDab	559
4	Xalithia	524
5	MyNameIsJobo	359
6	_Virify_	182
7	Merv__	156
8	Freak_Genius	92
9	Blaiku	74
10	Soplight	73
11	Mr_Byzantine	55
12	joethahobo	51
12	The_slideV3	51
14	BronkerBrum	41
15	eitanzaki	38
16	Hermanni__	36
17	Winklepicker279	29
17	Di_infiri	29
19	T045RTY	28
19	thewindmillman	28
21	Felenov	27
22	dimondking777	22
22	Hyp3rion_	22
24	Kim_Jong_eel	14
25	Racengan	13
26	JESS_THE_RERE	12
27	Jiminie	10
27	chipklip	10
27	jcool7	10
30	Njensen7	9
31	ItsAki_	7
32	thescout7	5
32	TechnoNinja64	5
34	jessemgaming	4
34	SaucyDark	4
34	Smashic	4
34	mwrty	4
34	El_Jalapeno	4
34	ItsDeltaMC	4
34	KG1999	4
34	CalebDHawk	4
42	Incinere	3
42	Deathkob	3
44	TAKrules	2
44	ShedJr_	2
44	H72l9w	2
44	rarrq	2
44	500am	2
44	ROY4LE	2
44	noam464	2
44	SvenskaAlvar	2
44	Toiton	2
44	jnp_gaming	2
44	kinas45y5	2
44	Jordan_R	2
44	KASAN420	2
44	Smoke____	2
58	AuroraValkyrie	1
58	MrKrabOnCoke	1
58	beeperbeeper5	1
58	titanlax	1
58	xxPipperDipperxx	1
58	Kynigito	1
58	Dabatha	1
58	_Karmaa	1
58	claivin	1
58	Nycteus_	1
58	Spacewardharpy7	1
58	YungMaki	1
58	Legendosh	1
58	PlasticOtari	1
58	The_SlideV5	1
58	00000000-0000-0000-0009-01f9013b764e	1
