rank	username	minecraft:used/minecraft:cod
1	Hyp3rion_	2218
2	Smoke____	347
3	Werbe	277
4	DarlaMeow	228
5	beeperbeeper5	206
6	Blackberry1310	87
7	mimbo1211	84
8	MovingFish7	81
9	oreee	66
10	lordpipe	65
11	SingedBread	64
11	Miko_Fullbuster	64
13	Felenov	60
13	TechnoNinja64	60
15	T045RTY	56
15	Freak_Genius	56
17	Euclidoris	53
18	JESS_THE_RERE	50
18	ediballbearings	50
20	RyuNeko932000	46
21	claivin	45
22	ItsColin11	43
23	eitanzaki	40
24	MyNameIsJobo	39
25	noam464	38
25	lcvezra	38
27	oxfordschool	37
28	Mahoose	34
28	HellsSponge	34
30	Blu3beast	33
31	chipklip	32
32	Enderslayerxz3	30
32	aao001	30
34	ImpavidArcher	29
34	paranoid_plant	29
36	xxPipperDipperxx	25
36	burbankbuilder28	25
36	PigDab	25
39	MrExplorer	24
39	Fullut	24
39	Xclax101	24
42	masskedman	23
42	stavgod	23
42	Legendosh	23
45	SuperPooch06	22
45	Powowowow	22
47	Cambo5000	21
48	YungMaki	20
49	Nach0Bear	19
50	Bumpy419	18
51	H72l9w	17
51	Swexti	17
51	fallingemma	17
51	WyngGoy	17
55	_Virify_	16
55	MinttyFressh	16
55	ayamefag	16
58	fxiryglitch	15
58	TheSeismicDuck	15
58	obzii	15
61	milkedit	14
61	RebelAndroid	14
61	himak1	14
61	TheShyPig	14
65	fluddd	13
65	EcksDofficial	13
67	_Boipl_	12
67	SammiWolfGirl	12
67	jcool7	12
67	xX_Stalin69_Xx	12
71	livingdaydreams	11
71	NinjaKnifeKill	11
71	Awyrlas	11
71	RodSerlingCringe	11
71	LeeMcGee30	11
76	youhjjhhhjj	10
76	fr_ser	10
76	Arceus1975	10
76	ooga47	10
76	Inbefour	10
76	Eraxa	10
82	Seyaboy	9
82	Ardennes	9
82	WingedTortoise	9
82	EcksD	9
86	ShedJr_	8
86	Myszoaz	8
86	thewindmillman	8
86	jambvds	8
86	Vorlice	8
86	PortlyPete69	8
86	Ezekson	8
93	Bandito_Roamer	7
93	Froste131	7
93	xyct	7
93	dabloons	7
93	Merv__	7
93	awesomeoneme	7
93	Notta	7
93	jedi_george	7
93	Rumpletaezer	7
93	MeanTugger	7
93	Russiancat1	7
93	El_Jalapeno	7
93	_TCARREIRA_	7
93	Kiki_Majiki	7
107	EllaBellaChu	6
107	XboxPanda	6
107	The_slideV3	6
107	Racengan	6
107	Hemartunity	6
107	Spenduh	6
107	imaginek1d	6
114	dudcreeper	5
114	Incinere	5
114	lotarp	5
114	MOSS000	5
114	Comma__	5
114	bbquakes	5
114	gcaisawesome	5
114	impossibleteapot	5
114	tyraxxx	5
114	Soap_Bender	5
114	Frozil12	5
114	CalebDHawk	5
114	MeetTheWollo	5
114	The_SlideV5	5
114	JohnPrice	5
114	Hylitee	5
130	FujiBS	4
130	Batman922	4
130	kekhon	4
130	Covalents	4
130	SlayerCrypto	4
130	Donutt	4
130	Matyyy15	4
130	SkyHighSkier	4
130	Sky_light_KING	4
130	Renchi19	4
130	Keeogwi	4
130	Groundler	4
130	Unlasher	4
130	Jij0	4
130	djancak	4
130	stellarjay	4
146	PhantomsGhost_	3
146	I_Am_Mushkin	3
146	KarlKaek	3
146	Begformurrcy	3
146	hm947	3
146	Lukeee33	3
146	Nicky_H225	3
146	Kamflame10	3
146	eviltunix	3
146	ROY4LE	3
146	Kakolbus	3
146	Lil_Breadboy	3
146	Drewen24	3
146	Lord_Jord	3
146	NomadicRobin_	3
146	QueenShuvi	3
146	Nycteus_	3
146	censorsheep	3
146	33sudo	3
146	Omar_Alone	3
146	TheOnlyRake	3
146	BreadBacon	3
168	pintsizedrogue	2
168	pZygh0st	2
168	The_Dark_One_00	2
168	Sleek_Storm_721	2
168	Natofthese	2
168	ivorico	2
168	SteveWithClout	2
168	MSK__	2
168	tramizu	2
168	FirsTimeGamingTV	2
168	Vizzoid	2
168	TheSecondLord	2
168	bloodbiter	2
168	12Magner05	2
168	SirMinza	2
168	_Dean_123	2
168	TheDiamondCG	2
168	Scattman_	2
168	thescout7	2
168	Motsaro	2
168	Avrelion	2
