rank	username	minecraft:used/minecraft:tube_coral_fan
1	Hyp3rion_	221
2	Jackattack53	141
3	noam464	139
4	Spacewardharpy7	119
5	12Magner05	114
6	ImpavidArcher	74
6	thewindmillman	74
8	_Dean_123	73
9	Di_infiri	61
10	lordpipe	58
11	mihimihimihi	53
12	ApophisNova	51
12	MyNamaSheff	51
14	Merv__	45
15	Fullut	43
16	joethahobo	40
17	Lez_	39
17	TheShyPig	39
19	Manaateee	38
20	luseis	34
21	Legendosh	33
22	Ssor69	31
23	pintsizedrogue	30
23	Blackberry1310	30
23	SammiWolfGirl	30
26	Quaintster	29
26	TheWickedBird	29
28	Xalithia	26
29	Mahoose	23
29	Onennon	23
29	AspenLightVT	23
29	HellsSponge	23
33	EveryonesUncle	22
34	YungMaki	21
35	aec9	18
36	Archsam	17
36	MattieHD	17
36	Marbz_	17
36	Rumpletaezer	17
36	FreddyFart	17
36	Xclax101	17
42	TheDankPlatypus	16
43	PortlyPete69	15
44	SaucyDark	14
44	Krowuss	14
46	500am	13
46	r123moore	13
46	SexcMf	13
49	diggydog67	12
50	AuroraValkyrie	11
50	kekhon	11
50	KingMatthew506	11
53	excelsionprime	10
53	Typadopoulos	10
53	PlasticOtari	10
56	skroobiez	9
56	crashomon	9
56	groofles	9
56	GooseWithin	9
56	Steelynan	9
56	Powowowow	9
56	Jimb0nat0r	9
63	RebytreGT	8
64	Inbefour	7
64	XxCookiequeenxX	7
64	Jiminbub	7
64	iSammael	7
64	Yamdalorian	7
69	Kakolbus	6
69	oscminus	6
69	miramyu	6
72	Bandito_Roamer	5
72	Apollo_993	5
72	Incinere	5
72	PigDab	5
72	KeruNatsema	5
72	Gus2005	5
72	Fizznut909	5
72	SpacesickPrism	5
80	T045RTY	4
80	Bumpy419	4
80	_Karmaa	4
80	Skippeh	4
80	Enderxz3	4
85	hm947	3
85	TheSecondLord	3
85	MyNameIsJobo	3
85	NameGenerat0r	3
85	Factoroni	3
85	stellarjay	3
85	Sral7	3
92	ShedJr_	2
92	IWorkAtIkea	2
92	beeperbeeper5	2
92	titanlax	2
92	emrekn	2
92	Inchef	2
92	F_Uhre	2
92	_Cloverbelle_	2
92	Blaiku	2
92	SkateboardR6	2
92	_Mythic____	2
92	SvenskaHugo	2
92	pixelviolin	2
92	non089	2
92	_i_ERROR_i_	2
92	erkada	2
92	HesDemonPants	2
92	FishisTTV	2
110	diamondgolem35	1
110	eitanzaki	1
110	BodaciousCake	1
110	tsohomie	1
110	Covalents	1
110	RIPB0ZO	1
110	hanaryheatwave	1
110	Arceus1975	1
110	Donutt	1
110	Voxin2K	1
110	Werbe	1
110	HolyVenom	1
110	Maenara	1
110	audiocracked	1
110	StinkyDiplomat	1
110	FreakGenius	1
110	Blu3beast	1
110	WyngGoy	1
110	mr_crabs761	1
110	jnp_gaming	1
110	Biites	1
