rank	username	minecraft:used/minecraft:stone_hoe
1	LordAurum	7554
2	kekhon	3091
3	TechnoNinja64	1476
4	El_Jalapeno	1288
5	CrookedKaptain	1179
6	Jiminie	1093
7	CoffeeNoir	923
8	Ravenbie	912
9	Prodiginus	908
10	Kamflame10	823
11	regulator75	774
12	TheShyPig	773
13	_Karmaa	737
14	LordSpeed37	730
15	_Cloverbelle_	728
16	RyuNeko932000	706
17	Cortexia	655
18	rotten_mango	646
19	calamariclam_I	593
20	gaming4Naming	574
21	nut_e	566
21	PlasticOtari	566
23	Katsuragi0243218	515
24	KlausVonStiglitz	507
25	bigstankyy	502
26	Kryktal	496
27	Warlord324	493
28	sp00ky_ghost977	478
29	Smoke____	475
30	CharlieButt	474
31	Sky_light_KING	444
32	6king6colt6	423
33	Ryker	420
34	RadarHz	418
35	JayToe	401
36	tortillatitan	399
37	mawileite	398
38	Onennon	396
38	Freak_Genius	396
40	awesomeweasel	393
40	Nycteus_	393
42	Powowowow	390
43	KingFaenor	384
44	SammiWolfGirl	371
45	not_a_duck_23	350
46	HoltGrim	347
46	Dan_Scha	347
48	NebulousBadger	343
49	Lowjinx	325
50	Methalox1	320
51	Snowflowe	318
51	NarwhalTaco	318
53	youhjjhhhjj	317
54	Smashic	316
55	YungMaki	313
56	Chuvacevedo	311
57	Fast_Turtle	307
58	SteveCraftBlocks	305
59	LitoDelvito	303
60	Xclax101	302
61	ori0le	301
62	natajimi	296
63	Soplight	293
64	Paint	292
65	bloodbiter	277
66	Di_infiri	276
67	TheThomas69	274
67	Shadow4381	274
67	smogfrog	274
70	jnp_gaming	273
71	TAKrules	272
72	EcksDofficial	268
73	Mr_Byzantine	262
73	sandmire	262
73	BigMoneyH	262
73	Bumpy419	262
73	QueenOfDirt	262
78	masskedman	255
79	Negriuke	252
80	Motsaro	250
80	Zoeyfortnite	250
82	pintsizedrogue	249
82	non089	249
84	Quincannon	243
85	Zythose	242
86	MustaLoordi	241
87	ExtraDumb	239
88	thewindmillman	238
89	shdesolt	237
89	stickwhiskers	237
91	Kakolbus	236
91	BlueZabu	236
93	Megarboh	232
93	bruh072	232
95	Rumpletaezer	224
96	BiggieDawg	219
97	CarltheCuck	218
98	Kim_Jong_eel	216
98	chipklip	216
100	MOSS000	215
101	420BreadLizard	212
102	wwwwinnebagoooo	210
103	Soul_Atreus	209
104	ApophisNova	208
104	MyNamaSheff	208
106	LilLizardWizard	205
107	Frozil12	201
108	avalan64	200
109	maliraspberry	197
109	Factoroni	197
111	LavenderBi1ch	196
112	Ajax6	189
112	Shogunite	189
114	himak1	188
114	_Tilariel_	188
116	Guillemet	186
117	fred870d	184
118	kiluaemc	182
119	numbra	181
119	TastyPorkchop	181
119	Akoot_	181
122	Legendosh	178
123	Moofyman	177
124	Mahoose	173
124	ComplexSquirrel	173
126	momis24	169
127	Lutres_Torane	162
127	ReyTheLegend	162
129	ChampPog_	160
129	Bobby808	160
131	AuroraSkies	159
132	OG_Songsee	158
132	NeoJordache	158
132	Ezekson	158
135	ssleepless	155
136	r123moore	153
137	Lord_Jord	150
138	JustAWill_	147
139	audiocracked	146
140	starbits140	145
141	Eon_57	142
141	CalebDHawk	142
141	Kferno	142
141	IronicUwU1	142
145	Jackattack53	141
146	MSK__	140
146	CarryLine	140
148	Gryglu583	136
148	censorsheep	136
150	DanielMmm	134
150	Pootis11	134
150	PortlyPete69	134
153	wiqor	133
153	OfficerAnvil	133
155	The_Fulgurator	132
156	Alexanderjac	131
156	Lepthymo	131
156	ZaneABrain	131
156	Atroxes	131
156	500am	131
156	AngalexikCZ	131
156	SLASHZEERA	131
156	noam464	131
156	M_Patata	131
156	toj__	131
156	Orcus113	131
156	MyNameIsJobo	131
156	Studyhallsaver	131
156	KillerNekoRain	131
156	dendydoom	131
156	MustardDrinker	131
156	CaptainDeadBread	131
156	ItsAki_	131
156	Cattoh	131
156	thgrocks	131
156	Darkgon	131
156	SUN_DREAM	131
