rank	username	minecraft:used/minecraft:large_fern
1	Skylord_Luke	45
2	The_slideV3	13
3	Akoot_	7
4	Shogunite	5
5	diggydog67	4
6	Jeteight	2
7	pintsizedrogue	1
7	EMC_	1
7	Godspirit249	1
7	Steelynan	1
