rank	username	minecraft:used/minecraft:conduit
1	Mahoose	58
2	HellsSponge	20
3	thewindmillman	19
3	_TCARREIRA_	19
5	ImpavidArcher	16
6	Blu3beast	15
7	Bumpy419	13
8	Maenara	12
9	eitanzaki	11
9	Enderslayerxz3	11
11	Fullut	10
11	YungMaki	10
11	EcksD	10
14	12Magner05	9
14	Hyp3rion_	9
14	Skippeh	9
17	Lord_Jord	8
17	obzii	8
17	EcksDofficial	8
20	kekhon	7
20	Legendosh	7
22	pintsizedrogue	6
22	Dedalus36	6
22	Onennon	6
22	claivin	6
22	stahouo	6
27	beeperbeeper5	5
27	MattieHD	5
27	Jackattack53	5
27	Eraxa	5
27	jcool7	5
32	rarrq	4
32	Blackberry1310	4
32	YungJakobo	4
32	Xalithia	4
32	M_Patata	4
32	Zaridey	4
32	CarryLine	4
32	lizardfightclub	4
32	NameGenerat0r	4
32	MightyWertu	4
32	Racengan	4
32	BumbleBeever	4
32	MasterNueve	4
45	PhantomsGhost_	3
45	EMC_	3
45	hm947	3
45	Incinere	3
45	joethahobo	3
45	Ardennes	3
45	Awyrlas	3
45	himak1	3
45	noam464	3
45	Chromary	3
45	SpookyDraggin	3
45	GoofyBread	3
45	fluddd	3
45	Blaiku	3
45	Nicserso	3
60	Groovy_MoonBird	2
60	Merv__	2
60	error10101	2
60	ExtraDumb	2
60	ssleepless	2
60	500am	2
60	thescout7	2
60	Winklepicker279	2
60	Di_infiri	2
60	SuperPooch06	2
60	Rumpletaezer	2
60	Arceus1975	2
60	Zythose	2
60	Hiryu27	2
60	Kouridragon	2
60	TheShyPig	2
60	aec9	2
60	NomadicRobin_	2
60	chipklip	2
60	Shogunite	2
60	Xclax101	2
60	Spacewardharpy7	2
60	MovingFish7	2
60	lordpipe	2
60	LetsDoItLive	2
60	33sudo	2
60	Omar_Alone	2
60	stavgod	2
60	pixelviolin	2
60	SammiWolfGirl	2
60	Dreamdbr14	2
60	KingMatthew506	2
60	Steelynan	2
60	vandmanden	2
60	Sral7	2
60	Smoke____	2
96	diamondgolem35	1
96	Hpdinosaur	1
96	T045RTY	1
96	CoffeeNoir	1
96	ShedJr_	1
96	Euclidoris	1
96	MinttyFressh	1
96	SteveCraftBlocks	1
96	sandmire	1
96	Covalents	1
96	Paintz	1
96	loveseeker	1
96	gabriels543	1
96	Donutt	1
96	Rasmanden	1
96	TheTrueClipse	1
96	The_slideV3	1
96	QueenShuvi	1
96	Fildyr	1
96	WyngGoy	1
96	ElectricDragon81	1
96	SSytex_X	1
96	Dogcorn69420	1
96	fffMike	1
96	Ezekson	1
96	oxfordschool	1
96	jnp_gaming	1
96	Powowowow	1
96	TechnoNinja64	1
96	PlasticOtari	1
