rank	username	minecraft:used/minecraft:deepslate_bricks
1	thewindmillman	14493
2	Manaateee	13586
3	Segotep999	7912
4	TheSecondLord	7835
5	beeperbeeper5	6718
6	TheWickedBird	6334
7	weabis	6297
8	Apollo_993	5977
9	Mattesco	5951
10	EngagedGrub41	5332
11	YungMaki	4913
12	pintsizedrogue	4764
13	U_Mos_	4455
14	mihimihimihi	3881
15	PazinGaming	3839
16	CattSoup	3827
17	RoskobiOne	3643
18	k_ce	3345
19	MAns_44	3028
20	Morgf	2476
21	diamondgolem35	2390
22	Marbz_	2184
23	ItsDeltaMC	2117
24	catandmoose	1936
25	Elastiq	1926
26	ZoomieZoomie	1690
27	Lutres_	1652
28	Touched_Bread	1492
29	luseis	1376
30	crashomon	1212
31	Ryker	1175
32	thebaddruid	1133
33	Galactic_Badger	1118
34	Buuck_	1064
35	_Huge_Male_	1024
36	SvenskaHugo	979
37	SpacesickPrism	942
38	QuiCreans	931
39	Jimb0nat0r	923
40	12Magner05	917
41	Methalox1	905
42	PaperCanvas	875
43	rarrq	857
44	Fuad_R	852
45	Megarboh	821
46	joethahobo	781
47	Huwulling	773
48	skroobiez	713
49	Mr_Byzantine	679
49	Yamdalorian	679
51	pixelviolin	665
52	Wowful	601
53	groofles	586
54	tsitrawhy	570
55	Kowcio_	557
56	olliebollie48	554
57	fragrantmonke444	553
58	lorywithay	551
59	TheWildMateo	502
60	nattybears	497
61	00000000-0000-0000-0009-01ff0c3e5e4f	464
62	MrKrabOnCoke	456
63	Jimi7hits	431
64	Nicserso	430
65	HoltGrim	416
66	breadbowlgamer	413
67	kyouma777	405
68	Napoleonpancake	372
69	Dblikstad	349
70	Hahaa_0	326
71	Crowman1	310
72	prizm_	275
73	Luminad3	270
74	Inchef	259
75	Krowuss	246
76	Spacewardharpy7	242
77	BiggieDawg	236
78	HUNTERmaun	231
78	Smashic	231
80	ScootOfBoot	220
81	LeEricc	217
82	Ev0luti0nz	212
83	CoffeeNoir	203
84	sp00ky_ghost977	198
85	fffMike	195
86	Sleepy_Time_	187
87	Enderxz3	176
88	CaracolCxnt	175
88	Samificator	175
90	TAKrules	174
91	fade_emerge78823	168
92	SquadMonster	162
93	Boipl	155
94	bobbydoodledot	152
95	Mookle96	148
96	Masssonnn	138
97	Winklepicker279	122
98	Ezekson	120
99	Pumpkin_P_Patch	119
100	lizardfightclub	117
101	Merv__	115
102	NameGenerat0r	107
103	MSK__	103
104	crying_wolf_13	99
105	ATurtle4936	96
106	Roenfire	89
106	FormulaNewt3627	89
108	shrimp_flips	86
109	ImpavidArcher	84
110	RebelAndroid	80
111	floodjon	73
112	Ze_BaronKrigler	67
113	benediktine1	66
113	Jekyll	66
115	Tiktola01	57
116	Lez_	54
116	emreknugrlu	54
118	StinkyDiplomat	53
119	Dakar_	51
120	WolfRRN	49
121	FreakGenius	47
122	Solar_Power	46
123	Lord_Jord	44
124	IronArshXS	39
124	Jonafrog99	39
126	ECstardust	37
126	Jackattack53	37
128	Blackberry1310	35
128	IdeallyGrey	35
130	BeardBois	34
130	Weepingbiel	34
132	BPTY4618	31
133	teslawolf38	30
134	H0UNDFRMH3LL	29
135	CLG_Kata	28
135	Moofyman	28
137	hm947	26
138	bl1ss0	24
139	Kakolbus	22
140	500am	18
140	pretty_pink_reno	18
142	PlasticOtari	16
143	Hydro___________	8
143	Gzrdy	8
145	Nadhorion	7
146	KGTV	6
146	Admiral_Fizzy	6
146	Cellcorgi649	6
146	fluddd	6
146	lordpipe	6
151	SOA1RR	5
151	corpsecity	5
153	SmashingPump	4
153	drunkeeez	4
153	hanaryheatwave	4
153	JETrotter	4
153	Olib3ar	4
153	Gus2005	4
153	iSammael	4
153	Spenduh	4
161	EMC_	3
161	SteveCraftBlocks	3
161	Reneedium	3
161	hermmm_	3
165	DinoDoctor_	2
165	noam464	2
165	shadowthemonkey	2
165	Skylord_Luke	2
165	ApophisNova	2
165	AstreaTSS	2
165	MyNamaSheff	2
172	Alteriity	1
172	Mahoose	1
172	Da_Boss_Rani	1
172	arvous	1
172	_Nat666	1
172	tazdeviltron	1
172	Toasty_Tom	1
172	Soplight	1
