rank	username	minecraft:used/minecraft:sand
1	picardred	192796
2	Enderxz3	162865
3	Ezekson	157885
4	obzii	142581
5	EMC_	118912
6	Zythose	109754
7	Spacewardharpy7	96416
8	Blu3beast	95170
9	hanaryheatwave	73718
10	eviltunix	56292
11	EcksD	55208
12	Blaiku	54170
13	Bumpy419	53426
14	YungMaki	47135
15	PigDab	44046
16	Snowflowe	42151
17	MilleGrug	41999
18	joethahobo	40736
19	Frozil20	40333
20	Drawgirl	32153
21	Maenara	30852
22	AdmiralSmoke	30744
23	Lord_Jord	30683
24	Powowowow	29692
25	Chromary	29083
26	PegLegPete93	27682
27	NomadicRobin_	26288
28	BumbleBeever	24879
29	lordpipe	24837
30	SuperPooch06	23907
31	12Magner05	23475
32	noam464	22140
33	TechnoNinja64	21831
34	MirielThePastor	20289
35	Xalithia	20235
36	Kim_Jong_eel	19950
37	EngagedGrub41	18628
38	Notta	17648
39	Sral7	17134
40	Steelynan	17098
41	TheShyPig	16826
42	AuroraValkyrie	16163
43	himak1	16113
44	eitanzaki	15235
45	Kakolbus	15018
46	_Dean_123	14311
47	_Karmaa	14183
48	ImpavidArcher	13625
49	HellsSponge	13495
50	Eraxa	13348
51	Dogcorn69420	13264
52	Jackattack53	12458
53	Di_infiri	12323
54	burbankbuilder28	12070
55	Nicky19	11955
56	Awyrlas	11827
57	diamondgolem35	11795
58	kekhon	11779
59	Fullut	11757
60	Jovaphobic	11171
61	beeperbeeper5	11138
62	Segotep999	10573
63	TheSecondLord	10406
64	Barlycorn	10295
65	tuckerdoodle	10235
66	Zoeyfortnite	9984
67	Werbe	9418
68	T045RTY	9343
69	Mahoose	9172
70	Alexanderjac	9066
71	IamCL4SSY	8973
72	Skippeh	8955
73	pintsizedrogue	8570
74	El_Jalapeno	8440
75	Iagoku	8125
76	Wolf_Mauler_73	8078
77	ItsJWolff	7909
78	Skylord_Luke	7879
79	Groovy_MoonBird	7852
80	Fuad_R	7634
81	Touched_Bread	7580
82	IAmTheWalrus910	7456
83	MightyWertu	7369
84	Blackberry1310	7366
85	thewindmillman	7336
86	cedric72	7264
87	bigstankyy	7178
88	Manaateee	7170
89	Quaintster	6951
90	Ssor69	6751
91	lizardfightclub	6470
92	FishisTTV	6313
93	xxPipperDipperxx	6017
94	Huwulling	5970
95	Arceus1975	5932
96	Soap_Bender	5918
97	PhantomsGhost_	5911
98	FreddyFart	5710
99	Vellu21	5667
100	Luigipunch989	5512
101	Euclidoris	5376
102	gcaisawesome	5345
103	jcool7	5321
104	Iamthejo	5319
105	FreakGenius	5291
106	Hyp3rion_	5005
107	Onennon	4995
108	luseis	4932
109	PlasticOtari	4847
110	layabout100	4795
111	Legendosh	4698
112	NatalieTW	4662
113	_TCARREIRA_	4640
114	xDraggin	4563
115	SingedBread	4364
116	Racengan	4293
117	SpacesickPrism	4289
118	UltraZombie	4176
119	Franco093	4171
120	LAVA129	4073
121	King_Pancake1	4053
122	MoistMicrowave	3850
123	EveryonesUncle	3772
124	Akoot_	3745
125	MyNameIsJobo	3585
126	Soplight	3559
127	LeeMcGee30	3494
128	Rumpletaezer	3366
129	Hermanni__	3362
130	TheDankPlatypus	3302
131	mariominejedi	3197
132	_Mythic____	3172
133	Rocco_Lane	2963
134	Merv__	2951
135	mihimihimihi	2756
136	Groundler	2746
137	SkateboardR6	2621
138	LordSpeed37	2572
139	GLLogan2	2547
140	Huic_ostiarius	2456
141	Z3braYTIL	2455
142	paranoid_plant	2359
143	h2p_emrld	2329
144	IdeallyGrey	2312
145	ROY4LE	2213
146	Xclax101	2170
147	Hiryu27	2160
148	mwrty	2120
149	Creativebuilder2	2090
150	m_be9	2064
151	Mr_Byzantine	2014
152	Krowuss	1980
153	Fildyr	1977
154	500am	1954
155	yheece	1948
156	Swexti	1932
156	CalebDHawk	1932
158	_stets	1906
159	Winklepicker279	1884
160	XboxPanda	1862
161	_Virify_	1818
162	KingFaenor	1766
163	Dnulgreb	1732
164	BlankityMcBlank	1728
165	NameGenerat0r	1724
166	GravitySaint	1720
167	Malorn_Aetherius	1717
168	RebelAndroid	1710
169	Historical_Sand	1702
170	Da_Boss_Rani	1660
171	IWorkAtIkea	1636
172	_Bguette_	1617
173	titanlax	1614
174	Zaridey	1563
175	vandmanden	1553
176	ZoomieZoomie	1551
177	teslawolf38	1548
178	WyngGoy	1546
179	MattieHD	1538
180	Marbz_	1534
181	DaKaveMan	1523
182	Sleek_Storm_721	1508
183	oscminus	1478
183	claivin	1478
185	CrateOfBoxes	1477
186	radioactv_jelly	1458
187	Steve897	1434
187	non089	1434
189	zmpeg	1408
190	excelsionprime	1374
191	2Stout	1365
192	Cocoamallows	1321
193	StinkyDiplomat	1314
194	QuakerOatsGod	1306
195	CoffeeNoir	1304
196	ProfessorDiaper	1296
197	bitsplease	1269
198	BartekB19	1245
199	Apollo_993	1227
200	Comma__	1223
201	Jimi7hits	1210
202	hcb238	1191
203	walll	1184
204	ooga47	1175
205	ApophisNova	1170
205	MyNamaSheff	1170
207	Jalvajar	1164
208	Deodorante	1123
209	PortlyPete69	1115
210	ExtraDumb	1103
211	Inconvenionce	1102
212	Lutres_	1099
213	benediktine1	1093
214	impossibleteapot	1088
215	xolstoi	1072
216	thescout7	1058
217	wezzzi	1040
218	xXTheWolfmanXx	1015
219	Megarboh	1008
220	Stay2Blackjesus	964
221	ssleepless	954
222	Rebytre	952
223	__tomato	948
224	ShedJr_	946
225	KGTV	938
226	Billious	930
227	Jorrdi	925
228	Kynigito	921
229	yulgur1	903
230	SmashingPump	894
231	Mewar	890
232	TheJetNinja	889
233	Cryptacity	882
234	stevewithclout	875
235	RobotMinion101	869
235	diggydog67	869
237	Inbefour	865
238	TheEnderMan548	816
239	CliffEmAll	813
240	TheALV	809
241	LeonelSalamanca	794
242	Tyrannosplart	789
243	Njensen7	788
244	RadarHz	786
245	KingMatthew506	785
246	ProfessorBee	779
246	gustarlep	779
248	Katthaj	745
249	Flopperdonkey	731
250	Sank34	730
251	Voxin2K	725
252	Nicserso	724
253	SpaceGrenadier	707
254	Smashic	703
255	legal_tax_evader	687
256	2blox_	681
257	k_ce	680
258	jnp_gaming	678
259	ThePoliteG	670
260	CollinMH06	666
261	Eczbek	655
262	NoChumpChange	640
263	xzvu	639
264	SammiWolfGirl	623
265	eposlul	621
266	SUN_DREAM	614
267	Lez_	613
267	SaintJosie	613
269	The_slideV3	609
270	SSytex_X	605
271	KarlKaek	591
272	SDMNAEK	585
272	r123moore	585
272	NotoriousNina	585
275	fkGrim	584
276	Jimb0nat0r	582
277	fr0stss	580
278	6king6colt6	573
279	Eczbox	572
280	starbits140	569
281	fluddd	566
282	Scathra	557
283	Kouridragon	538
284	SwooshBoi	527
285	Nycteus_	521
286	Deu_Stew	518
287	Biites	516
288	J4k__	512
289	TheTrueClipse	510
290	bloodbiter	506
291	FishyBoy3811	502
292	Kowcio_	499
293	peach0s	498
294	MakeHistory157	494
295	M_Patata	487
296	set67	483
297	MasterNueve	481
298	gren_ben	478
299	Pelbo	472
300	MustardDrinker	470
