rank	username	minecraft:used/minecraft:prismarine_brick_slab
1	HellsSponge	42761
2	beeperbeeper5	5064
3	bl1ss0	4832
4	Paintz	3687
5	diggydog67	3654
6	Hyp3rion_	3374
7	YungMaki	2696
8	Ezekson	2692
9	Jackattack53	1847
10	Kowcio_	1789
11	ConnorDanky_	1423
12	Kakolbus	1300
13	joethahobo	1268
14	Groundler	1240
15	Yamdalorian	1201
16	Huwulling	1039
17	Frozil20	1038
18	ZoomieZoomie	1018
18	EcksD	1018
20	Spacewardharpy7	651
21	TheShyPig	597
22	Mattesco	513
23	MilleGrug	508
24	Maenara	507
25	NatalieTW	448
26	EngagedGrub41	438
27	PlasticOtari	371
28	SammiWolfGirl	358
29	Alteriity	345
30	Mr_Byzantine	340
31	ImpavidArcher	320
32	Chromary	318
33	PigDab	314
34	Blaiku	297
35	Steelynan	282
36	ApophisNova	260
36	MyNamaSheff	260
38	Merv__	245
39	Vorlice	240
40	noam464	216
41	diamondgolem35	209
42	CoffeeNoir	207
43	pintsizedrogue	200
44	Jimb0nat0r	192
45	Enderxz3	190
46	Sleepy_Evelyn	185
47	rarrq	152
47	Comma__	152
49	eitanzaki	150
50	Marbz_	118
51	Skippeh	116
52	Legendosh	115
53	M_Patata	113
53	MasterNueve	113
55	luseis	108
56	Bumpy419	101
57	PortlyPete69	99
58	LittleBug562	81
59	Manaateee	68
60	Eraxa	60
61	xDraggin	57
62	500am	56
63	Mahoose	55
64	ZoharGoldMine	54
65	kekhon	52
66	myaccountwasgone	51
67	Apollo_993	50
68	ooga47	47
68	xzvu	47
70	Barlycorn	44
71	Zaridey	41
72	thescout7	40
73	Hiryu27	38
74	KarlKaek	33
75	Vellu21	30
76	Skylord_Luke	28
77	The_slideV3	20
77	tsitrawhy	20
79	m_be9	19
79	Arceus1975	19
81	MattieHD	16
82	SmashingPump	15
83	jcool7	13
84	ShedJr_	12
84	thewindmillman	12
84	Soplight	12
87	Fullut	10
87	Pumpkin_P_Patch	10
89	skitzxo	9
90	lordpipe	8
91	himak1	7
92	corvidpartyfor6	5
92	MightyWertu	5
92	StarCookiees_	5
92	TechnoNinja64	5
96	Crowman1	4
96	gcaisawesome	4
96	Blu3beast	4
96	LetsDoItLive	4
100	Groovy_MoonBird	3
100	TheWildMateo	3
100	Shogunite	3
100	Powowowow	3
104	gren_ben	2
104	Hpdinosaur	2
104	Werbe	2
104	blackeemperor	2
104	__Auspicious	2
104	obzii	2
110	CliffEmAll	1
110	TheSecondLord	1
110	Di_infiri	1
110	Onennon	1
110	dartwaffle	1
110	LexMakesHistory	1
110	SingedBread	1
110	miramyu	1
110	Nicserso	1
